,2018-12-12
1 hr,3.419783333333334
1 min,3.4
1.5 hr,3.4233000000000016
10 day,3.4270000000000005
10 min,3.3889999999999993
100 day,4.288898999999999
125 day,4.3501591999999984
15 min,3.389333333333333
150 day,4.301732666666666
175 day,4.250799428571428
2 day,3.37
2 hr,3.413225000000001
2.5 hr,3.40658
20 day,3.5390000000000006
20 min,3.397
200 day,4.321149499999998
25 min,3.4011999999999993
3 hr,3.402149999999999
3.5 hr,3.3989571428571415
30 day,3.7916666666666665
30 min,3.4076666666666657
4 hr,3.396587499999998
4.5 hr,3.3947444444444423
40 day,3.9004974999999993
45 min,3.416155555555555
5 day,3.376
5 hr,3.396336666666663
5 min,3.3839999999999995
5.5 hr,3.399124242424245
50 day,4.013198
50 min,3.41714
55 min,3.4183090909090916
6 hr,3.4025305555555625
6.5 hr,3.4049769230769344
60 day,4.111998333333334
70 day,4.1885699999999995
80 day,4.269998749999999
90 day,4.263443333333333
Tomorrow,3.4
