,2018-12-11,2019-02-04
1 hr,13.248999999999992,12.892166666666657
1 min,13.2,12.93
1.5 hr,13.249833333333324,12.890388888888891
10 day,13.437630000000002,13.28305
10 min,13.220499999999998,12.898500000000002
100 day,12.843919999999994,12.875358000000011
125 day,12.879411999999997,12.9203056
15 min,13.221999999999998,12.893333333333333
150 day,12.884056666666659,12.917653999999999
175 day,12.79579371428571,12.941602285714284
2 day,13.108799999999999,12.875
2 hr,13.237458333333338,12.888833333333356
2.5 hr,13.226760000000015,12.884066666666683
20 day,13.223044999999999,13.351895000000003
20 min,13.223499999999996,12.895
200 day,12.739017499999996,12.888636999999996
25 min,13.227999999999998,12.895599999999995
3 hr,13.231272222222252,12.880750000000006
3.5 hr,13.236066666666709,12.879000000000016
30 day,12.967923333333333,13.137406666666669
30 min,13.235166666666661,12.89466666666666
4 hr,13.240495833333378,12.876854166666687
4.5 hr,13.249044444444491,12.870481481481502
40 day,12.757467499999997,13.124295000000004
45 min,13.247444444444435,12.89288888888888
5 day,13.15548,12.977459999999999
5 hr,13.260973333333375,12.860433333333367
5 min,13.213999999999999,12.910000000000002
5.5 hr,13.272096969697003,12.848696969697002
50 day,12.719993999999996,13.193916000000002
50 min,13.251699999999987,12.892599999999991
55 min,13.25081818181817,12.892363636363626
6 hr,13.276894444444487,12.837416666666687
6.5 hr,13.281056410256447,12.829948717948728
60 day,12.720988333333331,13.129395000000004
70 day,12.765957142857141,12.995195714285718
80 day,12.81929375,12.910361250000005
90 day,12.839398888888885,12.875733333333338
Tomorrow,13.2529,13.02
