,2018-12-18,2018-12-20,2018-12-31,2019-01-03,2019-01-31,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,38.84785000000002,36.31366666666667,38.2791,36.1058,45.49266666666668,49.261766666666695,49.434733333333334,49.00611666666668,50.633066666666664
1 min,38.89,36.49,38.66,36.145,45.49,49.34,49.37,48.88,50.76
1.5 hr,38.90245555555556,36.215822222222215,38.203088888888885,36.15977777777777,45.51388888888891,49.245311111111114,49.345877777777766,49.04933333333335,50.60545555555556
10 day,41.119,39.629999999999995,37.422,37.144999999999996,42.972,46.928,47.40100000000001,47.738,48.208000000000006
10 min,38.9639,36.361000000000004,38.393800000000006,36.1155,45.584500000000006,49.237300000000005,49.3515,48.846999999999994,50.750499999999995
100 day,48.39911100000001,48.242273000000004,47.32629500000001,47.01329600000002,44.97144199999999,44.374467000000024,44.307348000000026,44.228137000000025,44.154842000000016
125 day,47.74535600000001,47.61493600000001,47.283720800000005,47.16217440000001,46.5172216,46.18269040000002,46.158520000000024,46.131946400000025,46.11741680000002
15 min,38.97060000000001,36.39,38.393866666666675,36.11533333333333,45.56366666666667,49.22753333333334,49.35099999999999,48.898333333333326,50.73
150 day,47.50448266666666,47.36616066666666,47.00512333333334,46.881480666666675,46.390124666666665,46.52083333333335,46.52863333333336,46.553192000000024,46.588952666666685
175 day,47.61126457142858,47.45905314285714,46.997415999999994,46.86584057142856,46.33224514285714,46.378816000000015,46.39405542857145,46.4058102857143,46.42893542857144
2 day,38.755,37.019999999999996,38.19,37.370000000000005,45.07,48.645,49.355000000000004,49.12,49.8
2 hr,39.021091666666656,36.09365833333332,38.14534999999999,36.23849166666665,45.54869999999999,49.23145,49.28056666666667,49.03764166666666,50.58616666666665
2.5 hr,39.09657333333334,36.086639999999996,38.14237333333332,36.29134666666665,45.54567999999999,49.231493333333326,49.255493333333355,49.023146666666634,50.60047999999998
20 day,41.6535,41.287,39.963499999999996,39.132,41.647499999999994,44.592999999999996,44.9815,45.355,45.7915
20 min,38.95980000000001,36.4205,38.42015000000001,36.133750000000006,45.544250000000005,49.2349,49.395399999999995,48.947,50.72025000000001
200 day,48.273450000000004,48.105271,47.5673905,47.394087,46.492791499999996,46.4158795,46.432373000000005,46.44616700000002,46.47000850000002
25 min,38.95664000000001,36.446200000000005,38.4198,36.147200000000005,45.53544,49.24272,49.435519999999975,48.98048,50.710600000000014
3 hr,39.1727166666667,36.077899999999985,38.18963333333331,36.328438888888876,45.564577777777785,49.19810555555554,49.2189166666667,49.00317222222218,50.61670555555553
3.5 hr,39.22306190476195,36.05729047619046,38.24261428571426,36.373285714285714,45.57552857142859,49.16576666666666,49.178238095238115,48.98075714285712,50.60481904761903
30 day,42.45261000000001,41.86898000000001,40.48533333333334,40.15066666666667,40.23766666666667,42.97833333333334,43.335,43.677666666666674,44.16366666666667
30 min,38.95500000000001,36.447500000000005,38.41073333333334,36.16100000000001,45.5262,49.244699999999995,49.45643333333331,48.992566666666654,50.69350000000001
4 hr,39.245825000000046,36.026908333333346,38.282466666666636,36.3972375,45.562558333333335,49.152379166666655,49.1438916666667,48.95967083333331,50.57143749999998
4.5 hr,39.24353703703708,36.042277777777784,38.27390740740738,36.4287814814815,45.53800000000001,49.15353333333332,49.10457037037038,48.94209629629627,50.52869259259259
40 day,42.529984999999996,42.22884750000001,41.577892500000004,41.12570750000001,40.66975000000001,41.61400000000002,41.85675000000001,42.11275000000001,42.409000000000006
45 min,38.91006666666668,36.403777777777776,38.33182222222223,36.13173333333332,45.4882888888889,49.247466666666675,49.46144444444443,48.9976,50.649
5 day,39.757999999999996,38.242,37.384,37.802,44.038000000000004,47.926,48.19000000000001,48.492,49.251999999999995
5 hr,39.22992000000006,36.112779999999994,38.235006666666656,36.420130000000036,45.50638000000002,49.16197999999998,49.07929666666667,48.94532333333331,50.52571999999999
5 min,38.941,36.422999999999995,38.474000000000004,36.123999999999995,45.572,49.3156,49.385000000000005,48.80799999999999,50.769999999999996
5.5 hr,39.220375757575795,36.201042424242424,38.20336666666665,36.38771515151521,45.47710909090911,49.13433939393937,49.065927272727286,48.96067575757575,50.539512121212134
50 day,43.14592,42.654912,41.706666000000006,41.452988000000005,40.8804,41.84620000000002,41.98640000000001,42.08340000000001,42.15100000000001
50 min,38.88626000000002,36.3798,38.31002,36.12001999999999,45.486860000000014,49.25362000000001,49.45776,48.99924,50.64639999999999
55 min,38.86490909090911,36.342363636363636,38.290927272727274,36.11083636363635,45.489454545454564,49.2611090909091,49.4454909090909,49.00567272727273,50.642999999999994
6 hr,39.21536111111114,36.2800638888889,38.181836111111096,36.34700000000007,45.44393333333336,49.10975,49.04577222222223,48.97829444444446,50.550061111111106
6.5 hr,39.214425641025656,36.34141282051283,38.16627435897434,36.37835897435904,45.39597179487183,49.076279487179455,49.05234871794873,48.9803743589744,50.544487179487184
60 day,45.31873666666666,44.606765,42.67511333333335,42.145766666666674,41.47236499999999,41.77433333333334,41.910166666666676,42.02333333333334,42.157166666666676
70 day,46.79897857142856,46.302150000000005,44.724068571428575,44.15106000000001,41.609955714285704,42.23691142857144,42.330938571428575,42.36745571428572,42.427690000000005
80 day,47.55559,47.18079250000001,45.97725500000001,45.592231250000005,42.20080875,42.273221250000006,42.317291250000004,42.37596125,42.4694925
90 day,48.109773333333344,47.77207000000001,46.745873333333336,46.39885777777779,43.83815222222222,42.97731000000002,42.89507555555557,42.81605222222223,42.818400000000004
Tomorrow,37.57,35.75,38.59,37.69,46.03,49.37,48.87,50.73,NULL
