,2018-12-20
1 hr,9.391133333333334
1 min,9.41
1.5 hr,9.370922222222223
10 day,9.806999999999999
10 min,9.374999999999998
100 day,14.6285
125 day,14.9296
15 min,9.380666666666666
150 day,15.067833333333335
175 day,14.880571428571429
2 day,9.445
2 hr,9.333191666666664
2.5 hr,9.332019999999984
20 day,10.4555
20 min,9.39525
200 day,14.469999999999997
25 min,9.40408
3 hr,9.335627777777756
3.5 hr,9.343938095238082
30 day,10.806666666666668
30 min,9.4024
4 hr,9.351779166666658
4.5 hr,9.355655555555545
40 day,11.008500000000002
45 min,9.398844444444446
5 day,9.559999999999999
5 hr,9.364339999999988
5 min,9.395
5.5 hr,9.380521212121206
50 day,11.3752
50 min,9.39816
55 min,9.395054545454544
6 hr,9.384438888888884
6.5 hr,9.394646153846148
60 day,12.073333333333329
70 day,12.75642857142857
80 day,13.594375
90 day,14.19277777777778
Tomorrow,8.65
