,2018-12-18,2018-12-20,2018-12-21,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-15,2019-01-18,2019-01-22,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-12
1 hr,85.01151666666668,82.63213333333334,81.30998333333334,82.51076666666668,83.1064333333333,83.54998333333333,85.13058333333338,85.16048333333335,88.48894999999999,86.79316666666669,86.40781666666666,87.48214999999996,89.55786666666664,90.82916666666665,90.10665,90.94638333333332
1 min,84.96,82.59,80.87,82.68,83.09,83.8,85.42,85.24,88.67,86.95,86.76,87.69,89.73,90.8,90.33,91.0
1.5 hr,85.05946666666665,82.64687777777777,81.44127777777778,82.4483111111111,83.08023333333333,83.59308888888886,85.0568777777778,85.14746666666667,88.43524444444442,86.80682222222225,86.46884444444443,87.49034444444439,89.52007777777777,90.81616666666665,90.11661111111113,90.91416666666667
10 day,86.62924999999998,85.48970999999999,84.85938999999999,82.096,82.14599999999999,82.43500000000002,83.32300000000001,83.93100000000001,85.34500000000001,85.731,86.911,87.079,87.35099999999998,87.732,88.114,89.21700000000001
10 min,85.34249999999999,82.388,81.021,82.61699999999999,83.03300000000002,83.62459999999999,85.35299999999998,85.2056,88.551,86.68900000000001,86.572,87.55139999999999,89.57849999999999,90.80010000000001,90.1726,91.05539999999999
100 day,92.47607499999998,92.34091099999999,92.23711399999998,91.24481000000002,91.146295,91.05418300000001,90.866381,90.54728700000001,90.27372900000002,90.185419,89.58784499999996,89.50632899999997,89.30310799999998,89.22574999999999,89.149857,88.94188400000003
125 day,91.20683839999997,91.12656799999996,91.09608559999997,91.01134479999999,90.99648559999999,90.986828,90.98934560000001,90.97136240000002,90.92205440000002,90.90815680000001,90.67756159999999,90.623996,90.5309624,90.49491280000001,90.45740160000001,90.38447600000003
15 min,85.37199999999999,82.44866666666667,81.12113333333333,82.61166666666665,83.037,83.6097333333333,85.3042,85.21433333333334,88.56299999999997,86.70733333333334,86.51506666666667,87.55359999999997,89.58466666666665,90.8126,90.1532,91.0516
150 day,90.60016066666664,90.57278733333331,90.53119466666665,90.27698666666666,90.25365466666665,90.23188733333332,90.20779933333333,90.17137600000001,90.10852,90.09397066666666,90.05581999999997,90.08841933333332,90.17459933333332,90.21513266666666,90.25695533333332,90.3866046666667
175 day,90.28207142857138,90.1682794285714,90.10017542857139,89.60960857142854,89.57078228571426,89.53195999999997,89.4768257142857,89.54864685714284,89.62754514285713,89.64868457142856,89.69447085714283,89.69880628571427,89.7311354285714,89.75368857142857,89.775472,89.83701828571431
2 day,84.91,83.235,81.73,81.305,82.89,83.42500000000001,85.08,85.53999999999999,87.355,87.81,86.75,87.245,89.17,90.255,90.575,90.55000000000001
2 hr,85.15584999999997,82.50805833333335,81.4832416666667,82.45106666666668,83.14165000000003,83.61024999999997,84.95015833333336,85.17323333333337,88.41174166666673,86.78778333333338,86.52931666666663,87.51684166666665,89.50435833333329,90.79939166666662,90.20500833333334,90.95694999999994
2.5 hr,85.29407999999997,82.5149066666667,81.53392666666667,82.49958666666667,83.20861333333335,83.61301999999998,84.80256000000004,85.20483333333334,88.38796000000008,86.80189333333337,86.57960666666666,87.55147333333333,89.47845333333332,90.81929999999994,90.33002666666667,91.02966666666659
20 day,88.360055,87.80569,87.41349000000001,84.139315,83.81785499999998,83.647195,83.41252999999999,83.419,83.72049999999999,83.9385,85.523,85.913,86.54099999999998,86.89250000000001,87.1745,87.90150000000001
20 min,85.324,82.52650000000001,81.13985,82.5795,83.03875000000001,83.61029999999997,85.2779,85.19925000000002,88.57124999999996,86.76685,86.5039,87.54494999999999,89.58869999999999,90.82194999999999,90.14450000000001,91.04945
200 day,90.30857099999992,90.25506749999994,90.21845949999995,89.90181499999993,89.85652249999995,89.81930499999993,89.76643599999996,89.68695299999997,89.60652599999999,89.58215799999998,89.38397549999999,89.3499725,89.3103945,89.30330700000002,89.29392200000002,89.29158450000003
25 min,85.28016,82.60320000000002,81.11948,82.57536,83.07300000000001,83.62539999999998,85.25032000000002,85.1858,88.56059999999998,86.74516000000001,86.48492,87.54335999999999,89.59039999999997,90.82383999999998,90.1188,91.04755999999999
3 hr,85.41365555555552,82.54774444444448,81.59183333333334,82.57935000000003,83.23867222222223,83.59911666666665,84.73436666666672,85.22783333333331,88.39386111111118,86.77073888888887,86.63915555555553,87.54118888888888,89.44923333333334,90.83798888888883,90.39262777777778,91.05434444444435
3.5 hr,85.4884714285714,82.58803333333337,81.65889523809523,82.61970476190481,83.23441904761908,83.59502380952378,84.71264761904767,85.26424285714283,88.37995714285718,86.78969523809523,86.6961095238095,87.52087619047622,89.42361904761901,90.83857142857137,90.40851428571429,91.06389047619047
30 day,88.63742666666667,88.32252666666668,88.00704666666667,86.06683,85.91912666666664,85.75399333333331,85.46367666666666,84.91897333333333,84.54121000000002,84.45557000000001,84.58899999999998,84.68033333333332,85.07599999999998,85.40666666666667,85.78333333333332,86.54000000000002
30 min,85.24080000000001,82.6376666666667,81.14306666666668,82.57046666666666,83.0915,83.62329999999999,85.23293333333335,85.18433333333334,88.52583333333332,86.74146666666668,86.44806666666666,87.54513333333334,89.59349999999998,90.82303333333331,90.1151,91.03099999999999
4 hr,85.55291249999996,82.61934166666668,81.69984583333331,82.62412916666672,83.22370000000004,83.58342083333335,84.68086250000007,85.32195833333331,88.37698750000007,86.77202499999996,86.76968333333335,87.53321666666668,89.39975416666665,90.83859166666664,90.40876666666668,91.10109999999999
4.5 hr,85.56524074074073,82.63452592592597,81.7699222222222,82.60699629629633,83.20562222222229,83.55315925925925,84.65417037037042,85.3252222222222,88.39069629629637,86.77774444444438,86.81064074074077,87.56637037037036,89.39331851851854,90.84975185185183,90.39824444444449,91.15382962962964
40 day,88.44557749999998,88.13285499999999,88.01007,86.908805,86.77839499999999,86.61403499999999,86.37020249999998,86.16869999999997,85.8863725,85.87209499999999,85.24783500000001,85.16756250000002,85.1794275,85.26984750000001,85.3462875,85.64575000000002
45 min,85.07364444444447,82.68171111111113,81.21202222222223,82.57002222222222,83.12659999999998,83.55842222222222,85.17286666666669,85.17202222222221,88.50126666666665,86.81077777777779,86.38813333333331,87.5134222222222,89.58093333333333,90.82251111111108,90.11460000000001,90.98075555555555
5 day,85.28012,84.18799999999999,83.43199999999999,82.578,82.554,82.48800000000001,83.94,85.374,86.162,86.382,86.786,86.92,87.912,88.724,89.44200000000001,90.52200000000002
5 hr,85.57190666666665,82.69619333333337,81.80134666666667,82.59097666666668,83.17757333333338,83.53652666666669,84.64602666666671,85.30543666666665,88.38435000000004,86.79762999999994,86.82589000000003,87.56216,89.39834999999998,90.86908666666663,90.39803333333336,91.20091000000002
5 min,85.131,82.482,80.89200000000001,82.671,83.1,83.71619999999999,85.40599999999999,85.22999999999999,88.577,86.66799999999999,86.708,87.651,89.61800000000001,90.7672,90.225,91.03479999999999
5.5 hr,85.60130303030303,82.77208484848487,81.88583939393939,82.57886666666666,83.13626060606067,83.50362424242428,84.61375151515156,85.28054848484848,88.36036666666668,86.82581818181812,86.80517575757578,87.55149393939396,89.40118787878787,90.87178787878787,90.39015151515152,91.21245757575758
50 day,89.33511,88.80718000000003,88.58449000000002,87.031264,86.93548399999997,86.89505599999998,86.84671999999999,86.72448399999999,86.596044,86.56891599999999,86.20311799999999,86.152222,86.16787599999999,86.209396,86.24251399999999,86.23156800000002
50 min,85.05312000000002,82.67814000000003,81.23597999999998,82.55782,83.12543999999998,83.55098,85.15378000000004,85.17103999999999,88.49873999999998,86.80260000000003,86.38731999999999,87.50267999999998,89.57003999999999,90.82081999999997,90.10892000000001,90.97022000000001
55 min,85.03352727272728,82.65140000000002,81.27343636363636,82.53365454545455,83.12039999999999,83.54529090909091,85.14398181818187,85.16561818181819,88.49576363636362,86.79127272727276,86.3982909090909,87.49252727272724,89.56339999999997,90.82330909090908,90.10478181818182,90.9612909090909
6 hr,85.62126944444447,82.85541111111115,81.99889999999999,82.54406388888886,83.07478333333339,83.50714722222226,84.58615555555558,85.2778083333333,88.33972222222222,86.86481666666663,86.73814999999999,87.55343333333337,89.40129166666665,90.83951666666664,90.38356944444445,91.21216944444448
