,2018-12-11,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-09,2019-01-11,2019-01-14,2019-01-18,2019-01-24,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-05,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
1 hr,313.9733833333334,309.50274999999993,308.71511666666663,298.1919500000001,293.15925,284.60406666666665,280.35311666666684,287.3183833333334,288.38053333333335,301.9831000000001,302.35044999999997,297.6815666666667,293.52115,291.65293333333335,290.76568333333324,287.21816666666666,290.3721833333335,291.0549333333333,339.4493000000001,337.62219999999996,339.8654666666666,342.98788333333334,338.23998333333344,340.75245,339.0928333333334,342.3317666666668
1 min,312.33,309.41,309.28,297.48,290.43,283.93,285.61,288.1,287.33,302.78,301.38,297.74,294.54,291.56,291.35,287.44,291.455,289.91,340.94,337.0,340.86,344.18,337.63,340.4,338.49,341.59
1.5 hr,313.80535555555565,309.4320777777778,308.8635222222222,299.69055555555553,293.92129999999986,284.9919777777778,279.7161555555557,287.8547888888889,288.80162222222236,302.3490222222223,302.2451111111111,297.50567777777775,293.27012222222226,291.6901555555555,290.63035555555564,286.9045555555555,290.1104555555557,291.59286666666657,339.6596777777778,338.12481111111117,339.6232333333333,342.94126666666676,338.2874888888889,340.8241333333334,339.07208888888897,342.44702222222224
10 day,322.505,318.608,316.616,312.11499999999995,308.48199999999997,305.30499999999995,298.409,287.98999999999995,286.147,286.66099999999994,287.763,291.85299999999995,293.53100000000006,294.179,295.221,290.947,290.82099999999997,289.866,298.2440000000001,302.804,308.37699999999995,325.243,329.939,335.001,339.85900000000004,340.91399999999993
10 min,312.95199999999994,309.3359,308.77449999999993,297.82669999999996,290.694,284.692,284.196,287.6571,287.71500000000003,302.60119999999995,301.7676,297.059,294.44300000000004,291.164,290.7780000000001,287.76300000000003,290.8935,289.15729999999996,340.7268,337.04200000000003,340.18899999999996,343.36659999999995,337.98699999999997,340.3895,338.25800000000004,342.1815
100 day,312.3530000000001,313.14000000000016,313.48630000000014,313.7896000000001,313.75510000000014,313.54860000000014,313.1845000000001,312.62330000000014,312.44660000000016,312.44950000000017,312.4436000000001,312.39100000000013,312.24670000000015,312.21230000000014,311.95430000000016,311.3399000000001,311.16340000000014,310.56690000000003,311.18310000000014,311.4504000000001,311.72900000000016,312.5524000000001,312.7359000000001,312.8520000000001,312.9390000000001,313.05510000000004
125 day,309.54504000000014,309.9420000000002,310.07232000000016,310.2429600000002,310.17216000000013,310.0793600000002,309.79040000000015,309.47912000000014,309.4096800000001,309.39616000000007,309.3421600000001,309.2723200000001,309.0911200000001,308.9900800000001,308.9261600000001,309.0244800000001,309.06048000000004,308.94671999999997,309.55768,309.82439999999997,310.15,311.20423999999997,311.4872,311.79391999999996,312.03896,312.40575999999993
15 min,313.14433333333335,309.1053333333333,308.5983333333333,297.8711333333333,290.9746666666667,284.74933333333337,283.4454,287.5136,287.78999999999996,302.6316666666666,301.92906666666664,297.16633333333334,294.32480000000004,291.13766666666663,290.95066666666673,287.56666666666666,290.77393333333333,289.3952,340.33739999999995,336.9616666666667,339.88513333333333,343.2328,338.1700666666667,340.42333333333335,338.37333333333333,342.45553333333334
150 day,303.2626000000001,304.07533333333345,304.3182666666668,304.7242000000001,304.87273333333343,304.9644666666668,305.1312000000001,305.55580000000015,305.6928666666668,305.9708666666668,306.2348666666668,306.66433333333345,306.89053333333345,306.98586666666677,307.1122000000001,306.92313333333345,306.9302666666668,306.82266666666675,307.3337333333334,307.6134,307.93000000000006,308.8805333333333,309.10313333333323,309.3176666666666,309.5361999999999,309.8043999999999
175 day,302.46545714285725,302.455742857143,302.4144285714287,302.3684857142858,302.2776857142858,302.15208571428576,301.78580000000005,301.1506571428572,301.07191428571434,301.0855714285715,301.1045428571429,301.46874285714296,301.65748571428577,301.77291428571436,302.22040000000004,302.4409714285715,302.5615428571429,302.90371428571433,303.69108571428575,304.05057142857146,304.4635428571429,305.7702857142857,306.2090285714285,306.6577714285714,307.0606857142856,307.49297142857137
2 day,314.09000000000003,310.45000000000005,309.35,301.765,294.025,287.19,279.61,286.48,287.745,295.12,302.105,299.17499999999995,293.605,293.05,292.905,286.05499999999995,289.495,289.845,336.0,338.975,338.85,344.33500000000004,340.99,339.11,339.445,340.045
2 hr,313.1600166666666,309.60639166666664,308.90149166666663,301.16749999999996,293.6217833333332,285.2647333333333,279.5188333333334,287.84616666666676,289.1849916666667,302.7404916666667,302.2703750000001,297.4281083333332,293.1245333333335,291.8647333333333,290.7844750000001,286.4079166666666,289.94850833333345,291.7673916666666,339.6829166666668,338.47715833333353,339.26726666666667,342.91876666666667,338.3679916666666,340.8955916666667,338.9819,342.4617416666669
2.5 hr,312.90638666666666,309.62934,308.94280666666657,302.6173533333334,293.95251999999977,285.45172666666656,279.48510000000016,287.9603066666666,289.4721666666666,302.9170733333332,302.3004866666668,297.5771933333333,292.87805333333347,292.0544199999999,290.7815533333335,285.9418666666667,289.80691333333357,291.39246,339.60734000000014,338.5468466666668,338.80715999999995,342.7041733333334,338.21696,340.93181999999996,338.98748000000006,342.34049333333354
20 day,319.8795000000001,318.328,317.86800000000005,315.43750000000006,314.7095,313.629,310.457,302.303,300.34299999999996,299.388,298.12249999999995,296.47299999999996,294.3675,293.3715,290.9409999999999,291.4,291.68549999999993,292.474,297.2995000000001,299.01250000000005,300.97400000000005,308.03200000000004,310.196,312.63800000000003,314.86249999999995,317.2519999999999
20 min,313.3037499999999,309.01965000000007,308.53725,297.73834999999997,291.3961,284.49895000000004,283.01105000000007,287.3592,287.83125,302.5626,301.93255,297.29705,294.23060000000004,291.15125,291.13250000000005,287.44124999999997,290.77995,289.46760000000006,339.9650499999999,337.018,339.84635,343.13759999999996,338.2407,340.53550000000007,338.5965,342.51249999999993
200 day,306.06117500000016,305.5867750000001,305.4694250000001,305.0642750000001,304.8231750000001,304.5368750000001,303.7989250000001,302.64932500000015,302.42187500000017,302.2975250000001,302.1775250000001,301.9924750000001,301.8165250000001,301.7430250000001,301.445375,301.00977500000005,300.925625,300.700475,300.943875,301.041575,301.167325,301.717275,301.90462499999995,302.11587499999996,302.4916999999999,302.84324999999995
25 min,313.49739999999997,309.02752000000004,308.5474,297.91048,291.77088,284.22876,282.6476400000001,287.25892,288.06300000000005,302.43348,302.04884,297.36284000000006,294.11868000000004,291.2658,291.15200000000004,287.3762,290.67756,289.69148000000007,339.70863999999995,337.04924,339.88068,343.10708,338.22736,340.60560000000004,338.7336,342.49799999999993
3 hr,312.9763444444444,309.79119444444444,308.9540944444444,303.51426666666663,294.2467277777776,285.51033333333316,279.38358333333343,287.7786277777777,289.65841666666677,302.9856666666666,302.50315555555557,297.6874499999999,292.7483555555557,292.0908944444442,290.9385055555556,285.5654500000001,289.6529833333335,291.2039666666667,339.56145555555577,338.55749444444456,338.32018888888894,342.5445222222223,338.2749999999999,340.9667388888889,338.90443888888893,342.1583944444446
