,2018-12-26,2019-01-11,2019-01-22,2019-01-25,2019-01-28,2019-01-31,2019-02-07,2019-02-12
1 hr,74.38414999999995,76.90605000000002,79.24068333333334,79.37205000000004,78.76563333333338,81.02963333333332,84.08114999999998,84.65084999999998
1 min,75.43,77.05,79.51,79.39,79.0,81.01,84.3,84.72
1.5 hr,74.06725555555552,76.92705555555558,79.26936666666668,79.43606666666669,78.72544444444445,81.00334444444442,84.03106666666665,84.64085555555553
10 day,76.58716999999999,76.15599999999999,77.728,78.639,78.83300000000001,79.585,81.17999999999999,82.68699999999998
10 min,75.1815,76.98300000000002,79.241,79.2585,78.83,81.241,84.251,84.65899999999999
100 day,76.62628300000002,76.87459900000003,77.06830100000003,77.18270900000005,77.21635300000004,77.33229300000002,77.673584,77.89223099999998
125 day,75.24809120000002,76.01166160000004,76.4336552,76.64733360000002,76.69184560000004,76.8318656,77.1599776,77.42204879999996
15 min,75.07233333333333,76.98566666666669,79.2196,79.265,78.80573333333334,81.25246666666665,84.22526666666667,84.59366666666666
150 day,74.05083600000005,74.60523800000004,75.00958266666669,75.24433200000003,75.3252866666667,75.59045200000001,76.14131400000001,76.47445466666665
175 day,73.51391942857147,73.80348400000004,74.13334228571432,74.30089885714291,74.35649885714291,74.54109028571432,74.93266342857146,75.20463085714286
2 day,73.77000000000001,77.175,79.925,79.235,79.16999999999999,80.655,83.07499999999999,84.39
2 hr,73.87107499999996,76.98322500000002,79.33486666666668,79.49170000000002,78.70014166666668,80.985525,83.96747500000001,84.65425833333329
2.5 hr,73.69465999999996,77.02358666666665,79.38331333333336,79.53074000000002,78.69943333333335,80.94445999999999,84.0661866666667,84.69006666666665
20 day,78.4214,76.24042499999999,76.624,77.37200000000001,77.4945,78.047,79.80699999999999,80.8495
20 min,75.00925000000001,76.98255000000002,79.24145000000001,79.26374999999999,78.81680000000001,81.25534999999999,84.22345000000001,84.56625
200 day,73.35345350000004,73.56364150000005,73.75541450000004,73.87339600000006,73.90907700000005,74.02488400000004,74.25304000000003,74.4344365
25 min,74.94340000000001,76.97524000000003,79.23156000000002,79.2502,78.8088,81.21811999999998,84.18956,84.555
3 hr,73.54216111111107,77.06640555555552,79.38354444444447,79.54645000000001,78.69136666666667,80.88427222222224,84.11640000000001,84.71538888888887
3.5 hr,73.46999999999996,77.12139047619041,79.39927142857145,79.54981428571428,78.66467142857142,80.84472857142856,84.09345714285719,84.73325238095242
30 day,78.72262333333335,77.57021999999999,77.07381333333335,77.11039000000002,77.10461666666669,77.30300000000001,78.50933333333334,79.318
30 min,74.85183333333335,76.95270000000002,79.23146666666668,79.2385,78.80500000000004,81.17656666666663,84.1763,84.56566666666667
4 hr,73.4062083333333,77.14393749999996,79.44452083333333,79.5239875,78.62233333333329,80.8270625,84.0327791666667,84.7577708333334
4.5 hr,73.27248518518513,77.17005925925925,79.50754074074072,79.4950962962963,78.5937407407407,80.83069999999998,83.93239629629633,84.77312962962975
40 day,78.73419500000001,78.00148500000002,77.86033250000003,77.89670000000004,77.88591500000003,77.82639250000003,78.10897000000001,78.50613000000001
45 min,74.58064444444442,76.91353333333335,79.2544,79.31593333333336,78.78853333333338,81.06475555555554,84.1101111111111,84.61739999999996
5 day,75.08,76.324,78.72200000000001,79.596,79.324,79.80799999999999,82.55199999999999,83.79
5 hr,73.11749666666657,77.18072666666664,79.54982666666666,79.49011333333334,78.57869999999998,80.81976333333333,83.84051000000004,84.78012333333342
5 min,75.38500000000002,77.01599999999999,79.304,79.366,78.956,81.16299999999998,84.23599999999999,84.72999999999999
5.5 hr,72.97999696969687,77.1852909090909,79.57549090909092,79.49807272727273,78.59402121212119,80.80434848484848,83.80367878787885,84.78077575757584
50 day,77.742042,78.22389200000002,78.25636400000003,78.18237400000004,78.16778800000003,78.22663400000003,78.55459000000002,78.81412000000002
50 min,74.50897999999997,76.91088000000002,79.24338,79.33846000000003,78.78128000000004,81.04209999999998,84.08326,84.63361999999998
55 min,74.44852727272723,76.91023636363639,79.23507272727271,79.35878181818185,78.76934545454552,81.03427272727272,84.07667272727271,84.6445636363636
6 hr,72.88409444444437,77.1691222222222,79.63991388888888,79.4950361111111,78.62065277777774,80.75850277777778,83.7935305555556,84.79093055555563
6.5 hr,72.84659230769226,77.16295897435897,79.7291230769231,79.50515128205124,78.65801794871791,80.69663333333335,83.72827692307695,84.78049743589753
60 day,77.32740166666666,77.55895166666667,77.94685166666669,78.28013000000004,78.32541000000005,78.43999500000002,78.70551333333333,78.90407999999998
70 day,77.29653999999998,77.1841585714286,77.37874000000004,77.63631571428574,77.7409585714286,77.97707857142859,78.6461857142857,78.97074571428568
80 day,77.13538625,77.15097750000001,77.21633500000003,77.33855125000005,77.39026375000005,77.56322625000003,77.98532374999999,78.42933374999998
90 day,76.9342,77.03672555555558,77.19517666666668,77.31330888888891,77.33786888888892,77.41326555555558,77.73130222222223,78.02136666666664
Tomorrow,76.54,77.6,79.66,78.99,79.39,81.56,84.02,84.5
