,2019-01-31,2019-02-01,2019-02-04
1 hr,0.5044249999999999,0.5676216666666668,0.6820333333333333
1 min,0.5077,0.5756,0.6869
1.5 hr,0.5005122222222224,0.5650566666666668,0.6794911111111109
10 day,5.3037,5.7384,6.262199999999999
10 min,0.50715,0.57867,0.6826899999999998
100 day,5.08773,5.105445,5.144549999999999
125 day,5.441580000000003,5.458212000000002,5.489496000000002
15 min,0.5053333333333333,0.5777800000000001,0.6822199999999999
150 day,5.78733,5.79569,5.81499
175 day,6.261214285714286,6.253825714285714,6.256482857142856
2 day,6.883500000000001,8.14875,9.5205
2 hr,0.4981575000000002,0.5661241666666668,0.6818633333333334
2.5 hr,0.49839933333333336,0.5674866666666665,0.6858686666666667
20 day,4.577249999999999,4.838849999999999,5.178374999999999
20 min,0.5037299999999999,0.57587,0.682105
200 day,6.8569125,6.8410575,6.8384025
25 min,0.501832,0.5748200000000001,0.6822559999999999
3 hr,0.49867333333333325,0.5701616666666665,0.6886038888888889
3.5 hr,0.4970357142857144,0.5705795238095236,0.6893704761904764
30 day,4.12235,4.2947,4.5200499999999995
30 min,0.5012033333333332,0.5734066666666668,0.6819366666666665
4 hr,0.4961620833333336,0.5699629166666664,0.6896904166666668
4.5 hr,0.49751666666666694,0.5686270370370372,0.6926444444444444
40 day,4.087424999999999,4.196512499999999,4.350262499999999
45 min,0.5019933333333332,0.5718733333333336,0.6819044444444443
5 day,5.825399999999999,6.5207999999999995,7.5908999999999995
5 hr,0.49982433333333376,0.5671596666666665,0.6976376666666664
5 min,0.5074799999999999,0.5781599999999999,0.68592
5.5 hr,0.4987845454545456,0.5665772727272725,0.6992642424242422
50 day,4.19367,4.268280000000001,4.37997
50 min,0.5031639999999998,0.5706220000000002,0.6818679999999999
55 min,0.5045345454545452,0.5693018181818184,0.6819054545454545
6 hr,0.49304861111111126,0.5653274999999999,0.6971566666666664
6.5 hr,0.48802410256410256,0.5625425641025641,0.6930335897435895
60 day,4.353899999999999,4.412324999999998,4.499774999999999
70 day,4.4860500000000005,4.52112857142857,4.589635714285714
80 day,4.728149999999999,4.7528437499999985,4.801256249999999
90 day,4.945666666666667,4.971316666666666,5.011433333333333
Tomorrow,8.6805,10.3605,8.6985
