,2018-12-11,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2018-12-31,2019-01-03,2019-01-07,2019-01-09,2019-01-11,2019-02-01,2019-02-05,2019-02-11
1 hr,21.637549999999997,18.89866666666666,18.626333333333328,17.726016666666666,17.17579999999999,17.72883333333333,17.65578333333333,21.78298333333334,23.75348333333333,24.190133333333346,25.707533333333345,25.20628333333334,24.79546666666668
1 min,21.468,18.89,18.88,17.5,17.11,17.96,17.66,21.73,23.8,24.08,25.75,25.05,24.89
1.5 hr,21.72234444444443,18.89965555555555,18.534577777777777,17.667299999999997,17.217566666666652,17.693444444444438,17.671333333333333,21.818855555555565,23.70442222222222,24.214188888888884,25.68250000000001,25.19072222222224,24.771355555555562
10 day,19.127999999999997,20.546000000000003,20.526000000000003,20.061999999999998,19.648999999999997,18.026999999999997,17.955999999999996,18.441000000000003,19.77,20.964,24.301,24.673,25.227999999999998
10 min,21.5167,18.7962,18.8325,17.5785,17.186500000000002,17.774800000000003,17.7498,21.6797,23.779999999999998,24.0957,25.7117,25.109,24.868500000000004
100 day,28.665050000000004,27.643250000000013,27.37555000000002,26.839850000000016,26.569550000000017,25.492650000000012,25.165850000000013,24.872150000000016,24.654950000000007,24.43755000000001,22.772050000000004,22.583550000000006,22.309649999999998
125 day,32.276759999999996,31.480760000000004,31.24404000000001,30.757960000000008,30.53036000000001,29.44980000000001,29.002600000000008,28.544120000000014,28.13732000000001,27.75764000000001,25.342920000000007,25.154920000000004,24.83764
15 min,21.536733333333327,18.776799999999998,18.852666666666664,17.623,17.185666666666666,17.7562,17.715200000000003,21.677466666666664,23.774999999999995,24.137533333333337,25.700133333333333,25.098666666666666,24.881600000000002
150 day,34.870166666666684,34.11376666666668,33.90150000000001,33.444033333333344,33.224166666666676,32.198100000000004,31.803833333333337,31.43990000000001,31.12936666666667,30.83576666666667,28.831166666666675,28.563900000000007,27.9983
175 day,37.11500000000002,36.328600000000016,36.08745714285717,35.58105714285717,35.33231428571431,34.34311428571431,34.01414285714288,33.72654285714288,33.49065714285716,33.25460000000002,31.325628571428584,31.066085714285723,30.55145714285715
2 day,21.605,19.82,18.88,17.61,17.305,17.965,18.525,20.035,23.854999999999997,24.439999999999998,25.555,25.185000000000002,25.105
2 hr,21.64464999999998,18.862508333333345,18.524266666666662,17.60696666666667,17.26298333333332,17.68470833333332,17.64375,21.790908333333345,23.657724999999996,24.229541666666663,25.67003333333334,25.175683333333343,24.731716666666667
2.5 hr,21.642639999999993,18.89409333333334,18.523806666666655,17.589800000000015,17.28852666666666,17.69738666666666,17.61045333333332,21.765680000000003,23.599866666666674,24.239813333333338,25.669819999999994,25.14606000000002,24.680086666666668
20 day,17.666,18.756500000000003,18.863000000000007,18.931,18.912,19.203,19.241000000000003,19.251500000000004,19.488500000000002,19.8185,23.54,24.055,24.3115
20 min,21.5448,18.786099999999998,18.855749999999997,17.67525,17.161499999999997,17.76715,17.6854,21.659799999999997,23.775999999999996,24.143650000000004,25.68935,25.1035,24.879700000000003
200 day,39.68172500000002,38.91402500000002,38.710525000000025,38.29467500000002,38.07192500000002,36.99737500000002,36.60527500000002,36.232375000000026,35.89802500000002,35.592075000000015,33.36752500000002,33.092175000000026,32.65132500000002
25 min,21.546839999999996,18.80828,18.8344,17.7124,17.1192,17.77212,17.67312,21.661119999999997,23.775159999999993,24.15764,25.694879999999998,25.108599999999996,24.873320000000003
3 hr,21.67417777777777,18.958061111111117,18.562355555555545,17.584327777777794,17.26456666666666,17.71258333333333,17.605233333333317,21.724511111111113,23.571505555555568,24.26875555555557,25.665344444444443,25.097161111111134,24.64370000000001
3.5 hr,21.70883333333333,18.96257142857143,18.61599999999999,17.567652380952392,17.232199999999995,17.732804761904763,17.603209523809515,21.738471428571437,23.519866666666676,24.320190476190483,25.657919047619036,25.04803809523812,24.609099999999994
30 day,16.785999999999998,17.566,17.711666666666666,17.897333333333336,17.931333333333335,18.398666666666667,18.56066666666667,18.76766666666667,19.221,19.728000000000005,21.678666666666672,22.18366666666667,23.195666666666664
30 min,21.558699999999998,18.838833333333337,18.814833333333336,17.732499999999998,17.095866666666666,17.7691,17.675166666666666,21.65643333333333,23.777299999999993,24.171033333333337,25.702233333333332,25.139833333333325,24.864300000000007
4 hr,21.733862499999997,18.99410000000001,18.641020833333325,17.543616666666683,17.202225,17.74782916666667,17.60326249999999,21.75449583333333,23.468429166666674,24.362937500000005,25.65478333333332,25.0375416666667,24.597691666666677
4.5 hr,21.761170370370365,19.010696296296306,18.647548148148143,17.52801851851853,17.2270962962963,17.76370740740741,17.597562962962954,21.773029629629626,23.470214814814817,24.388429629629645,25.62952222222221,25.054292592592628,24.56445925925928
40 day,18.642875,17.700125000000003,17.513125000000002,17.362875000000003,17.340500000000002,17.552500000000002,17.772750000000006,18.033250000000006,18.431500000000003,18.900250000000007,21.390500000000003,21.653250000000003,22.064999999999998
45 min,21.589466666666667,18.892511111111112,18.728666666666665,17.75117777777777,17.115977777777776,17.742311111111114,17.67255555555555,21.7334,23.769333333333336,24.177733333333343,25.702711111111118,25.20804444444444,24.83215555555556
5 day,20.862000000000002,20.71,20.189999999999998,18.747999999999998,18.017999999999997,18.036,18.193999999999996,19.016000000000002,21.088,23.664,24.98,25.216,25.357999999999997
5 hr,21.783323333333332,19.075963333333338,18.654139999999995,17.527453333333355,17.25305000000001,17.77676333333334,17.606679999999994,21.790926666666657,23.46259666666667,24.402263333333348,25.596363333333322,25.081270000000032,24.55544000000003
5 min,21.4944,18.826,18.821,17.543,17.160000000000004,17.819,17.753,21.738000000000003,23.802,24.087800000000005,25.7314,25.116,24.861
5.5 hr,21.81320909090909,19.165806060606066,18.655399999999997,17.549093939393952,17.265812121212125,17.805781818181824,17.60939999999999,21.76961515151514,23.473287878787886,24.412624242424254,25.58026666666666,25.116172727272744,24.578430303030327
50 day,20.8767,20.017900000000004,19.781700000000004,19.298500000000004,19.072900000000004,17.987100000000005,17.601700000000005,17.578500000000005,17.797000000000004,18.081000000000007,20.552400000000002,20.882600000000004,21.5614
50 min,21.61412,18.90388,18.6986,17.746459999999995,17.133379999999992,17.73436,17.664119999999997,21.75408,23.77118,24.18316000000001,25.70364000000001,25.207539999999998,24.816880000000005
55 min,21.62587272727273,18.904072727272727,18.661909090909088,17.736109090909085,17.15525454545454,17.73021818181818,17.659763636363632,21.769527272727277,23.76678181818182,24.18778181818183,25.704945454545467,25.207218181818185,24.8025090909091
6 hr,21.832663888888884,19.26014722222222,18.67965555555555,17.556050000000013,17.275955555555562,17.8404638888889,17.63683888888887,21.720124999999985,23.517894444444458,24.401302777777797,25.541213888888876,25.147030555555567,24.593697222222243
6.5 hr,21.85550769230769,19.336056410256408,18.71825897435897,17.554982051282064,17.285415384615398,17.86202820512821,17.727033333333317,21.630625641025627,23.56686666666668,24.409864102564114,25.50669743589743,25.175723076923095,24.64063589743591
60 day,22.663250000000005,21.87925000000001,21.654250000000008,21.173416666666675,20.93625000000001,19.90158333333334,19.477416666666674,19.155583333333343,19.01225,18.91741666666667,19.69516666666667,20.0405,20.703999999999994
70 day,24.326357142857148,23.473642857142867,23.240642857142866,22.754928571428582,22.530642857142865,21.523214285714296,21.12592857142858,20.783071428571436,20.592785714285718,20.45521428571429,19.298357142857142,19.42892857142857,19.861142857142852
80 day,25.7729375,25.00743750000001,24.79406250000001,24.344937500000007,24.106062500000007,22.99731250000001,22.58006250000001,22.21568750000001,21.998187500000007,21.80918750000001,20.4930625,20.3804375,20.265937499999993
90 day,26.850611111111114,26.14250000000001,25.96694444444446,25.586722222222235,25.392944444444456,24.43350000000001,24.03427777777779,23.688944444444456,23.410500000000006,23.158500000000007,21.66238888888889,21.510166666666667,21.312166666666663
Tomorrow,20.8,18.88,17.72,17.11,17.31,19.39,18.34,23.9,24.8,22.73,25.3,26.13,25.19
