,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,37.04213333333333,37.09541666666666,36.57165,36.344933333333316,36.160016666666664,35.45998333333334,35.2174,34.71611666666667,33.981100000000005,33.68031666666666,33.79798333333334,34.15788333333334,34.82001666666667,35.579399999999985,35.56201666666666,35.80113333333333,35.93581666666668,35.83736666666666,35.550133333333335,35.75343333333334,36.00534999999999,35.88903333333333,36.181833333333344,35.15644999999998,36.744166666666665,36.150200000000005,35.74843333333333,35.225800000000014,36.0999,35.452333333333335,36.54593333333334,36.76448333333335,37.145716666666665,37.2047,37.51448333333333,37.003566666666664,37.28404999999999,37.06469999999999,37.357249999999986,37.69173333333335
1 min,36.84,36.99,36.75,36.32,36.245,35.65,35.2,34.61,33.76,34.13,34.05,34.364,34.63,35.81,35.42,35.69,36.06,35.82,35.63,35.76,35.9,35.89,36.21,35.18,36.89,36.19,35.75,35.37,36.08,35.43,36.55,36.79,37.14,37.18,37.68,37.005,37.25,37.03,37.26,37.76
1.5 hr,37.042244444444464,37.0623,36.53603333333332,36.33094444444444,36.20173333333333,35.47992222222221,35.39708888888889,34.684833333333344,34.05698888888889,33.59968888888888,33.7435,34.214700000000015,34.88392222222224,35.56835555555554,35.562799999999996,35.791755555555554,35.87770000000001,35.83487777777778,35.54075555555557,35.752211111111116,36.0418888888889,35.93278888888888,36.17122222222223,35.24904444444442,36.66122222222224,36.076155555555545,35.73068888888888,35.18596666666668,36.109399999999994,35.51120000000001,36.538255555555565,36.76617777777781,37.126911111111106,37.17275555555555,37.51,37.00725555555557,37.29001111111112,37.053244444444445,37.35735555555555,37.68596666666669
10 day,38.00562000000001,37.86838999999999,37.63966,37.33336,37.05490999999999,36.70684,36.45823,36.13403,35.77005,35.07592,34.37773,34.21376,34.13248,34.21394,34.31409,34.52976,34.84705,35.033930000000005,35.169000000000004,35.33,35.660999999999994,35.788,35.828,35.782000000000004,35.899,35.916999999999994,35.913,35.887,35.918,35.878,35.94500000000001,36.033,36.307,36.335,36.479,36.824,36.940000000000005,37.1,37.169,37.266999999999996
10 min,36.8781,37.0276,36.730900000000005,36.35149999999999,36.1882,35.6913,35.309000000000005,34.6019,33.812799999999996,34.03000000000001,33.8715,34.2984,34.6535,35.7255,35.4995,35.7744,35.967,35.848000000000006,35.6515,35.75150000000001,35.948,35.849000000000004,36.153600000000004,34.974000000000004,36.81400000000001,36.2628,35.7385,35.2955,36.07150000000001,35.408500000000004,36.570499999999996,36.827,37.15019999999999,37.216499999999996,37.6108,37.0145,37.1965,37.029,37.3635,37.7154
100 day,36.03311299999999,36.061589999999995,36.089164999999994,36.12027799999999,36.14980099999998,36.16059999999999,36.16355999999998,36.157092999999975,36.138807999999976,36.11439099999998,36.08949899999999,36.08650199999999,36.081852999999995,36.09295899999999,36.100660999999995,36.107800999999995,36.122495,36.127964,36.132127,36.139371,36.152199,36.16203,36.163090000000004,36.152443,36.161787,36.160675,36.155655,36.143468999999996,36.144416,36.139852999999995,36.15025,36.160375,36.180859,36.195575,36.205994,36.22081399999999,36.21990899999999,36.22105799999999,36.21966099999999,36.22247299999999
125 day,35.437830399999996,35.46596,35.491867199999994,35.52465999999999,35.55460879999999,35.57553999999999,35.59753199999999,35.60696399999998,35.61490319999997,35.63767919999998,35.68027199999998,35.69338399999998,35.70841919999999,35.7291744,35.74704719999999,35.76898159999999,35.790232800000005,35.803392,35.813843999999996,35.823279199999995,35.85656800000002,35.86759840000001,35.88585600000001,35.89522240000001,35.926120800000014,35.95158160000002,35.962838400000024,35.96820320000002,35.97624160000002,35.97654720000002,35.988980000000026,36.00918720000003,36.04084640000003,36.05807920000003,36.08216160000003,36.120527200000026,36.141168800000024,36.15736080000002,36.178716000000016,36.19869120000001
15 min,36.91673333333334,37.05160000000001,36.71626666666667,36.329333333333324,36.148933333333325,35.665200000000006,35.292666666666676,34.61793333333333,33.84053333333333,33.969,33.878,34.257600000000004,34.650666666666666,35.70133333333333,35.52373333333333,35.77560000000001,35.95153333333333,35.861000000000004,35.657000000000004,35.74113333333334,35.952,35.858666666666664,36.16993333333333,35.0042,36.815000000000005,36.2572,35.739000000000004,35.282000000000004,36.088333333333345,35.40866666666667,36.56966666666667,36.8172,37.163133333333334,37.23193333333333,37.58706666666667,37.01166666666666,37.20320000000001,37.034933333333335,37.37746666666666,37.72293333333333
150 day,34.75664,34.80034,34.837139333333326,34.868925333333316,34.898275333333316,34.92476533333331,34.94466533333331,34.96170399999997,34.97094266666663,34.99136599999998,35.05008999999998,35.07263933333331,35.097185333333314,35.13149799999999,35.162752666666655,35.19574399999998,35.23237933333333,35.25961266666666,35.287349333333324,35.31549466666666,35.371610000000004,35.399115333333334,35.418786666666676,35.429798000000005,35.462132000000004,35.48862466666668,35.50824866666668,35.529072666666686,35.54794266666669,35.56700333333336,35.59589266666669,35.62946133333337,35.693227333333375,35.722293333333376,35.75528666666671,35.812778666666716,35.839739333333384,35.86675133333339,35.89246066666672,35.91642666666672
175 day,34.425455428571425,34.44279428571428,34.457253142857134,34.472022857142846,34.487008571428554,34.499317714285695,34.51069942857141,34.52125771428569,34.52749028571426,34.53403771428569,34.557961142857124,34.564026857142835,34.574557714285696,34.58666057142856,34.60181828571427,34.62717485714284,34.65683428571428,34.68135714285713,34.709065142857135,34.73920285714285,34.78747085714286,34.82076857142857,34.85499428571429,34.877469714285716,34.909006285714284,34.93547942857143,34.960054857142865,34.979252571428574,35.0032942857143,35.02188000000002,35.04911542857145,35.076652571428596,35.14215485714289,35.17613428571432,35.2143765714286,35.28854114285718,35.32567371428575,35.361437714285756,35.399696571428606,35.43418228571433
