,2018-12-11,2018-12-20,2018-12-21,2019-01-04,2019-01-07,2019-01-28,2019-01-29
1 hr,17.444833333333342,16.051766666666662,15.443033333333343,17.40994999999999,17.91805,20.62881666666666,20.845933333333335
1 min,17.38,16.04,15.45,17.44,17.88,20.62,20.82
1.5 hr,17.419655555555558,16.05547777777776,15.445966666666683,17.40974444444445,17.902422222222224,20.56956666666667,20.866166666666672
10 day,17.684,16.891,16.741,16.319000000000003,16.501,19.031,19.237000000000002
10 min,17.418,16.034,15.442000000000002,17.4139,17.887999999999998,20.6125,20.8348
100 day,26.677299999999992,25.724999999999994,25.558199999999996,24.342800000000008,24.207700000000003,22.4895,22.3841
125 day,27.271319999999992,26.537559999999992,26.427159999999994,25.60856,25.51184,24.259200000000003,24.180640000000007
15 min,17.429333333333336,16.030799999999996,15.444333333333333,17.409933333333335,17.898333333333333,20.621333333333332,20.82453333333334
150 day,27.673966666666658,27.073366666666654,26.977833333333322,26.289699999999996,26.210233333333328,25.171766666666667,25.115166666666667
175 day,29.03788571428571,28.123999999999988,27.981285714285708,26.874485714285708,26.749685714285707,25.830085714285715,25.777628571428572
2 day,17.35,16.295,15.74,17.12,17.655,19.835,20.725
2 hr,17.371908333333334,16.032658333333327,15.452358333333347,17.418875000000007,17.883633333333325,20.537458333333326,20.86622500000001
2.5 hr,17.350706666666674,16.04415333333333,15.468233333333346,17.436560000000007,17.88287333333333,20.488539999999986,20.857720000000022
20 day,17.982499999999998,17.3815,17.2615,16.677500000000002,16.696,18.306999999999995,18.532
20 min,17.437600000000003,16.0336,15.442000000000002,17.4022,17.9005,20.633000000000003,20.817650000000008
200 day,30.398549999999997,29.605599999999995,29.480599999999995,28.5103,28.397750000000002,26.9599,26.8589
25 min,17.450000000000003,16.043079999999996,15.4356,17.398759999999996,17.901480000000003,20.637600000000006,20.820600000000002
3 hr,17.35372777777778,16.063522222222215,15.462394444444453,17.458872222222222,17.88469999999999,20.453422222222212,20.845238888888915
3.5 hr,17.347742857142862,16.08020952380951,15.470480952380964,17.472961904761913,17.88162380952381,20.43157619047619,20.843019047619077
30 day,19.766666666666666,18.01233333333333,17.71033333333333,17.077333333333335,17.088000000000005,17.631666666666668,17.756666666666668
30 min,17.457833333333333,16.047566666666665,15.436933333333334,17.398466666666664,17.900433333333332,20.63666666666667,20.82866666666667
4 hr,17.355325,16.09352499999999,15.48202083333334,17.484700000000007,17.874570833333333,20.397308333333324,20.842487500000026
4.5 hr,17.380007407407415,16.11507407407406,15.504814814814821,17.49642222222223,17.874877777777783,20.37208888888889,20.836637037037057
40 day,21.134,19.56925,19.344250000000002,17.80675,17.6345,17.63775,17.708000000000002
45 min,17.460155555555566,16.05482222222222,15.435933333333338,17.408177777777777,17.92117777777778,20.634311111111113,20.842688888888894
5 day,17.362000000000002,16.524,16.25,16.804000000000002,17.114,19.101999999999997,19.602
5 hr,17.40020666666668,16.14639333333332,15.527660000000004,17.51294333333334,17.875700000000002,20.35833333333333,20.836880000000022
5 min,17.386000000000003,16.038999999999998,15.445000000000002,17.444,17.887,20.626,20.85
5.5 hr,17.415881818181834,16.177672727272714,15.554827272727278,17.514218181818187,17.86590606060606,20.341487878787873,20.83669393939396
50 day,22.455199999999994,20.774599999999996,20.566,19.110200000000003,18.9556,17.738999999999997,17.7852
50 min,17.459200000000013,16.05484,15.437540000000006,17.409339999999997,17.92226,20.634280000000004,20.844520000000003
55 min,17.452454545454554,16.052309090909088,15.439400000000008,17.410036363636355,17.920781818181815,20.632163636363636,20.8452
6 hr,17.43712777777779,16.20365833333332,15.57519722222223,17.497491666666672,17.85086388888889,20.3311111111111,20.840283333333353
6.5 hr,17.45954102564104,16.224079487179473,15.597051282051279,17.481287179487186,17.834979487179478,20.295876923076914,20.848605128205143
60 day,23.745333333333328,22.17816666666666,21.933499999999995,20.217500000000005,20.062333333333335,18.601166666666664,18.557000000000002
70 day,24.772857142857134,23.34628571428571,23.121999999999993,21.542714285714286,21.367142857142856,19.524999999999995,19.454285714285714
80 day,25.571249999999996,24.330499999999994,24.127749999999992,22.652874999999998,22.490624999999998,20.493874999999996,20.384625
90 day,26.218111111111106,25.063999999999993,24.888777777777776,23.609333333333336,23.460555555555555,21.566777777777773,21.46922222222222
Tomorrow,17.59,15.43,15.1,17.87,18.05,20.82,21.05
