,2018-12-17,2018-12-19,2018-12-21,2018-12-31,2019-01-02,2019-01-14,2019-01-16,2019-02-01
1 hr,56.76470000000001,56.64494999999998,54.084516666666666,52.40436666666667,49.879200000000004,51.97298333333333,51.94608333333333,54.03318333333334
1 min,56.28,56.78,53.83,52.87,49.8,51.71,52.0,54.15
1.5 hr,56.83362222222222,56.90069999999999,54.29158888888888,52.40835555555557,49.93113333333334,52.01130000000003,51.97526666666664,54.08875555555557
10 day,57.43733000000001,57.37191,56.67306,53.653200000000005,53.05531,51.4,51.525999999999996,52.025
10 min,56.382000000000005,56.80799999999999,53.693,52.723,49.57099999999999,51.74100000000001,51.996500000000005,54.15050000000001
100 day,60.68950100000003,60.58413700000001,60.43352900000001,59.880563,59.735378999999995,58.67969300000002,58.398092000000005,56.871294
125 day,60.40861120000001,60.4081648,60.3763296,60.185178400000005,60.1124024,59.510760000000026,59.36702560000001,58.53364320000001
15 min,56.37146666666668,56.800333333333334,53.623999999999995,52.698,49.50966666666666,51.745000000000005,51.971666666666664,54.13966666666668
150 day,59.410516000000015,59.46779733333333,59.50816133333333,59.520622666666654,59.49700866666665,59.27027133333334,59.202392666666675,58.88170666666667
175 day,58.242576,58.32781657142857,58.398054285714274,58.46071828571426,58.46072457142854,58.43348114285714,58.417242285714266,58.41020171428571
2 day,57.29555,56.40345,53.86575,52.565,51.34,51.925,51.97,54.175
2 hr,56.805291666666655,57.09808333333333,54.41545833333335,52.48086666666668,49.86867499999999,52.05182500000001,51.99966666666664,54.09150833333334
2.5 hr,56.85581999999999,57.19450666666666,54.46338666666667,52.53886000000002,49.78435333333332,52.04912000000002,51.990706666666625,54.09841333333333
20 day,55.640650000000015,55.89739000000001,56.08672,55.53585,55.24631999999999,52.823209999999996,52.290654999999994,51.8885
20 min,56.377350000000014,56.75825,53.55674999999999,52.6795,49.53805,51.763,51.96915,54.13415
200 day,57.11493550000002,57.201884500000006,57.2626345,57.317608999999976,57.310899999999975,57.39671999999999,57.42209099999998,57.59196449999999
25 min,56.411480000000005,56.73219999999999,53.56296,52.640519999999995,49.59751999999999,51.7886,51.96332000000001,54.12092
3 hr,56.88332222222223,57.270883333333344,54.44368333333335,52.576555555555586,49.72223333333331,52.05347777777778,51.97871111111106,54.10099444444445
3.5 hr,56.91334285714286,57.332833333333355,54.475490476190465,52.57004285714286,49.65533809523808,52.078471428571426,51.96606190476186,54.08899047619051
30 day,55.23736666666668,55.31535,55.24199333333333,54.887299999999996,54.77886999999999,54.23965666666666,54.006213333333335,52.04635666666666
30 min,56.46156666666668,56.725333333333325,53.63559999999999,52.60563333333334,49.64793333333333,51.81450000000002,51.954333333333345,54.093266666666665
4 hr,57.01814583333334,57.35361666666669,54.51528749999999,52.53201666666666,49.62948749999998,52.107812499999994,51.95675416666664,54.073562500000044
4.5 hr,57.134496296296305,57.353437037037054,54.5372259259259,52.48068888888887,49.67946296296293,52.12777777777778,51.95763703703701,54.03782222222226
40 day,55.85402750000001,55.6034825,55.220352500000004,54.78532,54.691852499999996,54.04012,53.96565249999999,53.379975
45 min,56.62724444444446,56.66637777777777,53.88773333333333,52.481888888888875,49.79306666666665,51.91722222222222,51.95337777777778,54.02928888888889
5 day,57.79914,57.21032,55.263459999999995,52.04294,51.870140000000006,51.794,51.94,53.314
5 hr,57.2305866666667,57.343240000000016,54.533836666666645,52.43746333333332,49.729816666666636,52.14893666666667,51.962506666666634,53.97935000000002
5 min,56.34400000000001,56.82000000000001,53.727999999999994,52.775999999999996,49.73599999999999,51.76800000000001,52.05,54.16600000000001
5.5 hr,57.308787878787925,57.32948484848488,54.57078484848483,52.41539696969696,49.741451515151496,52.15513939393939,51.96742121212118,53.958496969697
50 day,56.75395,56.55926399999999,56.263071999999994,55.523894,55.29428399999999,54.10596600000001,54.058682,53.533836
50 min,56.68752000000001,56.65633999999999,53.95275999999999,52.44361999999999,49.81983999999999,51.9427,51.95392,54.01754000000001
55 min,56.72958181818183,56.64121818181816,54.01876363636362,52.41783636363636,49.84658181818182,51.961527272727274,51.949727272727266,54.02585454545456
6 hr,57.39588888888894,57.30420833333335,54.604552777777755,52.43445555555555,49.75489722222219,52.15581388888894,51.981855555555526,53.95736111111113
6.5 hr,57.52308205128209,57.26729487179489,54.65056153846151,52.42945641025642,49.793766666666606,52.135176923076955,51.98724102564101,53.96805128205129
60 day,57.79813666666667,57.48920999999999,57.208515,56.337938333333334,56.13750999999999,54.97691666666666,54.66623666666666,53.667305000000006
70 day,59.06961142857144,58.79525857142857,58.44109142857143,57.36116714285715,57.12058999999999,55.77079285714286,55.47872285714285,54.147822857142856
80 day,59.924951250000014,59.675667499999996,59.368230000000004,58.513816250000005,58.31782374999999,56.78372125000003,56.42126625000001,54.92701999999999
90 day,60.4776088888889,60.30554888888889,60.083654444444456,59.33937111111111,59.16165777777777,57.85868444444447,57.56317666666667,55.762878888888885
Tomorrow,56.5224,54.3713,50.663999999999994,49.8,49.59,51.95,51.85,54.67
