,2018-12-13,2018-12-14,2018-12-19,2019-01-16,2019-01-18,2019-02-01,2019-02-05
1 hr,17.133083333333335,15.832583333333327,13.350266666666666,15.682083333333338,14.971200000000007,10.023716666666676,11.037116666666668
1 min,17.19,16.11,13.355,15.45,14.94,10.03,11.0
1.5 hr,17.155011111111126,15.813344444444438,13.42287777777778,15.763366666666679,14.973455555555567,10.021322222222226,11.003099999999998
10 day,14.585999999999999,14.783999999999997,14.998499999999998,14.299000000000001,14.558999999999997,12.732,11.891
10 min,17.138399999999997,16.062099999999997,13.362200000000001,15.485500000000002,14.906100000000004,10.022999999999998,11.051299999999998
100 day,13.465900000000003,13.497300000000003,13.54315,13.616750000000001,13.64555,13.45885,13.380450000000002
125 day,13.802120000000006,13.795960000000004,13.749400000000003,13.535800000000005,13.564840000000004,13.52164,13.46924
15 min,17.092933333333335,15.966800000000001,13.3328,15.534333333333334,14.9254,10.023533333333335,11.035533333333332
150 day,14.570433333333337,14.569833333333335,14.509066666666671,13.925800000000006,13.868400000000005,13.624233333333338,13.555566666666671
175 day,14.931485714285722,14.931257142857149,14.892142857142865,14.522800000000004,14.496857142857145,14.24068571428572,14.152800000000004
2 day,17.12,16.65,13.9975,15.58,14.925,10.605,10.605
2 hr,17.17374166666668,15.807858333333323,13.428575000000002,15.798741666666679,14.971458333333347,10.016725000000003,10.957008333333333
2.5 hr,17.202760000000016,15.823266666666656,13.436793333333336,15.837413333333334,14.980280000000018,10.010620000000005,10.933466666666671
20 day,13.753,13.936499999999999,14.20075,13.712250000000001,13.804999999999996,13.589499999999997,13.263
20 min,17.0857,15.905600000000002,13.338850000000003,15.5585,14.932800000000004,10.023400000000002,11.0324
200 day,15.140000000000008,15.146550000000005,15.138425000000005,14.839275000000008,14.826025000000007,14.630900000000006,14.556500000000005
25 min,17.07284,15.865879999999999,13.351400000000002,15.579800000000002,14.945440000000003,10.025720000000003,11.030320000000001
3 hr,17.233816666666673,15.904283333333321,13.435700000000002,15.857844444444435,14.993511111111138,10.010088888888895,10.898511111111118
3.5 hr,17.257152380952387,16.054338095238084,13.47979047619047,15.87171428571427,15.008047619047648,10.008466666666672,10.854738095238105
30 day,13.454666666666668,13.6,13.782499999999999,14.118833333333336,14.202833333333334,13.394499999999999,13.222000000000001
30 min,17.070866666666667,15.848899999999999,13.357833333333334,15.583166666666667,14.955733333333335,10.03066666666667,11.033633333333336
4 hr,17.275237500000006,16.18525416666666,13.542845833333327,15.86969583333332,15.022862500000029,10.024045833333338,10.82410416666668
4.5 hr,17.301037037037045,16.292548148148143,13.593899999999998,15.877733333333325,15.035000000000027,10.049337037037038,10.781233333333345
40 day,13.077250000000001,13.158499999999998,13.324124999999999,13.884375000000002,14.002875,13.797625,13.665875
45 min,17.108555555555554,15.84302222222222,13.355133333333331,15.629,14.965377777777784,10.026555555555563,11.048533333333335
5 day,15.486,16.1,15.341,14.831999999999999,15.232,11.325999999999999,10.824000000000002
5 hr,17.299930000000007,16.37580333333333,13.617249999999997,15.886956666666663,15.03333333333336,10.082176666666669,10.719776666666684
5 min,17.193,16.121000000000002,13.357400000000002,15.45,14.904000000000002,10.024999999999999,11.035599999999999
5.5 hr,17.29164545454546,16.447727272727267,13.634457575757573,15.89356363636364,15.024478787878802,10.107484848484845,10.673039393939407
50 day,13.119399999999999,13.151399999999997,13.214699999999999,13.708500000000004,13.791500000000001,13.6917,13.629100000000001
50 min,17.1194,15.844319999999996,13.35802,15.650900000000002,14.968840000000005,10.022500000000006,11.04438
55 min,17.12690909090909,15.838199999999993,13.35601818181818,15.666909090909094,14.97094545454546,10.019000000000007,11.041072727272727
6 hr,17.28438333333334,16.50796666666666,13.65013888888889,15.892683333333341,15.013886111111123,10.111730555555551,10.647100000000012
6.5 hr,17.280715384615387,16.550825641025643,13.697712820512823,15.887117948717956,15.005441025641035,10.100610256410247,10.615548717948723
60 day,13.280833333333334,13.312333333333331,13.313249999999998,13.39091666666667,13.484416666666668,13.584416666666668,13.494916666666667
70 day,13.45257142857143,13.471285714285715,13.470357142857143,13.336785714285716,13.383357142857143,13.335928571428573,13.291214285714288
80 day,13.542125000000002,13.572875,13.605687499999998,13.4214375,13.436187499999999,13.2814375,13.2089375
90 day,13.49388888888889,13.516666666666667,13.539833333333334,13.53838888888889,13.544722222222223,13.351055555555554,13.269499999999999
Tomorrow,16.11,15.41,13.03,14.91,14.68,10.2,11.59
