,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,226.58825000000004,228.79934999999995,226.24886666666666,206.38100000000003,201.8893833333333,202.82586666666666,201.22378333333336,197.0532166666667,195.52711666666667,196.6254666666667,203.05979999999997,203.69816666666668,205.8680333333334,207.68440000000004,208.70363333333339,210.16775000000004,210.76260000000005,208.98591666666658,210.42170000000002,210.87706666666656,213.43031666666664,211.57233333333323,211.84073333333336,210.49611666666667,209.07521666666662,210.05273333333335,210.18630000000002,211.31396666666666,211.02176666666668,209.70204999999996,211.6922666666667,211.36936666666668,207.05556666666664,208.3599,211.60436666666675,213.1430666666666,214.03415000000007,216.6518166666667
1 min,226.5,227.79,226.39,207.05,202.23,202.98,201.43,197.2,194.48,198.65,203.73,204.76,206.23,206.96,208.52,210.69,210.51,209.0,210.18,211.46,213.59,212.49,212.1,210.26,209.06,210.79,210.32,211.31,214.63,210.23,211.61,211.62,207.76,208.79,211.9,212.8,213.83,216.5
1.5 hr,226.37902222222223,228.76938888888884,226.1427222222222,206.53860000000012,202.30593333333337,202.77309999999997,202.03598888888882,196.83388888888896,195.94471111111105,196.22154444444448,202.99948888888892,203.97493333333327,205.98122222222227,207.57653333333332,208.55651111111115,210.0438444444444,210.80493333333325,208.8476333333333,210.52795555555556,210.87821111111103,213.43145555555554,211.57005555555543,211.6359,210.59678888888888,209.14646666666664,209.95314444444443,210.14715555555557,211.37057777777773,210.87031111111116,209.7554222222221,211.71940000000012,211.29579999999999,207.1668222222222,208.19690000000003,211.58554444444445,213.000711111111,214.0062,216.71501111111112
10 day,227.51343000000003,227.99114,227.60917,225.22162000000003,222.32445,219.42328000000003,216.936,213.33871,210.31288999999998,204.27519999999998,198.83588999999998,199.08820999999998,199.31361,200.29795,201.69717,204.88056,205.82102,206.51515,207.78572,208.88673999999997,209.61975999999999,210.15830999999997,210.51135,210.55223999999998,210.39567000000002,210.42159999999998,210.55223999999998,210.58415,211.02795,210.90927000000002,210.59013,210.54127,210.39625,210.24803000000003,210.46368999999999,210.66563000000002,210.64445,211.32109999999997
10 min,226.45569999999998,228.3614,226.5105,206.73020000000002,201.8006,203.4565,201.8147,196.30789999999996,194.6546,198.2251,202.82649999999998,204.42770000000002,205.92749999999995,207.36549999999997,208.71749999999997,210.61040000000003,210.68099999999998,209.02159999999998,210.24020000000002,211.08049999999994,213.28939999999997,211.545,211.8234,210.24960000000002,208.9723,210.3261,210.3127,211.36520000000002,212.89849999999996,209.969,211.3105,211.69930000000005,207.03449999999998,208.6192,211.7072,212.993,213.86400000000003,216.48200000000003
100 day,227.26247799999987,227.36389099999988,227.4509499999999,227.34661399999993,227.17306699999995,226.99697599999993,226.82567199999994,226.6170429999999,226.38635499999992,225.91255199999995,225.32869699999995,225.14187399999994,224.84500699999998,224.730346,224.60692699999998,224.38585999999998,224.245465,224.07343600000002,223.73112099999997,223.56218800000005,223.396931,223.232212,223.06211800000005,222.87496700000003,222.663412,222.44592699999998,222.20843300000004,221.97205800000003,221.75774900000005,221.452399,220.819665,220.51782899999998,219.943441,219.72237700000002,219.509732,219.311062,219.122095,218.951071
125 day,223.61442319999986,223.80329679999988,223.9644111999999,223.97915759999992,223.9448879999999,223.91310799999988,223.8530015999999,223.7496959999999,223.6204063999999,223.38531279999992,223.2590855999999,223.2482567999999,223.1678927999999,223.1446047999999,223.12764959999993,223.1087191999999,223.06897279999993,223.0305975999999,222.97731359999992,222.93720719999993,222.90496399999992,222.86203519999992,222.81869759999995,222.74432559999994,222.65196239999995,222.58959759999993,222.52785039999998,222.47757679999995,222.46601759999996,222.38799199999994,222.22996319999993,222.14079439999992,221.95928159999997,221.87981919999996,221.83175199999997,221.77151119999996,221.7222104,221.6818816
15 min,226.4308,228.55226666666667,226.54366666666667,206.38813333333334,201.5302,203.50506666666666,201.6772,196.4231333333333,194.84139999999996,198.02473333333333,202.95153333333332,204.14913333333334,205.87466666666663,207.49093333333332,208.76826666666668,210.6146,210.6962,209.00553333333332,210.2684,211.06153333333333,213.3209333333333,211.58466666666666,211.87646666666666,210.24839999999998,208.97586666666666,210.25013333333337,210.3458,211.3504666666667,212.45393333333334,209.95033333333333,211.32166666666666,211.67686666666668,206.9953333333333,208.52779999999998,211.6258,213.011,213.92560000000003,216.62566666666672
150 day,219.2624046666666,219.48364933333326,219.69644933333325,219.77788066666662,219.8264046666666,219.88262799999993,219.90697533333324,219.89697733333324,219.87386133333322,219.82040399999994,219.91562933333324,219.97528466666657,220.04646733333323,220.1184346666666,220.19084933333323,220.3700626666666,220.42937333333325,220.47077133333326,220.56260266666655,220.61803999999995,220.68095666666656,220.72140533333328,220.76713666666657,220.7922999999999,220.80624133333325,220.81838466666653,220.81992666666662,220.8240826666666,220.86102999999994,220.86938599999988,220.91673866666653,220.94743533333317,220.97190999999992,220.97642199999993,220.99339999999995,221.01134933333321,221.0411946666666,221.06826066666662
175 day,215.06482057142858,215.31394742857145,215.55159485714285,215.6913485714286,215.80103200000005,215.91990914285716,216.02356228571432,216.0792434285714,216.1195417142857,216.12558914285714,216.27499142857138,216.3485388571428,216.4805794285714,216.5560914285714,216.6329725714285,216.80322857142846,216.90586914285706,217.00550285714274,217.210453142857,217.31579314285702,217.42445028571413,217.52643885714272,217.62490228571414,217.71254114285696,217.79538228571414,217.86959314285696,217.93613485714275,218.012233142857,218.10328114285704,218.1731679999999,218.330925142857,218.41185142857125,218.54557485714275,218.61398171428561,218.70685485714282,218.79642057142848,218.89635314285712,219.01233485714286
2 day,223.97500000000002,226.53805,226.54305,216.201,204.0937,202.06414999999998,201.65525,198.73315,195.29744999999997,193.78654999999998,202.32845,203.6848,202.78225,206.06335,207.21525,209.7035,210.0077,209.18995,210.03764999999999,210.25205,211.95245,212.4212,211.6732,210.631,209.1251,209.3545,209.9728,210.262,212.4162,211.87765,210.82549999999998,211.03494999999998,208.4,208.235,210.31,212.35000000000002,213.32,215.155
2 hr,225.92278333333337,228.93035833333323,226.0934249999999,206.76699166666674,202.70010000000002,202.81782499999994,202.55672499999991,196.34033333333343,196.2434666666666,196.00261666666668,203.03381666666667,203.97144166666675,206.09040000000005,207.63525833333327,208.33809999999997,210.0636333333333,210.79907499999993,208.85600833333322,210.59274166666677,210.74103333333318,213.45463333333333,211.6707166666666,211.62245,210.54870833333337,209.2562833333334,209.8481000000001,210.14128333333338,211.40684999999993,210.8323083333334,209.81416666666658,211.73279166666677,211.28607500000004,207.28001666666663,208.13535000000002,211.5912333333333,212.8318333333333,213.98027499999998,216.75430000000006
2.5 hr,225.71706666666674,229.11693333333324,226.21013333333332,206.84434666666675,203.0718933333333,202.85217333333327,203.15577333333326,196.33100666666675,196.48574666666664,195.8724733333334,203.20331333333334,204.02570666666674,206.18517333333338,207.81147999999993,208.12950000000004,209.90631333333337,210.8058999999999,208.92855999999995,210.59218000000016,210.6916799999998,213.47500000000008,211.81135999999995,211.5970266666666,210.52509999999995,209.40518666666668,209.84020000000007,210.1001533333334,211.11123333333327,210.8187666666667,209.87235333333325,211.5817933333334,211.32947333333334,207.28730000000002,208.10432000000003,211.60777333333326,212.66710666666668,213.98720666666668,216.65856000000002
20 day,226.90207999999998,226.56898,226.18851,224.879545,223.49778000000006,222.10005500000003,220.73723500000006,219.63122000000004,218.43196000000003,215.894315,212.028755,210.70632999999998,208.12480499999998,206.81832999999997,206.00502999999998,204.57788,203.71571,202.84257,203.43696500000001,203.85932499999998,204.466685,205.22813000000002,206.10426,207.11751999999996,207.63811499999997,208.12131,208.533695,208.914665,209.406835,209.89800499999996,210.37421999999998,210.52630999999997,210.39596,210.33481500000002,210.507965,210.62489,210.83620000000002,211.11518500000003
20 min,226.47235000000006,228.75370000000004,226.54125000000005,206.20250000000001,201.37335,203.36115,201.4456,196.70329999999996,194.8003,197.88735,203.1046,203.96110000000002,205.79814999999994,207.53920000000002,208.73445000000007,210.55195000000003,210.70945,209.01074999999997,210.27605000000003,211.0444,213.39619999999996,211.76205,211.9027,210.23179999999996,208.98385,210.23409999999998,210.36624999999995,211.28985000000003,212.16770000000002,209.9237,211.42424999999997,211.6042,206.92954999999998,208.46215,211.62985000000003,213.08579999999998,213.96845000000002,216.68285
200 day,211.2668645,211.462189,211.6471225,211.744321,211.81595000000002,211.8807305,211.9377315,211.9936765,212.04487,212.11265450000002,212.3796485,212.48101349999996,212.67066949999997,212.78221449999998,212.91846049999992,213.19434949999996,213.33784549999996,213.47153599999993,213.73532899999992,213.88623349999995,214.03336099999993,214.17094249999994,214.31830899999994,214.45457299999995,214.58890899999994,214.72627949999992,214.84072299999997,214.95990699999996,215.06739199999996,215.14610949999994,215.31684249999995,215.41426549999989,215.58904599999994,215.67289049999997,215.76625199999998,215.85758199999992,215.95124249999998,216.06107099999997
