,2019-01-07,2019-01-16,2019-01-17,2019-01-18,2019-01-25,2019-01-31,2019-02-01,2019-02-04
1 hr,65.04613333333332,68.8504,73.63045000000001,76.20943333333334,80.46746666666668,86.52928333333332,90.89076666666666,93.14053333333338
1 min,65.16,68.85,73.59,76.68,80.44,87.0,92.0,92.98
1.5 hr,64.9873777777778,68.71595555555557,73.81386666666666,76.1146888888889,80.38848888888893,86.48247777777776,90.67543333333332,93.34424444444448
10 day,60.701,64.86999999999999,66.356,67.771,72.61600000000001,78.58500000000001,80.42299999999997,82.0535
10 min,65.074,68.89149999999998,73.4475,76.6079,80.466,86.79249999999999,91.66749999999999,92.75260000000002
100 day,66.78324999999998,66.68744999999997,66.73004999999998,66.78664999999997,67.05355,67.33715000000001,67.47705,67.6265
125 day,66.32628,66.36299999999999,66.42612,66.51979999999999,66.91323999999999,67.53676000000002,67.76956000000001,68.01648
15 min,65.086,68.90533333333332,73.55933333333334,76.6246,80.47073333333333,86.71526666666665,91.57233333333332,92.75506666666668
150 day,65.58523333333329,65.88109999999998,65.95716666666665,66.05349999999999,66.42716666666665,66.94163333333333,67.1601,67.36939999999998
175 day,63.56951428571424,64.27979999999995,64.40002857142852,64.53019999999995,65.06842857142853,65.73734285714282,65.97122857142854,66.20691428571425
2 day,63.83,68.60499999999999,71.225,75.14,79.265,83.675,89.47999999999999,92.4825
2 hr,65.03888333333335,68.709,73.80590833333336,76.13557500000002,80.34005000000005,86.42981666666664,90.65571666666665,93.3798666666667
2.5 hr,65.09023333333332,68.51685999999998,73.64663333333336,76.22910666666668,80.29104666666669,86.24102666666663,90.70455333333332,93.31729333333335
20 day,61.88549999999999,62.761,63.30899999999999,63.9755,67.95450000000001,71.72750000000002,73.38950000000001,74.91225000000001
20 min,65.08325,68.913,73.61179999999999,76.54044999999999,80.4776,86.64244999999998,91.49175,92.78465000000001
200 day,61.45359999999995,62.15894999999994,62.30099999999995,62.45504999999994,63.08982499999995,63.78177499999996,63.99942499999997,64.22454999999995
25 min,65.06212000000001,68.914,73.63967999999998,76.44536,80.47764000000001,86.63475999999997,91.41779999999999,92.83708
3 hr,65.1618833333333,68.33328888888886,73.41675000000002,76.36418333333336,80.23782222222226,86.13186666666661,90.64945555555556,93.28328888888888
3.5 hr,65.22740952380948,68.21920476190475,73.21791904761908,76.42014761904764,80.15353333333336,86.04959523809518,90.58018095238093,93.26660952380954
30 day,61.74249999999998,63.19716666666666,63.357833333333325,63.88,65.69566666666668,68.03566666666669,69.01366666666668,70.00150000000001
30 min,65.03053333333335,68.91216666666668,73.70373333333332,76.36046666666667,80.46679999999999,86.64709999999998,91.35183333333333,92.87373333333335
4 hr,65.23680416666663,68.16256249999998,73.05853333333337,76.44348749999995,80.08275833333337,86.04455833333328,90.58324999999996,93.30052500000002
4.5 hr,65.22074444444442,68.14524444444444,72.8798703703704,76.43542962962961,80.05202222222228,86.05707407407404,90.5352888888889,93.4030481481482
40 day,61.88462499999999,62.207624999999986,62.44962499999998,62.992374999999996,65.05637500000002,67.04412500000004,67.62412500000002,68.42337500000001
45 min,65.03166666666664,68.93175555555555,73.6865111111111,76.23995555555555,80.49915555555555,86.56115555555556,91.09057777777778,92.9986
5 day,62.35,66.14599999999999,67.93199999999999,70.266,77.3,81.23400000000001,83.54599999999998,86.157
5 hr,65.18194999999997,68.1326366666667,72.72573999999996,76.39348666666665,80.02923666666672,86.05620333333331,90.45471,93.43444666666672
5 min,65.138,68.854,73.451,76.6104,80.484,86.896,91.79599999999999,92.83200000000001
5.5 hr,65.10496969696969,68.07833030303031,72.54270909090906,76.33989696969697,79.99750909090913,85.98070606060607,90.4147818181818,93.45071515151521
50 day,61.92709999999999,62.5607,62.711499999999994,62.9885,63.93630000000001,65.48310000000001,66.0443,66.8046
50 min,65.03765999999997,68.93276,73.64305999999999,76.22657999999998,80.49792,86.54674000000001,91.02284000000002,93.04248000000001
55 min,65.04759999999999,68.89594545454544,73.63776363636364,76.2182909090909,80.48405454545455,86.53958181818183,90.95540000000001,93.09167272727277
6 hr,64.98455,68.07770833333338,72.36087777777774,76.22910555555555,79.93919444444452,85.90858611111112,90.34575555555554,93.4765805555556
6.5 hr,64.84008717948717,68.06517948717952,72.13354615384613,76.1374,79.84117948717956,85.6965717948718,90.19697948717949,93.46282564102566
60 day,62.25858333333333,62.497583333333324,62.69091666666666,62.88608333333333,63.970916666666675,65.23141666666669,65.66341666666668,66.16600000000001
70 day,63.88835714285714,62.86878571428569,62.93421428571427,63.06692857142855,63.883214285714295,64.79578571428574,65.22407142857145,65.62428571428572
80 day,65.64093749999998,64.58993749999998,64.55043749999997,64.54793749999997,64.4609375,64.8333125,65.12031250000001,65.44025
90 day,66.61649999999999,66.08738888888887,66.03861111111108,66.02349999999997,65.94494444444443,66.14494444444445,66.31405555555556,66.493
Tomorrow,65.91,73.62,76.66,75.88,79.91,92.0,92.965,91.9
