,2018-12-13,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-02-12,2019-02-15
1 hr,49.34736666666664,46.948899999999995,46.023183333333336,46.99218333333332,47.562116666666654,47.00596666666666,48.56166666666666,48.86210000000001,49.36923333333332,49.33814999999999,49.69635000000001,49.95959999999999,53.22546666666666,53.93134999999997
1 min,49.38,46.86,45.91,47.43,47.67,46.87,48.56,48.83,49.35,49.32,49.74,50.05,53.25,54.02
1.5 hr,49.30404444444442,46.97346666666666,46.095833333333346,46.82284444444443,47.60553333333332,47.070644444444426,48.52775555555555,48.82585555555558,49.37732222222221,49.355155555555555,49.719700000000024,49.950455555555536,53.189144444444445,53.966588888888886
10 day,49.477,47.891,47.753,47.3,46.993,46.986000000000004,47.138,47.334999999999994,49.242999999999995,49.407,49.692,49.842000000000006,51.54600000000001,52.513999999999996
10 min,49.3935,46.666,45.843,47.354499999999994,47.594,46.91600000000001,48.5637,48.861000000000004,49.35200000000001,49.3275,49.689499999999995,49.93149999999999,53.271,53.980999999999995
100 day,54.81629999999999,54.30749999999999,54.19259999999999,53.962599999999995,53.52589999999999,53.3948,53.278099999999995,53.1734,52.522999999999996,52.38619999999999,52.2537,52.126999999999995,49.87830000000002,49.849100000000014
125 day,55.507839999999995,55.013119999999994,54.91392,54.76128,54.473679999999995,54.39152,54.31591999999999,54.23656,53.81783999999999,53.73783999999999,53.66271999999999,53.591359999999995,52.642480000000006,52.49032
15 min,49.41666666666666,46.69333333333332,45.893,47.29733333333332,47.581266666666664,46.92133333333334,48.591133333333325,48.88153333333333,49.359666666666676,49.321,49.699000000000005,49.949666666666666,53.25933333333334,53.96413333333333
150 day,55.563466666666656,55.27959999999998,55.22513333333331,55.12779999999998,54.964199999999984,54.90239999999999,54.86059999999999,54.81566666666666,54.533333333333324,54.47806666666666,54.425,54.37153333333333,53.616933333333336,53.52
175 day,54.99417142857141,54.90662857142856,54.88097142857142,54.82805714285713,54.734742857142834,54.710285714285696,54.69439999999998,54.67959999999998,54.61788571428571,54.60005714285713,54.58028571428571,54.55891428571428,54.20182857142858,54.14937142857143
2 day,49.32,46.95,46.379999999999995,46.185,47.730000000000004,47.285,47.725,48.695,49.64,49.34,49.53,49.900000000000006,52.724999999999994,53.980000000000004
2 hr,49.254541666666654,46.95697499999997,46.11109166666668,46.72884999999999,47.630041666666656,47.04644166666662,48.47840833333332,48.84014166666668,49.406300000000016,49.35300000000002,49.68686666666669,49.97809166666665,53.19288333333332,53.97751666666667
2.5 hr,49.24710666666663,46.99175999999997,46.12774666666668,46.65887333333333,47.66946666666667,47.01324666666662,48.461646666666674,48.893906666666666,49.399893333333374,49.34160000000003,49.64542666666667,50.00040666666665,53.17849333333333,53.95493333333332
20 day,49.649,49.08,48.87049999999999,48.54299999999999,47.85199999999999,47.659499999999994,47.62349999999999,47.61299999999999,48.09349999999999,48.2,48.339,48.489999999999995,50.593,51.2405
20 min,49.42374999999999,46.745249999999984,45.90095,47.26499999999999,47.548449999999995,46.949,48.589349999999996,48.88265,49.36050000000001,49.31675,49.72475000000001,49.96724999999999,53.2605,53.93884999999999
200 day,54.35540000000001,54.34495,54.32894999999999,54.28469999999999,54.22454999999998,54.206749999999985,54.19324999999998,54.18114999999998,54.17709999999998,54.17469999999999,54.17179999999999,54.16879999999999,54.1595,54.1945
25 min,49.410559999999975,46.80859999999998,45.89056000000001,47.225999999999985,47.52976,46.983599999999996,48.59376,48.88652000000001,49.3558,49.31979999999999,49.751279999999994,49.97500000000001,53.2612,53.92327999999998
3 hr,49.21092777777774,47.018338888888856,46.10425555555556,46.582361111111105,47.68927222222223,47.02458333333329,48.46453888888888,48.94356111111113,49.382527777777824,49.351466666666674,49.5988277777778,50.035083333333304,53.15612777777774,53.95514999999997
3.5 hr,49.19635714285711,47.055419047619026,46.102257142857134,46.546376190476174,47.65246190476189,47.07027619047614,48.4466857142857,48.95566666666668,49.38719523809528,49.35947142857143,49.54923333333333,50.06021904761901,53.13702380952378,53.95689999999998
