,2018-12-19,2018-12-20,2018-12-21,2019-01-03,2019-01-09,2019-01-10,2019-01-24,2019-01-25,2019-01-30,2019-01-31,2019-02-01,2019-02-07,2019-02-11,2019-02-12
1 hr,42.9096,41.69923333333333,40.32398333333334,39.85568333333335,45.43166666666666,46.24089999999999,48.491899999999994,50.55121666666669,49.44266666666665,50.04078333333334,50.53883333333336,50.56584999999998,51.735566666666635,52.062899999999985
1 min,43.02,41.69,40.21,39.67,45.45,46.32,48.55,50.43,49.42,50.42,50.47,50.59,51.84,52.12
1.5 hr,43.18500000000001,41.64544444444444,40.41035555555556,39.92650000000001,45.425166666666655,46.19614444444443,48.49012222222222,50.57056666666667,49.5725111111111,50.15146666666667,50.580444444444474,50.5319,51.67104444444443,52.09391111111111
10 day,44.261,43.835,43.469,41.3015,42.2025,42.6585,47.523999999999994,47.936,48.487999999999985,48.765,48.976,50.238,50.56,50.970000000000006
10 min,43.087,41.613,40.2738,39.797000000000004,45.428,46.3015,48.546,50.412,49.1646,50.4195,50.417,50.681099999999994,51.72449999999999,52.0515
100 day,42.52419999999999,42.477999999999994,42.4086,41.836349999999975,41.59074999999998,41.60264999999998,41.73534999999997,41.76714999999997,41.82474999999999,41.879349999999995,41.93355,42.25035,42.45815,42.575950000000006
125 day,43.175679999999986,43.12807999999999,43.08207999999999,42.95371999999997,42.86107999999997,42.86355999999998,42.92651999999996,42.94475999999996,42.992119999999964,43.01891999999997,43.04139999999998,43.080999999999975,43.09083999999998,43.10563999999999
15 min,43.03733333333333,41.639,40.2948,39.82333333333334,45.40066666666667,46.309333333333335,48.516333333333336,50.45933333333333,49.180866666666674,50.366,50.41133333333333,50.70506666666666,51.70366666666665,52.024666666666675
150 day,43.92393333333332,43.90499999999999,43.87739999999999,43.653299999999966,43.53036666666664,43.51049999999997,43.40803333333329,43.421833333333296,43.456099999999964,43.48776666666664,43.530899999999974,43.76463333333331,43.84369999999998,43.88203333333331
175 day,43.47125714285713,43.471428571428554,43.46599999999998,43.49088571428569,43.5911714285714,43.63311428571426,43.966085714285676,44.00454285714282,44.084371428571394,44.112314285714255,44.14191428571426,44.25968571428569,44.311857142857114,44.33934285714283
2 day,43.42,42.35,40.96,40.864999999999995,44.915000000000006,45.875,48.04,49.495000000000005,48.725,49.925,50.465,51.400000000000006,51.480000000000004,51.985
2 hr,43.38549166666668,41.50875833333334,40.46135000000001,39.97598333333335,45.39754166666665,46.14800833333333,48.477058333333325,50.607958333333336,49.61380833333332,50.28589166666668,50.661491666666684,50.46878333333332,51.67950833333334,52.13317499999999
2.5 hr,43.60567333333333,41.45674666666667,40.537193333333335,40.02800666666668,45.38217333333332,46.064733333333336,48.48045999999999,50.621953333333344,49.53763333333334,50.39750666666667,50.769420000000004,50.44708666666664,51.68290000000001,52.184979999999996
