,2019-02-04,2019-02-07,2019-02-12,2019-02-15
1 hr,13.883333333333328,13.520516666666655,13.388666666666666,13.031083333333333
1 min,13.87,13.51,13.47,12.99
1.5 hr,13.884777777777787,13.487344444444423,13.378999999999987,13.009055555555566
10 day,13.383000000000001,13.603000000000003,13.62,13.503
10 min,13.882000000000001,13.509,13.432000000000002,13.043000000000001
100 day,12.381265,12.393578000000002,12.401846,12.373812999999998
125 day,12.701937600000004,12.654105600000007,12.631034400000006,12.612903200000003
15 min,13.880666666666666,13.520666666666667,13.42066666666667,13.046000000000001
150 day,13.169390666666667,13.156888666666667,13.126668,13.082411333333335
175 day,13.582266285714278,13.538457142857142,13.492993714285712,13.436046857142854
2 day,13.81,13.57,13.445,13.08
2 hr,13.901991666666683,13.444341666666636,13.375333333333327,13.001508333333344
2.5 hr,13.911393333333356,13.429206666666635,13.375000000000007,13.00990666666667
20 day,13.205249999999998,13.331750000000003,13.4065,13.404500000000002
20 min,13.882499999999999,13.5255,13.415000000000001,13.0455
200 day,14.096438999999997,14.000528499999998,13.907197999999996,13.809380999999997
25 min,13.8812,13.525799999999995,13.40468,13.043400000000002
3 hr,13.922550000000019,13.409505555555524,13.376777777777797,13.019977777777783
3.5 hr,13.928923809523813,13.395599999999988,13.379761904761933,13.028076190476204
30 day,12.730166666666664,12.974499999999999,13.184166666666664,13.266499999999999
30 min,13.880999999999998,13.523499999999993,13.4019,13.043833333333335
4 hr,13.936516666666657,13.393233333333326,13.383083333333367,13.035070833333345
4.5 hr,13.941829629629614,13.409022222222227,13.39229629629632,13.030918518518527
40 day,12.540624999999999,12.659875,12.765624999999996,12.865874999999997
45 min,13.88577777777777,13.522666666666655,13.39593333333333,13.03766666666667
5 day,13.634,13.74,13.541999999999998,13.278
5 hr,13.943963333333308,13.424153333333344,13.398116666666688,13.03019333333334
5 min,13.886000000000001,13.5,13.462,13.02
5.5 hr,13.934390909090906,13.437563636363636,13.394136363636393,13.032303030303032
50 day,12.339099999999998,12.484300000000001,12.616499999999997,12.696299999999997
50 min,13.885599999999993,13.52101999999999,13.394339999999998,13.032500000000004
55 min,13.885090909090902,13.519472727272717,13.391399999999999,13.032272727272728
6 hr,13.923638888888895,13.442947222222228,13.395708333333346,13.03722222222221
6.5 hr,13.909897435897438,13.455612820512819,13.405102564102577,13.041897435897432
60 day,12.244943333333332,12.321916666666665,12.422916666666662,12.49158333333333
70 day,12.115664285714283,12.232151428571427,12.351488571428566,12.402667142857139
80 day,12.104521249999998,12.1686925,12.218098749999996,12.260483749999995
90 day,12.24628222222222,12.228962222222224,12.231436666666665,12.243329999999997
Tomorrow,13.94,13.68,13.34,NULL
