,2018-12-12,2018-12-13,2019-01-08,2019-01-17,2019-01-18,2019-01-22,2019-01-30,2019-02-11
1 hr,25.969483333333347,25.34236666666667,29.97441666666665,30.788683333333324,29.409166666666685,28.671883333333334,28.45265,26.688300000000023
1 min,25.964,25.4,30.12,30.69,29.37,28.73,28.5,26.7
1.5 hr,25.952011111111126,25.305744444444446,29.97302222222222,30.814011111111107,29.422577777777786,28.708300000000005,28.499100000000013,26.710144444444474
10 day,26.755000000000003,26.519,27.136999999999993,30.159,30.327000000000005,30.284000000000002,29.158000000000005,27.613000000000007
10 min,25.9874,25.396,30.063,30.668000000000006,29.286500000000007,28.649,28.436500000000002,26.637999999999998
100 day,21.385300000000008,21.465800000000005,22.770599999999995,23.555899999999987,23.645399999999984,23.73139999999999,24.227499999999996,24.72240000000001
125 day,20.646880000000003,20.700800000000005,21.787999999999997,22.535759999999993,22.62967999999999,22.720799999999993,23.229999999999997,23.823040000000006
15 min,26.00026666666667,25.384666666666664,30.058,30.67266666666667,29.300933333333337,28.64826666666666,28.42213333333334,26.65246666666667
150 day,20.114600000000014,20.176400000000008,21.18273333333333,21.736599999999992,21.806933333333323,21.874133333333326,22.276799999999998,22.807266666666674
175 day,19.534514285714295,19.58068571428572,20.508342857142864,21.1068,21.184971428571426,21.25702857142857,21.693657142857145,22.16022857142858
2 day,25.85,25.685,29.645000000000003,30.61,30.04,29.064999999999998,28.42,26.880000000000003
2 hr,26.02730833333334,25.278391666666664,29.976825000000005,30.83105833333333,29.455133333333336,28.752799999999993,28.51956666666668,26.730933333333358
2.5 hr,26.10320666666666,25.264473333333328,29.968740000000004,30.84352666666667,29.484506666666675,28.80290666666665,28.504033333333343,26.757200000000022
20 day,26.571000000000005,26.5135,26.1695,27.982499999999998,28.204,28.426500000000004,29.331000000000007,28.540499999999998
20 min,26.0286,25.3865,30.055499999999995,30.69535000000001,29.32645,28.659950000000002,28.40985,26.663100000000004
200 day,18.94880000000001,19.01460000000001,19.968950000000003,20.48175,20.543599999999998,20.600699999999996,20.962150000000005,21.425850000000004
25 min,26.02876,25.37600000000001,30.050239999999995,30.719160000000006,29.350320000000007,28.663759999999996,28.40732,26.67128000000001
3 hr,26.142861111111102,25.227211111111117,30.00409444444445,30.85405000000001,29.511061111111133,28.84422777777778,28.482694444444462,26.78648888888891
3.5 hr,26.137057142857135,25.208885714285724,30.04149523809525,30.866661904761923,29.51155238095241,28.88462857142857,28.477642857142868,26.80728095238097
30 day,25.234666666666673,25.374666666666666,26.415,27.219666666666665,27.289333333333335,27.37033333333334,28.012000000000004,28.61766666666667
30 min,26.014299999999995,25.37533333333334,30.044566666666658,30.745566666666672,29.366600000000005,28.6678,28.4062,26.67573333333335
4 hr,26.1284,25.207612499999996,30.082783333333335,30.86402500000002,29.508500000000016,28.91065000000001,28.48877083333335,26.810058333333355
4.5 hr,26.116948148148154,25.2287074074074,30.089811111111118,30.87018148148149,29.47752222222224,28.948977777777795,28.49535925925928,26.78245925925928
40 day,23.840250000000005,23.96725,26.39624999999999,27.112000000000002,27.178500000000003,27.2705,27.596249999999998,27.761000000000006
45 min,25.985377777777785,25.374044444444447,30.025822222222207,30.77806666666667,29.405422222222235,28.676600000000008,28.421955555555556,26.687600000000014
5 day,25.7,25.517999999999997,28.333999999999996,30.424,30.110000000000003,29.880000000000003,28.688,27.144000000000005
5 hr,26.12451333333334,25.24848666666667,30.10380666666665,30.876250000000013,29.467986666666675,28.977346666666676,28.521976666666706,26.755896666666693
5 min,25.9608,25.408,30.112000000000002,30.667,29.322000000000003,28.663,28.472,26.628999999999998
5.5 hr,26.122275757575764,25.275224242424244,30.13993333333332,30.87509090909093,29.46642424242425,29.00152727272728,28.539948484848527,26.73700303030306
50 day,22.962800000000005,23.079000000000004,25.25159999999999,26.684799999999992,26.852399999999992,27.000199999999992,27.38059999999999,27.5598
50 min,25.981420000000007,25.362440000000003,29.999439999999986,30.784459999999996,29.409860000000016,28.671140000000005,28.427960000000002,26.683440000000022
55 min,25.977109090909103,25.350763636363638,29.982218181818165,30.788836363636356,29.409345454545473,28.66649090909091,28.43832727272727,26.682945454545482
6 hr,26.101711111111122,25.34208333333332,30.156624999999984,30.871455555555578,29.511133333333326,29.015658333333345,28.55274444444449,26.722663888888917
6.5 hr,26.071835897435907,25.395589743589735,30.119076923076907,30.850000000000005,29.599730769230774,29.025548717948727,28.55767948717953,26.731764102564128
60 day,22.69666666666667,22.755333333333333,24.313333333333325,25.594999999999988,25.754833333333327,25.909499999999987,26.774166666666652,27.364333333333327
70 day,22.46857142857143,22.534714285714287,23.681857142857133,24.726857142857135,24.870999999999995,25.00399999999999,25.775571428571414,26.678285714285703
80 day,22.196375000000007,22.269750000000005,23.405499999999993,24.20337499999999,24.303499999999993,24.39637499999999,24.99562499999999,25.80062499999999
90 day,21.76611111111112,21.84700000000001,23.111111111111107,23.89422222222221,23.983666666666654,24.069999999999993,24.552444444444443,25.095333333333336
Tomorrow,25.4,25.39,31.37,29.39,28.74,28.79,28.72,27.09
