,2018-12-31,2019-01-03,2019-01-22
1 hr,28.548033333333326,27.98455,32.926983333333325
1 min,28.58,28.03,33.08
1.5 hr,28.568177777777773,28.10691111111111,32.83863333333334
10 day,27.259000000000004,26.936,35.149
10 min,28.4514,28.062,33.208999999999996
100 day,40.324600000000004,39.953,38.282299999999985
125 day,43.435440000000014,42.91456000000002,40.339519999999986
15 min,28.45713333333333,28.04766666666666,33.20653333333333
150 day,46.796600000000026,46.232533333333365,43.89746666666668
175 day,48.01480000000003,47.79205714285717,46.7764
2 day,27.66,28.945,35.105000000000004
2 hr,28.577041666666677,28.19506666666666,32.80650833333335
2.5 hr,28.646406666666685,28.228186666666662,32.79056000000001
20 day,31.580000000000005,30.565999999999995,31.452999999999996
20 min,28.518600000000003,28.048299999999994,33.192899999999995
200 day,48.18022500000003,47.95322500000002,47.18310000000001
25 min,28.561400000000003,28.063359999999992,33.14191999999999
3 hr,28.768966666666692,28.256677777777774,32.80540000000001
3.5 hr,28.88855714285716,28.33531904761904,32.83372857142858
30 day,33.05933333333334,32.537333333333336,31.834666666666667
30 min,28.593500000000002,28.06013333333333,33.11619999999999
4 hr,28.940329166666675,28.409283333333317,32.83366666666668
4.5 hr,28.929114814814824,28.458944444444434,32.792192592592606
40 day,33.897,33.534499999999994,33.13324999999999
45 min,28.596511111111113,28.019888888888893,33.01617777777776
5 day,26.492,27.924,35.376
5 hr,28.89628000000001,28.508799999999987,32.76268000000001
5 min,28.459799999999994,28.032999999999998,33.215999999999994
5.5 hr,28.883593939393947,28.50547878787877,32.7478181818182
50 day,33.8604,33.553399999999996,33.71959999999999
50 min,28.565359999999995,27.994500000000002,32.97885999999999
55 min,28.551309090909086,27.98407272727273,32.9466909090909
6 hr,28.84986944444446,28.46274444444443,32.701952777777784
6.5 hr,28.77585641025643,28.520789743589738,32.66315641025643
60 day,34.48466666666666,34.18083333333333,33.719333333333324
70 day,35.88314285714285,35.37471428571428,34.19171428571427
80 day,37.8995,37.372875,35.006999999999984
90 day,39.43533333333334,38.995666666666665,36.714666666666645
Tomorrow,29.87,30.27,31.4
