,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-21,2018-12-31,2019-01-02,2019-01-04,2019-01-07,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-30,2019-02-01,2019-02-04,2019-02-08
1 hr,13.980716666666662,12.53048333333333,12.034700000000003,11.55,10.12723333333334,11.338716666666672,11.350133333333334,12.191116666666662,12.504249999999997,12.64198333333334,12.308183333333341,12.357433333333331,12.15863333333333,11.855666666666663,12.065483333333328,11.442449999999997,11.489250000000002,11.392283333333328,12.410666666666664,12.759883333333338,12.92539999999999,10.991516666666673
1 min,14.0,12.51,12.01,11.54,10.16,11.295,11.5,12.2,12.54,12.62,12.23,12.33,12.13,11.86,12.06,11.36,11.45,11.33,12.45,12.83,13.03,11.03
1.5 hr,13.949666666666664,12.583477777777764,12.018922222222225,11.70371111111111,10.140455555555553,11.329511111111113,11.403933333333331,12.208711111111112,12.485299999999999,12.646277777777785,12.31593333333334,12.363466666666659,12.19235555555555,11.880766666666666,12.07503333333333,11.441088888888887,11.48332222222223,11.39496666666666,12.421111111111108,12.777122222222225,12.920188888888884,11.00083333333333
10 day,15.956,15.4375,14.385500000000002,13.791500000000003,12.639499999999998,11.165000000000001,11.083,11.091,11.288,11.966,12.054,12.161000000000001,12.347000000000001,12.389000000000001,12.374999999999998,12.261,12.113,11.983,11.772000000000002,11.885,11.934999999999999,12.104
10 min,13.994500000000002,12.4415,12.0627,11.52,10.106,11.267399999999999,11.406600000000001,12.1906,12.5101,12.6313,12.2581,12.315000000000001,12.102,11.8328,12.060999999999998,11.338299999999998,11.433000000000002,11.356,12.404,12.818999999999999,12.985500000000002,10.9911
100 day,21.9523,21.792349999999995,21.46015,21.29835,20.94005,20.13945,20.010350000000003,19.75465,19.643250000000002,19.32675,19.22165,19.117150000000002,18.88665,18.763749999999998,18.52725,18.40785,18.28505,18.15355,17.78315,17.57655,17.47475,16.99645
125 day,23.230520000000006,23.107760000000003,22.84104,22.710240000000002,22.43504,21.757720000000003,21.62772,21.367159999999995,21.228759999999998,20.831799999999998,20.702039999999997,20.579719999999995,20.31995999999999,20.183479999999992,19.926599999999993,19.789319999999996,19.648199999999992,19.511159999999997,19.11692,18.876920000000002,18.76316,18.3334
15 min,13.997333333333334,12.428333333333335,12.07953333333333,11.501333333333333,10.101,11.294266666666665,11.3858,12.201066666666664,12.515066666666666,12.63486666666667,12.270933333333335,12.316666666666666,12.099333333333334,11.839866666666666,12.055333333333333,11.349199999999998,11.440333333333335,11.366666666666669,12.414999999999997,12.811,12.9844,10.991133333333332
150 day,23.690200000000015,23.60690000000001,23.420766666666676,23.324166666666677,23.101300000000005,22.602900000000005,22.51983333333334,22.340433333333337,22.25816666666667,22.02376666666667,21.927566666666667,21.832566666666665,21.63053333333333,21.5236,21.3294,21.219333333333335,21.1066,20.986733333333333,20.666600000000003,20.459500000000002,20.3597,19.938299999999998
175 day,23.059628571428583,23.036771428571438,22.990314285714298,22.957457142857155,22.88322857142858,22.679971428571438,22.636657142857153,22.55225714285715,22.511342857142868,22.387571428571437,22.342371428571436,22.299800000000005,22.20871428571429,22.140428571428576,21.995000000000008,21.916942857142867,21.834942857142863,21.748542857142866,21.49031428571429,21.322428571428578,21.247971428571432,20.958828571428576
2 day,14.115,13.252500000000001,12.17,11.774999999999999,10.370000000000001,11.28,11.399999999999999,11.815,12.36,12.785,12.440000000000001,12.29,12.329999999999998,11.995,12.29,11.7,11.399999999999999,11.395,11.925,12.559999999999999,12.934999999999999,11.335
2 hr,13.931966666666664,12.628074999999988,12.030091666666666,11.817249999999998,10.15134166666667,11.314358333333333,11.437216666666659,12.195916666666678,12.489058333333332,12.635408333333343,12.319308333333332,12.365858333333327,12.214933333333333,11.88158333333334,12.083983333333327,11.45714166666667,11.497425000000003,11.404766666666669,12.403941666666672,12.787624999999991,12.914350000000008,10.984633333333342
