,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,47.33913333333334,47.59568333333332,47.36478333333334,45.83464999999999,44.197149999999986,44.038583333333335,43.08928333333334,42.63053333333333,41.962983333333334,43.223766666666656,41.27833333333333,42.85773333333334,43.31655,43.51923333333332,43.10765000000001,43.44401666666665,43.30794999999997,44.019983333333336,44.21563333333335,45.009683333333335,44.53756666666667,45.36680000000001,45.538833333333315,46.2183,45.670700000000004,45.93553333333333,46.69783333333332,47.19996666666668,47.28629999999998,47.29229999999998,47.47055,47.00918333333331,47.59979999999997,47.90786666666668,47.55883333333334,48.68568333333335,49.436616666666666
1 min,47.05,47.41,47.46,45.805,44.21,44.05,43.15,42.49,42.49,43.4,41.06,42.922,43.21,43.565,43.24,43.49,43.21,43.96,44.21,45.03,44.8,45.47,45.61,46.13,45.76,45.96,46.71,47.26,47.33,47.26,47.48,47.2,47.58,47.48,47.49,48.4,49.45
1.5 hr,47.291355555555576,47.582155555555545,47.33758888888889,45.811855555555546,44.31292222222222,44.03764444444443,43.377322222222226,42.62392222222221,41.85637777777778,43.215288888888885,41.34705555555555,42.86764444444446,43.30821111111111,43.51806666666667,43.07194444444444,43.40507777777777,43.294066666666644,44.033822222222234,44.231244444444464,45.01482222222223,44.563644444444456,45.333755555555555,45.51866666666664,46.25952222222222,45.64780000000002,45.92274444444443,46.72433333333333,47.18134444444444,47.2670111111111,47.28322222222224,47.45375555555555,47.01366666666666,47.54587777777775,47.940633333333366,47.56734444444443,48.71037777777779,49.40122222222221
10 day,46.98521999999999,47.11422,47.13208,46.98125,46.61707,46.15266999999999,45.73491,45.14944,43.58257,42.42155,42.03236,42.0435,42.14815,42.3513,42.79588,42.886849999999995,42.96371,43.2,43.513999999999996,43.725,43.882000000000005,44.072,44.301,44.589999999999996,44.81599999999999,45.090999999999994,45.35999999999999,45.69299999999999,46.00599999999999,46.486,46.688,46.903,47.086,47.27900000000001,47.35800000000001,47.46900000000001,47.678
10 min,47.1378,47.487500000000004,47.45380000000001,45.8625,44.1122,44.234700000000004,43.257,42.4247,42.332499999999996,43.14110000000001,41.149100000000004,42.8817,43.259800000000006,43.4921,43.2322,43.471999999999994,43.2095,43.9748,44.1952,44.9945,44.6038,45.399,45.601,46.1286,45.66270000000001,45.908,46.674699999999994,47.3226,47.309,47.26599999999999,47.493,47.05799999999999,47.6245,47.876999999999995,47.4662,48.5,49.463499999999996
100 day,45.43025999999998,45.48674399999999,45.54323199999999,45.580094,45.59329,45.60145000000001,45.609944,45.615928999999994,45.603732,45.60543,45.578700999999995,45.576381999999995,45.577258999999984,45.57917199999999,45.567343999999984,45.55012499999998,45.52665599999998,45.50192199999998,45.49042499999998,45.484170999999975,45.47275499999998,45.464590999999984,45.452703,45.449268000000004,45.43592199999999,45.42507,45.426252,45.43313499999999,45.44278499999999,45.46138599999998,45.47401299999998,45.48009199999998,45.49155099999997,45.50265999999998,45.511642999999985,45.52519099999999,45.540857999999986
125 day,44.77497279999997,44.801753599999984,44.83237359999999,44.850208,44.858232799999996,44.8657728,44.87054719999999,44.86984799999999,44.8639808,44.880526399999994,44.88059119999999,44.88717359999999,44.89639119999998,44.90691039999999,44.920079199999975,44.93855439999998,44.94911279999998,44.98625759999997,45.00560399999998,45.03458559999998,45.061173599999975,45.09059919999998,45.11515279999999,45.14094879999999,45.17127519999998,45.20643519999999,45.246649599999984,45.29489439999998,45.33825599999999,45.41598159999998,45.452183999999974,45.51240079999997,45.547825599999975,45.58596719999998,45.619017599999985,45.66037199999999,45.699715199999986
15 min,47.17819999999999,47.52553333333334,47.45026666666668,45.83373333333332,44.073466666666675,44.26286666666667,43.208999999999996,42.4478,42.272999999999996,43.17286666666667,41.19053333333333,42.888000000000005,43.29220000000001,43.49293333333333,43.224066666666666,43.49066666666666,43.21906666666666,43.98406666666667,44.20706666666668,44.9958,44.598933333333335,45.40866666666667,45.58566666666666,46.15173333333335,45.665333333333336,45.91700000000001,46.675133333333314,47.315799999999996,47.31066666666667,47.268666666666654,47.493,47.05066666666665,47.63433333333332,47.86953333333334,47.4888,48.53366666666667,49.488733333333336
150 day,44.495518666666634,44.5090333333333,44.521183333333305,44.524830666666645,44.519259999999974,44.51419799999997,44.50513666666664,44.50285866666663,44.475539999999974,44.47804799999997,44.47641799999998,44.484073999999985,44.48746866666664,44.49371866666664,44.49746399999997,44.502790666666634,44.50735933333331,44.52252799999998,44.530307333333305,44.539119999999976,44.54913466666664,44.56394333333331,44.58229466666665,44.604634666666655,44.62822266666665,44.65294999999998,44.688610666666655,44.72644266666665,44.76604266666666,44.83623466666664,44.87363866666664,44.94169266666664,44.97824466666664,45.017125999999976,45.05215866666665,45.09509733333332,45.13826599999998
175 day,44.24275828571426,44.281391999999975,44.31684399999998,44.34903199999999,44.369574285714265,44.38183428571426,44.38932457142855,44.38804285714283,44.36306228571426,44.34973085714283,44.33620628571426,44.3371794285714,44.3370154285714,44.33605714285711,44.33261714285711,44.33600914285711,44.334559999999975,44.328559999999975,44.32572742857139,44.325735999999964,44.322862857142816,44.32594342857139,44.331166285714254,44.340590285714256,44.34963142857139,44.369373142857114,44.39479771428568,44.420518857142824,44.44708457142854,44.500095999999964,44.52964114285711,44.58652971428568,44.61972057142854,44.649373142857115,44.677244571428545,44.709755428571405,44.744854857142826
2 day,46.6141,46.89195,47.0805,46.28665,44.6642,43.790949999999995,43.26505,42.48605,41.057100000000005,42.71925,41.845,41.995000000000005,43.065,43.385000000000005,43.28,43.365,43.35,43.99,44.085,44.620000000000005,44.905,45.120000000000005,45.535,45.870000000000005,45.94,45.855000000000004,46.335,47.0,47.315,47.305,47.37,46.945,47.385,47.735,47.695,47.95,48.915
2 hr,47.17714166666667,47.62919999999999,47.32716666666667,45.83621666666668,44.379433333333346,44.09173333333332,43.56715000000001,42.49788333333334,41.80150000000002,43.21606666666665,41.395524999999985,42.86370833333335,43.343374999999995,43.51655000000001,43.059625,43.36816666666665,43.28734166666664,44.03025000000002,44.16746666666667,45.023366666666696,44.610241666666674,45.35342499999998,45.503183333333304,46.296708333333335,45.62062500000004,45.92444999999998,46.699466666666666,47.18865833333332,47.235666666666674,47.28345000000002,47.452608333333316,47.00355833333334,47.513391666666635,47.96882500000001,47.547774999999966,48.73131666666669,49.36464166666666
2.5 hr,47.124660000000006,47.72122666666667,47.35782666666668,45.81779333333334,44.45535333333334,44.123219999999975,43.77530666666669,42.49610000000001,41.758026666666694,43.251866666666665,41.426906666666646,42.86493333333335,43.381439999999984,43.49188666666669,43.00568000000002,43.33533333333331,43.288326666666656,44.02054666666669,44.12316666666666,45.02669333333337,44.63722666666667,45.35937333333333,45.48925999999997,46.32811333333334,45.61990000000004,45.92829333333332,46.60733333333332,47.18772,47.24600666666667,47.267393333333345,47.46967333333332,46.98614666666665,47.48629333333333,47.98997333333334,47.52201333333333,48.761046666666694,49.32463999999998
20 day,45.98992500000001,46.07923500000001,46.19583500000001,46.269765000000014,46.142250000000004,46.02863000000001,45.89913500000001,45.79990000000001,45.283895,44.7014,44.09251499999999,43.889205,43.648795,43.522634999999994,43.18922499999999,43.01093999999999,42.816174999999994,42.748755,42.773179999999996,42.88425,43.01507500000001,43.211650000000006,43.493625,43.69294000000001,43.851425000000006,44.02735500000001,44.21300000000001,44.4465,44.76,45.184000000000005,45.38000000000001,45.746500000000005,45.951,46.18500000000001,46.35900000000001,46.581,46.842
20 min,47.20739999999999,47.568000000000005,47.434950000000015,45.824549999999995,44.06385,44.24115,43.15205,42.4973,42.242999999999995,43.20094999999999,41.21124999999999,42.876000000000005,43.30465000000002,43.494299999999996,43.217000000000006,43.491699999999994,43.230799999999995,43.990050000000004,44.21205000000001,45.004549999999995,44.616499999999995,45.40624999999999,45.57199999999999,46.171050000000015,45.66975,45.937000000000005,46.662849999999985,47.30454999999999,47.31760000000001,47.28224999999999,47.4906,47.047099999999986,47.615249999999996,47.873149999999995,47.5229,48.56564999999999,49.49895
200 day,44.04309849999998,44.05988149999998,44.07817349999999,44.093033,44.0985935,44.10122799999999,44.100413499999995,44.096809999999984,44.05885699999999,44.04031049999999,44.02564999999998,44.02500449999998,44.02609999999996,44.03496099999997,44.048233999999965,44.05863699999996,44.07258799999996,44.105476499999966,44.12578599999996,44.14946199999998,44.16885599999996,44.19698049999997,44.22370299999997,44.24647299999999,44.267733999999976,44.28559499999997,44.308868499999974,44.333574999999975,44.35222349999997,44.389120999999975,44.41091449999997,44.450080499999956,44.47423199999996,44.49748849999996,44.51634999999997,44.54176549999998,44.56968999999997
25 min,47.25144,47.578160000000004,47.39876000000001,45.822239999999994,44.06320000000001,44.21804,43.13844,42.55012,42.20359999999999,43.215239999999994,41.2382,42.871400000000015,43.31504000000001,43.504439999999995,43.205200000000005,43.48092,43.24531999999999,43.99656000000001,44.22360000000001,45.00924,44.597319999999996,45.404399999999995,45.56179999999999,46.17704000000001,45.675,45.946000000000005,46.66215999999999,47.29544,47.323479999999996,47.288799999999995,47.482519999999994,47.04275999999998,47.5996,47.87352,47.542480000000005,48.58967999999999,49.48436000000002
3 hr,47.127511111111104,47.78452777777779,47.349227777777806,45.827333333333335,44.55202222222224,44.158022222222215,43.902783333333346,42.50888888888892,41.71460000000003,43.2896888888889,41.45474999999999,42.86892222222223,43.415711111111094,43.46172222222225,42.97708333333334,43.313116666666645,43.29030555555555,44.01152777777778,44.090672222222224,45.059483333333354,44.64708888888889,45.34650555555556,45.481072222222195,46.339283333333334,45.59865000000003,45.92181111111111,46.55287222222221,47.18876666666665,47.251561111111116,47.25148333333334,47.47913888888889,46.96764444444445,47.47151111111113,47.986927777777765,47.50405555555556,48.78326111111114,49.28684999999999
3.5 hr,47.12465714285715,47.82863333333333,47.35540000000002,45.847180952380924,44.634752380952385,44.178361904761886,44.01262380952384,42.522780952380984,41.67979047619052,43.293438095238095,41.50655714285715,42.85205714285717,43.434833333333316,43.45191428571433,42.976661904761905,43.311076190476186,43.289090476190474,43.99307619047617,44.07185714285713,45.079623809523824,44.676971428571434,45.331557142857164,45.48610952380949,46.361604761904744,45.58163333333337,45.91920000000001,46.520004761904765,47.17994285714285,47.26657142857144,47.246733333333346,47.47753333333332,46.95066666666666,47.462295238095265,47.979742857142874,47.486271428571435,48.809952380952424,49.259042857142845
30 day,45.92145666666667,46.03987333333334,46.135466666666666,46.13778333333334,46.08982000000001,46.042850000000016,45.94362000000001,45.81098,45.18747333333334,44.987026666666665,44.69654,44.61392333333333,44.582649999999994,44.549813333333326,44.45455666666666,44.37869999999999,44.254810000000006,44.03819333333334,43.89967666666667,43.834469999999996,43.726530000000004,43.705756666666666,43.67609000000001,43.65615000000001,43.61262666666667,43.574450000000006,43.61585000000001,43.73017000000001,43.85078666666667,44.17205,44.37043333333334,44.76296000000001,44.92961666666666,45.11123666666666,45.26133333333333,45.454,45.73266666666667
30 min,47.29580000000001,47.57963333333333,47.384400000000014,45.82636666666666,44.06386666666666,44.194533333333325,43.127233333333336,42.583099999999995,42.15516666666666,43.223033333333326,41.25966666666667,42.86493333333335,43.312133333333335,43.51219999999999,43.19160000000001,43.463433333333334,43.25909999999999,43.99923333333334,44.231533333333346,45.00886666666667,44.58709999999999,45.40336666666667,45.548666666666655,46.177033333333355,45.6757,45.95323333333333,46.66346666666667,47.2813,47.32373333333332,47.29799999999999,47.4756,47.03833333333332,47.599399999999996,47.877366666666674,47.548066666666664,48.609333333333325,49.47190000000001
4 hr,47.11576666666668,47.85653749999998,47.34630000000002,45.868279166666646,44.723620833333335,44.19059999999999,44.08621250000003,42.52884166666671,41.648400000000024,43.273983333333334,41.539629166666685,42.82270416666669,43.445879166666664,43.44491250000002,42.981075,43.30936666666666,43.29294583333335,43.97588333333335,44.05919166666664,45.079658333333334,44.69936666666667,45.311216666666674,45.495891666666616,46.38927499999999,45.56157500000002,45.91210416666667,46.50148333333332,47.18092083333332,47.281762500000006,47.252816666666675,47.46092499999998,46.92995833333334,47.460912500000035,47.96710000000003,47.4638,48.810866666666676,49.245641666666664
