,2018-12-13,2019-02-05,2019-02-06,2019-02-07,2019-02-08
1 hr,22.165833333333346,25.058449999999986,25.078083333333332,25.60983333333332,25.729716666666672
1 min,21.995,25.02,25.1,25.64,25.73
1.5 hr,22.164955555555586,25.057855555555548,25.06601111111112,25.592266666666657,25.72375555555556
10 day,23.42065,24.552,24.654999999999998,24.848000000000003,24.999000000000002
10 min,22.1385,25.031,25.128000000000004,25.645500000000006,25.738400000000002
100 day,27.131025,24.647985999999992,24.60687199999999,24.572052999999993,24.536042999999992
125 day,27.732483999999996,25.736764799999996,25.703317599999995,25.6726808,25.6421296
15 min,22.13833333333333,25.045533333333328,25.12266666666667,25.641666666666666,25.7316
150 day,28.265384,26.355587999999994,26.324937333333327,26.295834666666664,26.267398666666665
175 day,28.217989142857128,26.97422400000001,26.938835428571437,26.912578857142865,26.883728000000005
2 day,22.365000000000002,24.990000000000002,25.07,25.380000000000003,25.685000000000002
2 hr,22.181175000000007,25.049058333333335,25.05115833333332,25.57151666666666,25.70681666666667
2.5 hr,22.216000000000015,25.040480000000013,25.041999999999987,25.562706666666674,25.691240000000004
20 day,23.921609999999994,23.863999999999997,23.984499999999997,24.121999999999996,24.2735
20 min,22.14325,25.049649999999996,25.119500000000006,25.639249999999997,25.734699999999997
200 day,28.074315499999983,27.332507000000007,27.323350500000007,27.31540950000001,27.30697850000001
25 min,22.147399999999998,25.04891999999999,25.11320000000001,25.628200000000007,25.73756
3 hr,22.244111111111128,25.029166666666672,25.031111111111095,25.546372222222217,25.681611111111124
3.5 hr,22.27186666666668,25.025214285714313,25.020952380952345,25.530390476190462,25.67230952380953
30 day,24.164593333333332,22.923999999999996,23.08666666666666,23.278,23.444
30 min,22.157166666666672,25.05176666666666,25.107666666666674,25.620833333333344,25.737566666666666
4 hr,22.299362500000008,25.01407083333336,25.01170833333329,25.512770833333317,25.665541666666666
4.5 hr,22.33102592592594,25.007081481481503,25.002722222222182,25.494614814814803,25.648796296296297
40 day,24.164867499999996,22.629485,22.684504999999994,22.7545175,22.83375
45 min,22.177333333333348,25.055844444444432,25.091000000000005,25.615222222222233,25.7348
5 day,22.60988,24.868000000000002,24.943999999999996,25.112000000000002,25.294
5 hr,22.35643666666667,25.006190000000018,24.9919533333333,25.47430333333332,25.629966666666665
5 min,22.137,25.014,25.130000000000003,25.639,25.733999999999998
5.5 hr,22.386699999999998,25.00352121212123,24.982169696969663,25.46098787878786,25.625139393939406
50 day,24.771963999999997,22.977349999999998,22.992293999999994,23.022217999999995,23.045777999999995
50 min,22.17340000000001,25.056559999999987,25.086500000000004,25.614099999999997,25.733220000000003
55 min,22.168545454545463,25.057981818181805,25.082454545454546,25.611999999999995,25.73138181818182
6 hr,22.407202777777766,24.997950000000028,24.973391666666636,25.44761388888889,25.619266666666686
6.5 hr,22.4333923076923,24.9923871794872,24.97027179487175,25.43825641025641,25.618605128205154
60 day,25.434391666666667,23.229504999999993,23.236979999999992,23.248143333333324,23.267278333333326
70 day,26.064161428571424,23.348594285714274,23.383164285714273,23.41420999999999,23.449812857142845
80 day,26.588189999999997,23.62508999999999,23.59833874999999,23.59015999999999,23.59044874999999
90 day,26.944062222222218,24.102653333333325,24.070467777777765,24.04560777777777,24.02119555555555
Tomorrow,21.33,25.12,25.64,25.73,26.11
