,2019-01-22
1 hr,28.754433333333342
1 min,28.83
1.5 hr,28.78751111111112
10 day,27.913999999999998
10 min,28.787
100 day,32.738399999999984
125 day,33.60431999999999
15 min,28.785333333333334
150 day,33.608666666666664
175 day,33.09074285714288
2 day,28.98
2 hr,28.826149999999988
2.5 hr,28.842859999999977
20 day,27.654500000000002
20 min,28.794500000000006
200 day,31.96350000000002
25 min,28.796000000000003
3 hr,28.84560555555555
3.5 hr,28.85020952380951
30 day,27.871333333333332
30 min,28.7815
4 hr,28.855120833333324
4.5 hr,28.85818148148147
40 day,28.524750000000004
45 min,28.76233333333334
5 day,28.312
5 hr,28.854829999999996
5 min,28.786
5.5 hr,28.848209090909084
50 day,28.8972
50 min,28.75812000000001
55 min,28.756654545454552
6 hr,28.842922222222224
6.5 hr,28.84308205128206
60 day,29.471500000000006
70 day,30.418142857142865
80 day,31.36187499999999
90 day,32.10188888888887
Tomorrow,28.68
