,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2019-01-04,2019-01-22,2019-01-23,2019-02-05,2019-02-08
1 hr,166.95583333333337,166.70510000000002,165.74731666666665,159.30561666666665,160.48778333333343,172.16733333333332,181.9385166666667,181.9740666666666,191.51549999999995,193.49498333333335
1 min,166.25,166.61,164.94,159.04,159.95,172.56,182.76,182.21,191.87,194.24
1.5 hr,167.21768888888894,166.56009999999998,166.6758666666666,158.97601111111115,160.6417333333334,172.1716777777778,181.9471,181.93206666666663,191.46564444444445,193.44933333333336
10 day,174.102,171.825,170.38299999999998,168.50400000000002,167.36100000000002,164.607,178.72899999999998,179.471,186.06300000000002,188.85199999999998
10 min,166.23930000000001,167.10399999999996,165.53200000000004,158.8895,159.98950000000002,172.4012,182.05199999999996,182.02540000000002,191.565,193.85330000000002
100 day,193.19316299999994,192.79485799999998,192.41842799999998,192.00443899999993,191.58244699999995,188.285616,184.84666999999993,184.56125099999994,182.2308419999999,181.67095399999994
125 day,192.68153279999993,192.50929599999995,192.33130479999994,192.11163839999995,191.92353599999993,190.69168399999995,189.34985919999997,189.16977279999998,187.87367039999992,187.48373759999993
15 min,166.28253333333333,167.20066666666662,165.51333333333335,159.04746666666668,160.067,172.42479999999995,182.0223333333333,182.04693333333339,191.512,193.7468666666667
150 day,191.2533373333333,191.15680266666664,191.0566593333333,190.91565666666665,190.77689933333332,190.04301133333334,189.33559599999995,189.29072133333327,189.36721666666656,189.4924599999999
175 day,188.53862400000006,188.52830914285715,188.51032514285717,188.44641485714288,188.39917485714287,188.16131371428574,188.50806342857138,188.50982571428568,188.83352799999997,189.05681199999992
2 day,167.98000000000002,166.41,165.83499999999998,162.055,159.505,168.685,183.83499999999998,182.45,191.08,192.99
2 hr,167.27180833333335,166.56809166666656,167.29962499999993,158.49216666666663,160.48013333333344,172.122675,182.06515000000002,181.99513333333329,191.43955000000003,193.3725666666667
2.5 hr,167.36368666666664,166.6157533333332,167.89144666666664,158.54096666666663,160.4122533333334,172.09037333333336,182.17572666666672,182.02176666666662,191.36842666666666,193.27888000000004
20 day,178.5805,177.7505,177.02500000000003,176.08700000000002,175.051,167.49499999999998,172.3585,173.467,182.396,184.84999999999994
20 min,166.3579,167.14199999999997,165.40775000000002,159.1936,160.01225,172.3421,182.10125,182.02390000000003,191.51999999999998,193.69415000000004
200 day,186.13874850000005,186.12438400000002,186.09945300000004,186.04343250000002,185.99186450000002,185.7223875,186.31385049999994,186.40027199999994,187.15072199999994,187.47892649999991
25 min,166.41852,167.06327999999993,165.36739999999998,159.33008,159.97324000000003,172.31907999999999,182.05919999999998,181.97868,191.5348,193.65491999999998
3 hr,167.4708499999999,166.74816111111096,168.25850000000005,158.70017777777775,160.3752333333334,172.11121111111112,182.2034777777778,181.96962222222223,191.28766111111116,193.22485555555565
3.5 hr,167.591157142857,166.79482857142838,168.54345714285722,158.81242857142854,160.3663047619048,172.03065714285717,182.29422380952377,181.8929476190476,191.26784761904764,193.17936666666668
30 day,178.48057666666668,178.11390999999998,177.76083666666668,177.21533333333335,176.56933333333333,172.88566666666665,171.07366666666664,171.4316666666667,176.92666666666665,180.177
30 min,166.50393333333335,167.02023333333327,165.38286666666664,159.3870666666667,160.0465666666667,172.29006666666663,182.0413333333333,181.9552333333333,191.54333333333332,193.6334
4 hr,167.8045708333333,166.77138333333318,168.71681666666674,158.89798333333326,160.38591666666673,171.92794583333335,182.37770416666663,181.76842500000004,191.2584125,193.09648750000005
4.5 hr,167.9355555555555,166.64636296296283,168.74410000000012,158.96297407407397,160.41517777777784,171.82307777777783,182.4962037037037,181.74125185185184,191.26667407407413,192.98784074074072
40 day,177.31301249999999,177.0619875,176.7727125,176.43106500000002,176.26838750000002,174.4723775,174.22274999999996,174.25900000000001,174.82099999999997,176.425
45 min,166.75840000000002,166.83917777777773,165.59646666666666,159.4867111111111,160.22951111111112,172.20264444444442,182.01319999999998,182.00215555555553,191.54122222222216,193.56233333333333
5 day,170.27800000000002,169.512,167.894,165.334,163.38,167.952,180.878,181.79799999999997,188.98,191.938
5 hr,168.1072066666666,166.53050999999994,168.74602666666678,159.1284999999999,160.39926000000003,171.70977666666676,182.63416333333333,181.7700166666666,191.30822333333333,192.84237666666667
5 min,166.23,166.83999999999997,165.27800000000002,158.899,160.082,172.54999999999998,182.206,182.07,191.762,193.99
5.5 hr,168.15444545454542,166.46346666666662,168.71816666666675,159.2966181818181,160.44755454545458,171.52976363636375,182.75242424242424,181.8442727272727,191.35404545454548,192.72043030303038
50 day,179.12950399999997,178.58778199999998,178.04393399999998,177.36247999999995,176.86157599999996,174.33957,175.27259999999998,175.32839999999996,176.59079999999997,177.2814
50 min,166.84446000000003,166.79875999999996,165.65998,159.46434,160.32056000000003,172.18847999999997,181.96967999999998,181.99593999999996,191.5293,193.5339
55 min,166.9054545454546,166.74996363636362,165.67634545454544,159.38394545454543,160.41176363636373,172.18272727272725,181.93298181818182,181.98621818181815,191.51874545454544,193.50825454545458
6 hr,168.10303333333331,166.5035305555555,168.64630000000005,159.50743888888886,160.59655833333332,171.28035555555564,182.83989722222222,181.96029166666662,191.33118055555556,192.61413888888893
6.5 hr,168.09498461538456,166.5785435897435,168.57314358974367,159.73567948717948,160.71098717948718,170.93400769230783,182.93954871794875,182.05369743589725,191.29293589743597,192.54901538461542
60 day,182.5133283333333,181.80153499999997,181.07396499999996,180.21540999999993,179.56679833333328,175.80444499999996,175.07354333333333,175.33459166666665,177.07099999999994,177.70099999999996
70 day,186.6162185714285,185.94212714285712,185.27146142857137,184.50405999999992,183.7821471428571,178.72154142857138,175.9327714285714,175.8916971428571,176.64346571428567,177.6405171428571
80 day,189.70809499999993,189.16572249999996,188.60125874999997,187.96871249999992,187.33481374999994,182.68840374999996,178.25118249999997,178.04184874999996,177.19904999999994,177.52051625
90 day,191.87153555555548,191.4003022222222,190.9165733333333,190.38023555555552,189.84763999999996,185.93523,181.80504666666664,181.48989222222218,179.11916222222214,178.98262666666662
Tomorrow,166.6,165.07,159.04,159.97,156.02,172.85,182.14,182.52,191.55,197.61
