,2019-01-18
1 hr,20.19491666666668
1 min,20.23
1.5 hr,20.19238888888891
10 day,19.812
10 min,20.190500000000004
100 day,18.358911
125 day,18.113078399999996
15 min,20.192666666666664
150 day,17.848128666666664
175 day,17.507917142857146
2 day,20.439999999999998
2 hr,20.19680833333334
2.5 hr,20.204879999999996
20 day,19.085205
20 min,20.194999999999997
200 day,16.941477000000006
25 min,20.195599999999995
3 hr,20.22138333333334
3.5 hr,20.23819523809524
30 day,19.335843333333333
30 min,20.19349999999999
4 hr,20.256175000000006
4.5 hr,20.267303703703707
40 day,19.34546
45 min,20.191555555555556
5 day,20.338
5 hr,20.27654
5 min,20.199
5.5 hr,20.286087878787882
50 day,19.29348
50 min,20.191600000000005
55 min,20.193181818181827
6 hr,20.297083333333337
6.5 hr,20.3146076923077
60 day,19.00221
70 day,18.725360000000006
80 day,18.51681125
90 day,18.417254444444442
Tomorrow,20.07
