,2018-12-12,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-31,2019-02-01,2019-02-05,2019-02-13,2019-02-14,2019-02-15
1 hr,29.07655,28.046783333333345,27.352366666666665,26.237433333333332,26.35403333333333,26.328249999999993,27.739766666666675,27.57113333333332,26.997300000000006,28.589366666666653,29.332766666666654,29.45045,30.261916666666664,29.95473333333334,30.455366666666684,31.037650000000003,31.647600000000008,32.461966666666676,30.84255000000002,30.318533333333324,31.658983333333342,32.21298333333334,33.216216666666675,33.51490000000001,34.293449999999986,33.941299999999984,33.81798333333332,33.318299999999994
1 min,29.05,28.18,27.32,26.26,26.31,26.5,27.98,27.6,26.95,28.55,29.15,29.46,30.19,29.82,30.53,31.08,31.61,32.4,30.97,30.28,31.69,32.32,33.31,33.52,34.27,33.87,33.74,33.325
1.5 hr,29.0673888888889,28.069744444444446,27.434722222222224,26.380222222222205,26.3592,26.393333333333334,27.642011111111124,27.59253333333332,27.031444444444443,28.602299999999982,29.308055555555544,29.45886666666666,30.2325,29.963522222222227,30.408844444444462,31.02574444444446,31.684033333333335,32.465277777777786,30.86084444444446,30.296955555555552,31.65246666666668,32.20758888888888,33.25454444444445,33.53784444444447,34.335044444444435,33.94284444444442,33.72917777777776,33.31322222222222
10 day,28.898000000000003,28.856,28.701999999999998,28.07,27.803000000000004,27.595,27.377000000000002,27.178000000000004,27.169,27.396000000000004,27.683,27.982,28.316000000000003,28.665000000000003,29.201999999999998,29.552,30.016999999999996,30.402000000000005,30.580000000000002,30.661,30.812,31.034999999999997,31.857,32.04899999999999,32.505,33.368,33.412,33.391
10 min,29.01550000000001,28.01,27.2262,26.296999999999997,26.283500000000004,26.244999999999997,27.951100000000004,27.631,26.9575,28.5865,29.2545,29.469,30.178500000000003,29.884499999999996,30.498499999999996,31.0657,31.6455,32.420500000000004,30.7985,30.2485,31.690500000000004,32.2945,33.3415,33.534499999999994,34.279500000000006,33.913000000000004,33.8485,33.3195
100 day,35.2095,34.922599999999996,34.763299999999994,34.449099999999994,34.29369999999999,34.147099999999995,33.86989999999999,33.35419999999999,33.21969999999999,33.10519999999999,33.00019999999999,32.8989,32.81769999999999,32.64899999999999,32.46479999999999,32.38579999999999,32.31109999999998,32.24169999999999,32.149799999999985,32.05549999999998,31.976299999999977,31.907899999999977,31.665399999999973,31.625099999999975,31.565899999999978,31.29579999999999,31.23839999999999,31.17749999999999
125 day,37.4852,37.113519999999994,36.93279999999999,36.57007999999999,36.39031999999999,36.22247999999998,35.91015999999998,35.28439999999998,35.13879999999998,35.00199999999999,34.87415999999998,34.748479999999994,34.62751999999999,34.38335999999999,34.15383999999998,34.051279999999984,33.967199999999984,33.88839999999999,33.79639999999998,33.69703999999999,33.60463999999998,33.52207999999998,33.223839999999974,33.16351999999998,33.05935999999998,32.721519999999984,32.68503999999999,32.64503999999998
15 min,29.02266666666668,27.983333333333338,27.20246666666667,26.25766666666667,26.290733333333336,26.192666666666664,27.918733333333332,27.62926666666667,26.966333333333335,28.592333333333336,29.285,29.46666666666666,30.207666666666675,29.894333333333336,30.499666666666663,31.072133333333333,31.646,32.42966666666667,30.789,30.25766666666667,31.689000000000004,32.28433333333333,33.32266666666667,33.52766666666666,34.28120000000001,33.910333333333334,33.855000000000004,33.336666666666666
150 day,38.872466666666675,38.67226666666668,38.56646666666668,38.351333333333336,38.2414,38.13073333333333,37.92006666666667,37.438133333333326,37.316933333333324,37.20666666666666,37.100599999999986,36.98773333333333,36.87833333333333,36.637066666666655,36.38253333333331,36.25439999999998,36.12993333333331,36.00499999999998,35.86659999999998,35.727066666666644,35.60566666666664,35.489933333333305,35.068199999999976,34.98146666666664,34.79666666666664,34.29239999999999,34.21533333333332,34.13466666666665
175 day,39.447142857142865,39.251771428571445,39.15194285714287,38.93280000000001,38.82382857142857,38.72428571428571,38.5492,38.199485714285714,38.115257142857146,38.042457142857145,37.97777142857143,37.914057142857146,37.8528,37.72194285714286,37.59405714285714,37.53154285714285,37.46834285714285,37.405542857142855,37.334399999999995,37.261199999999995,37.19554285714285,37.135257142857135,36.89354285714285,36.83691428571428,36.70445714285713,36.27691428571428,36.203485714285705,36.119485714285695
2 day,28.735,28.240000000000002,27.744999999999997,26.665,26.295,26.4,27.41,27.325,27.275,27.755000000000003,28.865000000000002,29.33,29.83,29.95,30.09,30.810000000000002,31.35,32.004999999999995,31.68,30.625,30.990000000000002,32.0,32.864999999999995,33.415,33.959999999999994,33.775,33.805,33.53
2 hr,29.105258333333328,28.13223333333334,27.48908333333333,26.497983333333313,26.329274999999992,26.400799999999993,27.578150000000004,27.607399999999995,27.069608333333317,28.596566666666657,29.29961666666667,29.446608333333312,30.215974999999982,29.971700000000013,30.39970833333334,31.014775,31.640616666666673,32.479400000000005,30.87106666666667,30.278616666666665,31.63095000000001,32.21356666666666,33.271625000000014,33.554941666666686,34.34317499999999,33.947824999999966,33.67213333333331,33.31736666666667
2.5 hr,29.128059999999987,28.194686666666662,27.535039999999984,26.621899999999982,26.338359999999998,26.429213333333326,27.53186,27.625913333333333,27.08829999999998,28.60719999999999,29.302726666666672,29.42283999999998,30.22311333333332,29.979806666666683,30.404633333333344,31.000473333333314,31.60428,32.50161333333333,30.892046666666666,30.276920000000008,31.60506666666668,32.220813333333325,33.26904666666669,33.55873333333334,34.32887333333332,33.95622666666663,33.639653333333314,33.32479333333333
20 day,27.704500000000003,27.949000000000005,27.998499999999996,28.0365,28.082000000000004,28.057000000000006,28.0985,27.940000000000005,27.787,27.733000000000004,27.743000000000002,27.7885,27.869500000000006,27.990999999999996,28.175999999999995,28.36499999999999,28.59299999999999,28.899,29.1315,29.321500000000004,29.564,29.780499999999996,30.70449999999999,31.032999999999987,31.5425,32.502,32.6345,32.72
20 min,29.03325000000001,27.98025,27.2113,26.23125,26.31005,26.169,27.89905,27.613700000000005,26.98,28.589000000000006,29.294549999999994,29.469099999999997,30.221500000000002,29.9095,30.494600000000002,31.074850000000005,31.65500000000001,32.442550000000004,30.811,30.275750000000006,31.683799999999998,32.277499999999996,33.301500000000004,33.52334999999999,34.27640000000001,33.912249999999986,33.85925,33.330999999999996
200 day,40.44585000000001,40.27070000000001,40.17910000000001,39.97280000000001,39.86475,39.75775,39.54475,39.1261,39.0174,38.91205,38.8106,38.71705000000001,38.634150000000005,38.46465,38.3016,38.228199999999994,38.15835,38.09175,38.017199999999995,37.944649999999996,37.8792,37.81064999999999,37.56924999999999,37.52279999999999,37.430199999999985,37.1763,37.140499999999996,37.099799999999995
25 min,29.040800000000008,27.98408,27.222479999999997,26.2322,26.337120000000006,26.1514,27.877639999999992,27.60616000000001,27.000800000000005,28.592600000000008,29.305039999999995,29.475279999999998,30.236799999999995,29.923920000000003,30.48688000000001,31.068079999999995,31.6608,32.44564000000001,30.79952,30.287000000000006,31.675439999999995,32.260799999999996,33.280440000000006,33.518879999999996,34.26872000000001,33.91419999999998,33.86756,33.32487999999999
3 hr,29.166355555555544,28.265588888888896,27.567016666666657,26.684811111111102,26.362866666666662,26.43677777777778,27.499955555555566,27.65120555555555,27.10413888888887,28.616255555555558,29.329650000000008,29.386444444444443,30.230844444444443,29.991505555555584,30.39985555555556,30.999944444444434,31.589444444444453,32.51275555555556,30.93708333333334,30.29326111111112,31.57831666666666,32.22328333333332,33.281905555555575,33.54446666666666,34.32322777777776,33.95262222222219,33.63235555555553,33.32543888888891
3.5 hr,29.178447619047603,28.312480952380973,27.580885714285706,26.73538571428571,26.37982380952381,26.441266666666667,27.476276190476195,27.66536666666666,27.11854761904759,28.621947619047617,29.337304761904768,29.331733333333325,30.228714285714272,30.001790476190507,30.399599999999996,30.992538095238082,31.57415714285714,32.5328619047619,31.00511904761906,30.316785714285725,31.564957142857136,32.22467142857142,33.28282857142859,33.53691904761904,34.347695238095234,33.94811428571425,33.635095238095204,33.34185714285715
30 day,29.001999999999995,28.736000000000004,28.48366666666666,27.959333333333333,27.717666666666666,27.45266666666667,27.479333333333333,27.725,27.743666666666666,27.823,27.949,28.032,28.164,28.293333333333333,28.40266666666666,28.477333333333323,28.53033333333332,28.62266666666666,28.68866666666666,28.74599999999999,28.850333333333325,28.979333333333322,29.52899999999999,29.74499999999999,30.255999999999997,31.402,31.607000000000003,31.819
30 min,29.043000000000006,27.989633333333334,27.23706666666666,26.240666666666666,26.35276666666667,26.16083333333334,27.858033333333324,27.592800000000004,27.006000000000004,28.588666666666672,29.312766666666665,29.477566666666668,30.252666666666663,29.935433333333336,30.482733333333346,31.058233333333327,31.67216666666667,32.45070000000001,30.796100000000003,30.291166666666676,31.671033333333323,32.24283333333333,33.26653333333334,33.51856666666666,34.27643333333334,33.91549999999999,33.8698,33.32299999999999
4 hr,29.173724999999987,28.31621666666668,27.599991666666654,26.78068749999999,26.384116666666664,26.45854583333333,27.439954166666674,27.660383333333332,27.11884999999997,28.634041666666654,29.330904166666674,29.296245833333327,30.21912083333332,29.99306666666669,30.39281666666666,30.992529166666642,31.565616666666653,32.55583749999999,31.069554166666684,30.353233333333346,31.560454166666656,32.21455833333332,33.27710833333334,33.544941666666666,34.36917499999998,33.94541249999997,33.63539999999997,33.35782083333334
4.5 hr,29.18399629629629,28.295966666666683,27.60551111111109,26.817796296296276,26.400348148148137,26.497637037037027,27.376429629629637,27.66046296296296,27.126555555555537,28.623307407407403,29.326070370370374,29.246737037037025,30.208248148148144,29.98244074074076,30.368625925925915,31.016214814814816,31.561677777777764,32.56550740740739,31.139659259259275,30.392888888888894,31.553311111111093,32.196103703703706,33.26064074074073,33.54262962962965,34.375888888888866,33.93918888888886,33.626944444444426,33.36841851851853
40 day,29.848000000000003,29.524,29.387749999999993,29.068999999999996,28.911499999999997,28.811999999999994,28.63375,28.157249999999998,27.956999999999994,27.8185,27.709000000000003,27.585000000000008,27.64225,27.847749999999998,28.0625,28.18175,28.311999999999994,28.467750000000002,28.606749999999995,28.689249999999994,28.825999999999986,28.93949999999999,29.322249999999986,29.40999999999999,29.64274999999999,30.33899999999999,30.49975,30.6565
45 min,29.057577777777777,28.01653333333333,27.295644444444445,26.25491111111111,26.37317777777778,26.25022222222223,27.798711111111118,27.588111111111104,26.994977777777777,28.592666666666663,29.332955555555543,29.478244444444442,30.263777777777776,29.95031111111111,30.47260000000002,31.04444444444444,31.668888888888898,32.4546888888889,30.823400000000014,30.312888888888896,31.656088888888885,32.22206666666668,33.225888888888896,33.51440000000001,34.283399999999986,33.93717777777777,33.850666666666655,33.31666666666666
