,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14
1 hr,67.52270000000001,68.39949999999999,69.00070000000001,67.77146666666665,64.46661666666668,64.57311666666666,64.18405,62.993066666666664,60.972183333333355,61.69728333333333,63.330033333333375,62.99125,61.357850000000006,63.64611666666669,63.61946666666666,64.31095,64.33024999999998,64.7263,64.90370000000001,64.77526666666665,66.07873333333333,65.87076666666665,66.42179999999998,67.85126666666667,66.51115000000001,67.04021666666667,68.02191666666668,69.88906666666666,68.91659999999999,68.58408333333335,69.76655000000002,69.62168333333334,70.25951666666667,71.24573333333333,71.24684999999998,74.41886666666666,72.63049999999998,72.94904999999999,73.04618333333333,73.47406666666667,73.58616666666668,73.30938333333333
1 min,67.28,68.0,69.1,67.76,64.68,64.62,64.23,62.79,60.09,62.35,63.5,63.09,61.09,63.7,63.6,64.31,64.255,64.82,64.92,64.66,65.99,65.78,66.55,67.83,66.81,67.07,68.11,70.0,68.94,68.66,69.79,69.67,70.1,71.32,71.21,74.51,73.0,73.17,72.97,73.44,73.58,73.12
1.5 hr,67.45674444444444,68.4078,68.91796666666669,67.7625111111111,64.5839111111111,64.55037777777777,64.43364444444441,62.99204444444445,61.1570888888889,61.51711111111111,63.29480000000003,63.094444444444434,61.435555555555524,63.63822222222221,63.595811111111104,64.2919111111111,64.3483555555555,64.68609999999998,64.87140000000002,64.76056666666666,66.05929999999998,65.87702222222225,66.41786666666664,67.8408666666667,66.45812222222222,66.93586666666664,67.99161111111111,69.8595777777778,68.89486666666672,68.58568888888891,69.8072666666667,69.60881111111112,70.23183333333331,71.2637111111111,71.27966666666664,74.30502222222222,72.5993222222222,72.97229999999999,73.09836666666662,73.49783333333335,73.58371111111111,73.36659999999999
10 day,69.589,69.40199999999999,69.234,68.981,68.325,67.594,67.015,66.353,65.562,64.365,62.826,62.66799999999999,62.315999999999995,62.263,62.345000000000006,62.767999999999994,63.19200000000001,63.437,63.621,63.79100000000001,64.042,64.312,64.857,65.26900000000002,65.58900000000001,65.86300000000001,66.249,66.77,67.173,67.576,67.957,68.346,68.705,69.05199999999999,69.49300000000001,70.237,70.724,71.038,71.44,71.91900000000001,72.297,72.64099999999999
10 min,67.33999999999999,68.18050000000001,69.12049999999999,67.79800000000002,64.4491,64.8352,64.41740000000001,62.66949999999999,60.470000000000006,62.133,63.25300000000001,62.9865,61.230000000000004,63.71600000000001,63.62450000000001,64.30799999999999,64.15549999999999,64.81450000000001,64.92420000000001,64.575,66.02799999999999,65.8515,66.4695,67.76500000000001,66.60350000000001,67.087,68.06929999999998,69.951,68.8695,68.60279999999997,69.7695,69.71950000000001,70.20250000000001,71.2591,71.2625,74.51599999999999,72.9275,73.0294,72.96300000000001,73.4444,73.53550000000001,73.23660000000001
100 day,73.96088,73.82330800000001,73.69196000000002,73.55159,73.374452,73.198007,73.029198,72.853845,72.644233,72.287285,71.851291,71.714044,71.566643,71.45220400000001,71.33815700000001,71.233299,71.13460300000001,71.035838,70.93359900000002,70.83492400000002,70.74795400000001,70.65539400000002,70.57193000000001,70.49368700000001,70.39776600000002,70.30394600000001,70.21045600000001,70.138957,70.04638800000002,69.97873900000002,69.92598000000002,69.867733,69.813987,69.773436,69.72161499999999,69.711768,69.671864,69.642833,69.61509300000002,69.58297900000002,69.55994300000002,69.52163800000002
125 day,75.11290240000002,75.03220240000005,74.94279760000003,74.84840240000003,74.73565120000002,74.6255232,74.5213448,74.39745199999999,74.2579264,73.99719119999999,73.6235736,73.49261360000001,73.34581280000002,73.21448160000001,73.07900880000003,72.9431696,72.808124,72.66371440000002,72.53299360000003,72.39796400000002,72.26760880000002,72.13891520000001,72.015904,71.90416640000001,71.780848,71.66287200000002,71.5487616,71.45080560000002,71.35351840000003,71.26027600000002,71.17026640000002,71.0746024,71.02422800000001,70.97541600000001,70.9206336,70.89551279999999,70.86491519999998,70.84347439999999,70.82608320000001,70.81364560000002,70.80383920000001,70.7957624
15 min,67.37733333333333,68.23966666666666,69.13166666666666,67.75266666666667,64.36173333333333,64.8338,64.38086666666666,62.7082,60.613666666666674,62.07,63.302000000000014,62.96246666666666,61.2732,63.717000000000006,63.622400000000006,64.31533333333333,64.17453333333331,64.81266666666667,64.92513333333335,64.61600000000001,66.05726666666666,65.83533333333332,66.46,67.80000000000001,66.58833333333334,67.115,68.05306666666665,69.93133333333334,68.8856,68.58819999999997,69.76433333333333,69.72733333333333,70.25066666666667,71.24340000000001,71.2666,74.50733333333332,72.90313333333333,73.01513333333334,72.96266666666669,73.42746666666667,73.52680000000001,73.24606666666666
150 day,75.22240200000002,75.17979800000003,75.1381106666667,75.08352400000003,75.01303133333336,74.94485066666668,74.87453266666667,74.79196933333333,74.68975333333333,74.50456266666667,74.25971333333335,74.18697800000001,74.09249000000003,74.01758933333336,73.9319446666667,73.84877933333335,73.76647400000003,73.68047600000003,73.60462600000004,73.5242566666667,73.45388200000002,73.37368800000003,73.30008533333336,73.23143533333335,73.14173133333337,73.05833533333337,72.98737600000003,72.93160266666669,72.87625400000003,72.81221000000001,72.76067200000003,72.70508533333334,72.65965933333334,72.61102666666669,72.56206,72.53171133333335,72.48857800000002,72.44664400000002,72.39900133333335,72.35177400000002,72.30030800000002,72.24683666666668
175 day,75.93514457142855,75.86637657142857,75.80247485714285,75.74157314285713,75.663864,75.577424,75.4914194285714,75.38794685714285,75.27324057142856,75.04324971428571,74.72699142857142,74.62517714285715,74.516356,74.42176800000001,74.32196114285718,74.22689200000002,74.1303462857143,74.03694342857143,73.94666342857145,73.85483942857145,73.76619600000002,73.70083828571431,73.65291600000002,73.61519828571431,73.56643771428574,73.51559200000003,73.47488400000003,73.4473005714286,73.41399942857146,73.37683085714288,73.34470285714288,73.31240057142858,73.28562514285716,73.26246628571431,73.23788400000002,73.2329542857143,73.22718114285716,73.21510571428574,73.2038765714286,73.1867525714286,73.16838228571432,73.14846342857146
2 day,67.17500000000001,67.64500000000001,68.555,68.425,66.22,64.64500000000001,64.42500000000001,63.505,61.435,61.19,63.205,63.285,62.095,62.400000000000006,63.650000000000006,63.959999999999994,64.28999999999999,64.535,64.86500000000001,64.775,65.31,65.89,66.17,67.185,67.31,66.93,67.59,69.07,69.485,68.805,69.22999999999999,69.74000000000001,69.91,70.715,71.25,72.85499999999999,73.745,73.07499999999999,73.065,73.21000000000001,73.515,73.35
2 hr,67.2907333333333,68.477,68.8868166666667,67.79310833333331,64.64903333333332,64.58688333333332,64.60806666666664,62.83908333333334,61.30575000000001,61.41931666666665,63.28958333333336,63.15427499999999,61.50816666666664,63.64262499999998,63.63206666666666,64.27585833333333,64.3704583333333,64.65071666666664,64.84905833333336,64.74316666666668,66.08236666666664,65.86046666666671,66.34791666666663,67.84320000000002,66.45291666666665,66.90359166666664,67.94241666666667,69.8859,68.86370833333336,68.6077416666667,69.7801,69.61468333333337,70.20813333333331,71.28326666666666,71.34454999999998,74.23425833333336,72.535425,72.99359166666667,73.13790833333327,73.50179166666668,73.58495833333333,73.41029166666664
2.5 hr,67.22204666666666,68.60162666666666,68.91635333333335,67.81660666666667,64.73655333333332,64.60601999999997,64.81683999999998,62.833026666666704,61.441793333333344,61.32754666666666,63.33191333333337,63.224320000000006,61.559746666666655,63.64250666666667,63.669319999999985,64.25836666666669,64.41232666666669,64.57092666666665,64.83038000000003,64.75023999999999,66.07928666666665,65.8198466666667,66.29819333333333,67.83440000000004,66.4620933333333,66.86640666666662,67.88181333333331,69.8877066666667,68.83622666666669,68.61975333333335,69.68224666666673,69.6218666666667,70.21065999999999,71.25474,71.37659999999997,74.21838666666666,72.47755333333336,72.99907333333333,73.15683333333324,73.49315333333342,73.5814,73.42745999999994
20 day,69.14283499999999,69.076725,69.060125,69.079735,68.8895,68.614,68.365,68.1235,67.6945,66.977,65.90350000000001,65.4965,64.955,64.639,64.349,64.16499999999999,64.0235,63.900999999999996,63.74550000000001,63.523,63.43400000000001,63.49000000000001,63.5865,63.766,63.967,64.3155,64.72049999999999,65.1035,65.39699999999999,65.68349999999998,65.99949999999998,66.32899999999998,66.78099999999998,67.16049999999998,67.54099999999998,68.04999999999998,68.4865,68.904,69.30649999999999,69.74749999999999,70.12699999999998,70.49349999999998
20 min,67.42115,68.29625000000001,69.12949999999998,67.72510000000001,64.32180000000001,64.7943,64.31764999999999,62.78370000000001,60.654250000000005,62.03324999999999,63.34200000000002,62.94485000000001,61.300650000000005,63.69725,63.617550000000016,64.3155,64.20009999999999,64.7996,64.92550000000003,64.65200000000002,66.07179999999998,65.83174999999999,66.45450000000001,67.82000000000001,66.60600000000002,67.12845000000002,68.02644999999998,69.92175000000002,68.8877,68.59239999999997,69.73750000000001,69.73225,70.2725,71.23330000000001,71.26939999999999,74.5085,72.85985000000001,73.0016,72.95025000000003,73.43300000000002,73.54984999999999,73.25205
200 day,76.643428,76.57437850000001,76.51300950000001,76.45188449999999,76.3721355,76.28722649999999,76.19639999999998,76.09743099999997,75.98516049999998,75.76001449999998,75.45645799999998,75.35234349999999,75.24219699999999,75.14257099999999,75.047206,74.96724399999998,74.89546249999998,74.81467749999997,74.74212949999999,74.67016499999998,74.600884,74.53700049999999,74.4727515,74.4115295,74.3442155,74.28737650000001,74.236631,74.18799600000001,74.13634200000001,74.0752035,74.02338550000002,73.966256,73.9093435,73.855652,73.80319700000001,73.77016750000001,73.73058,73.6956615,73.65924700000001,73.62116600000002,73.58428050000002,73.544103
25 min,67.46524000000001,68.3174,69.10699999999999,67.71832,64.30692,64.76783999999999,64.28824,62.863360000000014,60.6672,61.99047999999998,63.35156000000002,62.94228000000001,61.33892000000001,63.69071999999999,63.62540000000002,64.31979999999999,64.22395999999999,64.78587999999999,64.92320000000002,64.68272000000002,66.06979999999999,65.83479999999997,66.45540000000001,67.83060000000002,66.58060000000002,67.13232,68.02235999999999,69.905,68.90339999999999,68.59471999999998,69.72800000000002,69.73116,70.28239999999998,71.22584,71.26812,74.49184,72.80272,72.99788,72.94620000000003,73.43800000000002,73.56848000000001,73.26244
3 hr,67.21330555555552,68.68339999999999,68.89317777777781,67.86024444444443,64.85798333333332,64.64851666666667,64.94150555555557,62.86692222222226,61.498627777777784,61.235433333333305,63.369838888888935,63.26567777777774,61.609561111111105,63.65608888888891,63.69267777777776,64.24086666666673,64.46060000000003,64.52657777777776,64.8341555555556,64.7540777777778,66.06244444444437,65.77837777777782,66.26004444444443,67.85136111111115,66.45642777777775,66.8205055555555,67.82900000000002,69.86907777777782,68.78886666666669,68.62437777777781,69.61723888888896,69.6417555555556,70.2244111111111,71.20782777777775,71.41526111111108,74.1914111111111,72.39748333333334,73.00638333333335,73.16899444444434,73.47472777777783,73.56894444444447,73.43108333333329
3.5 hr,67.22647619047618,68.71873333333333,68.88747142857147,67.91734285714287,64.97722857142855,64.68468095238094,65.06283333333333,62.90975714285719,61.517733333333354,61.20147619047617,63.37155238095242,63.28127142857141,61.666738095238095,63.65748095238098,63.693700000000014,64.20439523809526,64.48570000000001,64.52451904761905,64.86208571428574,64.76856190476194,66.05015714285706,65.75359047619054,66.2368857142857,67.84804761904765,66.47763333333329,66.77518095238092,67.80346666666667,69.85781904761909,68.7561904761905,68.64825714285719,69.56380000000009,69.68331428571435,70.25023333333333,71.15733333333333,71.46269999999998,74.16591428571427,72.31237619047621,73.01392857142858,73.17927142857131,73.45872857142861,73.54677619047622,73.43959999999996
