,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-09,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-14,2019-02-15
1 hr,110.58091666666668,110.20803333333332,108.49935000000004,106.49003333333333,106.30404999999998,105.84594999999999,103.30911666666664,101.18366666666664,100.71798333333332,101.86969999999998,100.86103333333334,102.70239999999994,104.90263333333336,106.03098333333332,106.12970000000003,107.23040000000006,106.99669999999993,107.9628,108.30935,102.18741666666666,102.60795,101.9534833333333,101.13915,101.32321666666668,102.14865,103.84303333333335,104.88505,105.79193333333333,105.54833333333335,105.02778333333335,105.3171333333334,104.95109999999998,105.46583333333332,106.24929999999996,106.34711666666672
1 min,110.27,110.21,109.15,106.65,106.52,105.97,103.21,100.63,101.4,102.23,100.7,102.63,104.83,106.17,106.0,107.06,107.07,108.3,108.54,101.76,102.64,101.98,101.19,101.52,102.54,103.8,104.9,106.09,105.6,105.12,105.43,105.04,105.44,106.2,106.48
1.5 hr,110.50953333333334,110.15975555555555,108.44639999999997,106.48384444444449,106.38339999999997,106.25204444444442,103.00576666666667,101.3470333333333,100.53517777777778,101.90757777777776,100.9168777777778,102.7282,104.9319777777778,106.04114444444446,106.15215555555565,107.28351111111112,107.0046222222222,107.92812222222223,108.19419999999997,102.28600000000002,102.58578888888886,101.87087777777776,101.09575555555556,101.31414444444448,102.10994444444441,103.81603333333337,104.96090000000004,105.77676666666666,105.53665555555558,104.99826666666665,105.31340000000009,104.89372222222225,105.45244444444444,106.24319999999994,106.2996555555556
10 day,109.30618,109.22599999999997,109.12951000000001,108.93054,108.58999999999999,108.33399999999999,107.72199999999998,107.06099999999999,105.36699999999999,102.59400000000001,102.01500000000001,101.683,102.51199999999999,103.356,103.776,104.756,105.38900000000001,106.51899999999998,107.0,106.70399999999998,106.38399999999999,105.96799999999999,105.48700000000001,104.901,104.45,104.122,103.73800000000001,103.52100000000003,103.215,103.54100000000001,103.819,104.125,104.55,105.26100000000001,105.53099999999999
10 min,110.3555,110.232,108.78349999999998,106.55250000000001,106.679,106.16399999999999,103.1585,100.87800000000001,101.1987,102.1215,100.87749999999998,102.64099999999999,104.73859999999999,106.04750000000001,105.96869999999998,107.126,107.00050000000002,107.9417,108.63810000000001,101.9949,102.60499999999999,101.9207,101.24599999999998,101.378,102.423,103.79399999999998,104.799,105.80999999999999,105.5521,105.07649999999998,105.2585,105.07300000000001,105.4805,106.29650000000001,106.46969999999999
100 day,108.27155200000001,108.29742500000002,108.31628400000004,108.293696,108.23252900000001,108.17523100000003,108.10528500000001,108.016721,107.83448799999998,107.49825300000002,107.39742700000001,107.31301000000002,107.10015100000001,107.00539400000004,106.95686900000003,106.87395400000001,106.82875300000002,106.74572000000002,106.70276300000003,106.58084199999999,106.469711,106.35297700000002,106.23432300000005,106.12973600000004,106.03584600000005,105.96771300000005,105.91237500000005,105.86425200000005,105.80255700000004,105.73646100000002,105.67117200000003,105.61773200000002,105.56719600000002,105.47291300000005,105.43776100000002
125 day,107.9863984,108.01570880000001,108.03175280000002,108.02069999999999,108.0064544,107.99984960000002,107.98408320000001,107.95716960000001,107.9112208,107.81447680000002,107.7764784,107.74777920000002,107.68083840000001,107.62544720000002,107.59651600000002,107.55123600000002,107.53309760000002,107.54458000000002,107.55582720000004,107.49959680000002,107.41962320000003,107.34194480000004,107.26990800000004,107.20545680000004,107.14884560000004,107.10335040000004,107.06585840000005,107.02839680000007,106.98653680000004,106.93900240000004,106.89586160000005,106.84752800000004,106.80614240000004,106.71668080000006,106.68090400000004
15 min,110.44366666666666,110.24600000000001,108.657,106.52300000000001,106.65113333333332,106.12866666666666,103.224,100.992,101.15313333333333,102.077,100.922,102.65333333333335,104.74773333333333,106.06173333333335,105.9538,107.1322666666667,107.01926666666667,107.97186666666666,108.598,102.07226666666664,102.60666666666665,101.91986666666666,101.26266666666665,101.35066666666665,102.37333333333332,103.826,104.74000000000001,105.80286666666666,105.53973333333333,105.07766666666664,105.26033333333335,105.046,105.47353333333334,106.30933333333333,106.45246666666668
150 day,107.72651933333331,107.742638,107.75607466666666,107.75762933333331,107.76250399999998,107.76530666666666,107.75123799999999,107.72296266666666,107.66015133333332,107.55574200000001,107.518894,107.50129133333334,107.43161866666668,107.39974600000004,107.38912600000003,107.39870733333336,107.40917600000002,107.43529066666669,107.44546066666669,107.40445000000001,107.36671200000002,107.3346746666667,107.30813600000003,107.29104133333337,107.27901800000005,107.28915066666671,107.29618333333337,107.30669733333339,107.30151800000004,107.2957306666667,107.29533200000004,107.28741600000004,107.27871133333338,107.26449866666673,107.24445333333337
175 day,106.44636457142856,106.54835371428571,106.64924,106.73304914285714,106.80979371428573,106.88197085714286,106.93313657142856,106.96836571428571,107.01409142857145,107.13312514285717,107.15855714285718,107.19496000000004,107.2255782857143,107.24582000000005,107.25454571428575,107.27363714285717,107.27435085714288,107.28414685714287,107.29292114285717,107.26699657142859,107.24900342857146,107.2286628571429,107.2051182857143,107.18545371428577,107.17013600000006,107.16281542857145,107.1553445714286,107.15455942857146,107.1510885714286,107.14806457142858,107.14328057142858,107.14190685714287,107.13586971428573,107.11035885714287,107.09676514285714
