,2019-01-30,2019-01-31,2019-02-13,2019-02-14,2019-02-15
1 hr,86.52873333333334,87.35245000000003,86.2255,104.01685,100.74771666666669
1 min,86.99,87.78,86.37,104.16,101.1
1.5 hr,86.35222222222222,87.32426666666667,86.23331111111109,104.12450000000003,100.82851111111114
10 day,79.85,80.90399999999998,88.11800000000001,89.748,91.005
10 min,86.79670000000002,87.561,86.29370000000002,104.16150000000002,100.9118
100 day,73.27909999999999,73.40269999999998,74.56499999999997,74.88329999999998,75.16859999999997
125 day,72.72384000000001,72.9392,74.48279999999995,74.74095999999994,74.97615999999996
15 min,86.735,87.49119999999999,86.283,104.27433333333335,100.79079999999999
150 day,71.52866666666665,71.68893333333331,73.13433333333329,73.38759999999996,73.61006666666663
175 day,70.32154285714286,70.48257142857142,71.8953714285714,72.13331428571425,72.34314285714284
2 day,85.205,87.32,86.93,95.22,102.555
2 hr,86.30939166666668,87.32942499999996,86.23192500000003,104.1657916666667,100.89410833333334
2.5 hr,86.31868,87.33681333333331,86.26839333333332,104.13981333333332,100.88128666666667
20 day,77.6055,78.33149999999999,83.98400000000002,85.326,86.47850000000001
20 min,86.69284999999999,87.4411,86.2919,104.25365000000002,100.72084999999998
200 day,68.5232,68.70185,70.26589999999997,70.51139999999998,70.74154999999998
25 min,86.66635999999998,87.41248000000002,86.28432,104.19144,100.67667999999999
3 hr,86.32315,87.39064999999998,86.30975555555557,104.04574999999998,100.86293888888889
3.5 hr,86.32914761904762,87.46419523809521,86.3888666666667,103.99710476190477,100.86032380952382
30 day,75.23933333333335,75.83566666666667,81.10966666666668,82.137,83.17500000000001
30 min,86.64896666666665,87.40466666666667,86.25936666666666,104.16043333333333,100.6464
4 hr,86.33718333333333,87.59160416666664,86.46514166666674,103.88869583333339,100.86692500000001
4.5 hr,86.27008888888885,87.70457407407403,86.48144444444453,103.75328518518526,100.88194074074075
40 day,75.26825,75.60874999999999,78.459,79.31375,80.05975
45 min,86.62544444444444,87.36444444444447,86.21844444444443,104.06015555555557,100.69831111111111
5 day,82.426,84.48999999999998,87.792,91.226,93.64200000000001
5 hr,86.16712333333331,87.79200666666664,86.49484000000008,103.46359666666675,100.9393966666667
5 min,86.88320000000002,87.69000000000001,86.3784,103.99100000000001,101.05
5.5 hr,86.0882424242424,87.84198484848484,86.49547575757583,103.30044242424248,101.0527060606061
50 day,74.0684,74.33239999999999,77.83819999999999,78.43659999999998,78.95899999999999
50 min,86.57709999999999,87.35324000000003,86.2081,104.03174000000001,100.71304000000002
55 min,86.54263636363636,87.35149090909093,86.20863636363636,104.01940000000002,100.73223636363639
6 hr,85.94805833333331,87.87181388888888,86.50102500000011,103.10363333333336,101.12243333333333
6.5 hr,85.8299794871795,87.8847487179487,86.55166923076933,102.76623846153852,101.20210769230769
60 day,73.79316666666668,74.1035,76.40999999999998,76.90166666666663,77.3403333333333
70 day,73.13085714285715,73.38371428571428,75.8395714285714,76.33842857142854,76.8115714285714
80 day,72.83212499999999,73.00537499999999,75.00424999999998,75.42924999999997,75.81387499999997
90 day,73.05911111111111,73.23166666666665,74.53055555555552,74.86566666666664,75.16377777777774
Tomorrow,87.76,88.48,104.06,101.05,NULL
