,2018-12-11,2018-12-12,2018-12-19,2018-12-21,2018-12-26,2019-01-02,2019-01-07,2019-01-08,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-07,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,22.767350000000008,22.93265000000001,21.456766666666674,19.248000000000008,20.55875,20.5622,21.884866666666664,22.063533333333325,22.487150000000018,22.341233333333317,22.05935,22.518849999999986,22.669250000000012,23.69503333333334,23.25528333333334,23.336099999999984,23.942383333333336,24.081999999999997,23.20510000000002,23.86691666666668,24.67391666666667,24.21058333333335,24.574366666666663,25.195933333333354,24.79938333333333,25.431316666666664,25.547599999999978,25.857699999999998,25.65315
1 min,22.57,22.81,21.554,19.39,20.74,20.68,21.76,22.07,22.49,22.39,22.01,22.5,22.6,23.62,23.31,23.37,23.89,24.12,23.24,23.93,24.7,24.24,24.559,25.2,24.79,25.44,25.42,25.78,25.55
1.5 hr,22.764499999999998,22.918044444444458,21.54811111111112,19.278844444444438,20.516411111111122,20.592311111111126,21.91213333333334,22.07538888888887,22.467322222222247,22.334822222222193,22.07366666666665,22.532011111111096,22.674200000000006,23.675322222222217,23.207344444444434,23.335433333333302,23.93396666666668,24.059300000000004,23.184777777777814,23.88791111111113,24.69083333333333,24.19000000000003,24.598988888888886,25.2139888888889,24.793266666666664,25.431899999999995,25.550933333333315,25.855233333333313,25.73215555555557
10 day,22.978,22.955000000000005,22.189,21.771,21.363999999999997,20.604000000000003,20.578,20.847,21.275000000000002,21.427,21.549,21.945,22.196,22.427,22.665000000000003,22.773999999999994,22.915,23.089999999999996,23.213,23.348,23.571,23.735000000000003,23.833000000000002,24.063000000000006,24.396,24.868000000000002,25.020000000000003,25.127000000000002,25.256999999999998
10 min,22.637,22.856,21.5409,19.3241,20.7075,20.610999999999997,21.7565,22.058,22.5125,22.379299999999994,21.99,22.494099999999996,22.628500000000003,23.581,23.314799999999998,23.3865,23.881,24.091,23.209500000000002,23.8707,24.696499999999993,24.223499999999998,24.5704,25.1799,24.7768,25.4303,25.444000000000003,25.861,25.521
100 day,25.833599999999997,25.751699999999996,25.31139999999999,25.16349999999999,24.992399999999996,24.586799999999993,24.271699999999996,24.202699999999997,24.078599999999998,24.027399999999993,23.971299999999996,23.858399999999996,23.80099999999999,23.76659999999999,23.683299999999985,23.647099999999988,23.619099999999985,23.591999999999988,23.554799999999986,23.528099999999984,23.517799999999994,23.49259999999999,23.469499999999986,23.451799999999988,23.433399999999992,23.406999999999996,23.404899999999998,23.3977,23.389499999999998
125 day,27.379920000000002,27.27344,26.60368,26.39176,26.20392000000001,25.821040000000004,25.569280000000003,25.4956,25.347039999999996,25.268799999999995,25.186719999999998,25.044079999999997,24.974479999999993,24.915199999999995,24.784479999999988,24.721119999999992,24.666639999999987,24.61951999999999,24.583279999999988,24.560559999999988,24.535759999999993,24.49119999999999,24.44799999999999,24.40735999999999,24.30303999999999,24.153919999999996,24.125759999999996,24.10024,24.078719999999997
15 min,22.682666666666666,22.871333333333336,21.52926666666667,19.298733333333338,20.680599999999995,20.59893333333333,21.77433333333333,22.057399999999998,22.511666666666663,22.38073333333333,22.001333333333328,22.496733333333335,22.66766666666667,23.627599999999997,23.3192,23.369333333333326,23.887666666666668,24.088999999999995,23.206333333333337,23.864533333333334,24.685666666666666,24.231333333333332,24.569866666666666,25.191266666666667,24.799533333333333,25.4312,25.455333333333336,25.877666666666673,25.53533333333333
150 day,27.887199999999993,27.829933333333326,27.543533333333333,27.403533333333325,27.272399999999998,27.0262,26.846333333333334,26.7936,26.678066666666666,26.625533333333333,26.572533333333332,26.466733333333334,26.406266666666664,26.322733333333332,26.086799999999997,25.978066666666667,25.88873333333333,25.811733333333333,25.741866666666667,25.684599999999996,25.630866666666666,25.584333333333333,25.525466666666663,25.477333333333334,25.378866666666667,25.25486666666667,25.215999999999998,25.1816,25.13573333333333
175 day,28.208599999999986,28.162657142857125,27.911828571428558,27.77742857142855,27.672628571428557,27.46845714285713,27.332571428571416,27.289485714285703,27.196799999999993,27.147542857142845,27.100799999999992,27.02377142857142,26.980171428571417,26.93554285714285,26.837999999999994,26.80045714285714,26.76817142857142,26.73045714285714,26.68868571428571,26.652857142857137,26.622114285714286,26.588685714285713,26.559142857142852,26.53057142857143,26.475028571428574,26.394400000000008,26.368514285714294,26.3393142857143,26.306800000000013
2 day,22.29,22.689999999999998,21.509999999999998,19.875,20.255000000000003,20.55,21.520000000000003,21.915,22.395,22.439999999999998,22.200000000000003,22.53,22.54,23.095,23.104999999999997,23.35,23.645,24.02,23.689999999999998,23.585,24.32,24.475,24.405,24.884999999999998,25.015,25.29,25.439999999999998,25.615000000000002,25.66
2 hr,22.702558333333336,22.94136666666668,21.584825000000013,19.30171666666667,20.468933333333347,20.60046666666668,21.925349999999998,22.06620833333334,22.458950000000016,22.322883333333326,22.064866666666664,22.528808333333327,22.658799999999996,23.68149999999998,23.182149999999986,23.339799999999972,23.946125000000013,24.03452499999999,23.200625000000024,23.89533333333334,24.70926666666667,24.171375000000033,24.612399999999997,25.21573333333333,24.776133333333323,25.441291666666643,25.555349999999994,25.852291666666645,25.77366666666666
2.5 hr,22.651126666666663,22.978820000000013,21.64512000000001,19.32162,20.44288000000001,20.62219333333334,21.935566666666666,22.06020666666668,22.447266666666675,22.313826666666674,22.061033333333345,22.50999999999999,22.66395333333332,23.669339999999977,23.181266666666644,23.341366666666648,23.964860000000016,24.00822666666666,23.206200000000027,23.843760000000007,24.726126666666676,24.160226666666695,24.619359999999993,25.212153333333333,24.761586666666652,25.451713333333295,25.55566666666667,25.84885333333332,25.80695333333333
20 day,22.999000000000002,22.922500000000007,22.6185,22.446,22.171,21.555,21.281,21.308999999999997,21.3195,21.298499999999997,21.2395,21.2745,21.331500000000002,21.433,21.756,21.938,22.095,22.258499999999998,22.380999999999997,22.556,22.757999999999996,22.965500000000002,23.130000000000003,23.302,23.585,24.040499999999998,24.183999999999997,24.348999999999997,24.49599999999999
20 min,22.711850000000002,22.890700000000002,21.51345,19.249150000000004,20.658449999999995,20.5777,21.791999999999994,22.0631,22.5163,22.374699999999997,22.013749999999998,22.49615,22.6798,23.662799999999997,23.3159,23.359599999999993,23.89875,24.083499999999997,23.21025000000001,23.857599999999998,24.677549999999997,24.23425,24.572649999999996,25.1873,24.81015,25.436899999999998,25.470350000000003,25.88175,25.543499999999998
200 day,27.96297499999998,27.960474999999974,27.920324999999977,27.87432499999997,27.82802499999998,27.738824999999984,27.671174999999984,27.653824999999983,27.583124999999985,27.545574999999985,27.50072499999999,27.419724999999985,27.374774999999982,27.33847499999998,27.265649999999983,27.231899999999985,27.195249999999984,27.15434999999999,27.104199999999988,27.073849999999982,27.05229999999999,27.024349999999984,26.99439999999998,26.970899999999986,26.930899999999987,26.87634999999999,26.855549999999994,26.8339,26.807100000000002
25 min,22.73768,22.90208,21.507439999999995,19.212440000000004,20.640879999999996,20.56564,21.811399999999995,22.07228,22.518239999999995,22.37316,22.0282,22.497839999999997,22.688880000000005,23.680439999999997,23.312719999999995,23.351879999999998,23.902399999999997,24.084800000000005,23.21392000000001,23.85728,24.67683999999999,24.2386,24.572119999999995,25.183600000000002,24.8048,25.43483999999999,25.48788,25.8814,25.547400000000003
3 hr,22.667399999999997,23.016916666666667,21.657650000000004,19.28927222222223,20.40205000000001,20.637966666666667,21.949200000000005,22.059116666666693,22.454861111111118,22.314122222222238,22.06396111111113,22.50177777777776,22.658449999999984,23.65268888888887,23.17841666666664,23.337166666666654,23.97171666666669,23.97997222222222,23.196005555555576,23.799777777777784,24.744655555555564,24.16778333333335,24.62425555555556,25.200583333333334,24.736827777777762,25.45621666666663,25.546661111111113,25.844383333333305,25.822294444444427
3.5 hr,22.684585714285706,23.03198095238096,21.66830952380953,19.25133809523811,20.382638095238114,20.626047619047615,21.956771428571432,22.050761904761938,22.47081904761905,22.31526190476193,22.066652380952398,22.496561904761883,22.646295238095224,23.64679523809524,23.174861904761894,23.346714285714267,23.97484761904764,23.956957142857146,23.194666666666663,23.766357142857157,24.755666666666677,24.15700476190477,24.63947619047619,25.19637619047618,24.71202857142856,25.467714285714266,25.544219047619045,25.841871428571405,25.825376190476177
30 day,23.314,23.340666666666664,23.090333333333326,22.779999999999994,22.453999999999997,22.006999999999998,21.902333333333335,21.913,21.872333333333334,21.850666666666665,21.778,21.685,21.646,21.685,21.761000000000003,21.807000000000002,21.851333333333333,21.895666666666667,21.897333333333332,21.941666666666666,22.04,22.132666666666662,22.232999999999997,22.394,22.75733333333333,23.209999999999994,23.377333333333333,23.547666666666665,23.72933333333333
30 min,22.751500000000004,22.908400000000004,21.505699999999997,19.210366666666676,20.627566666666663,20.551533333333335,21.825333333333326,22.07523333333334,22.51896666666666,22.36363333333333,22.038033333333335,22.498033333333332,22.693066666666674,23.691,23.30396666666666,23.34666666666667,23.90503333333333,24.084166666666672,23.21710000000001,23.855233333333334,24.67669999999999,24.236166666666673,24.5731,25.18523333333334,24.80483333333333,25.434199999999986,25.498899999999992,25.877166666666668,25.554900000000007
4 hr,22.691316666666655,23.050741666666674,21.66565833333334,19.24336250000001,20.347687500000006,20.618475000000004,21.96178749999999,22.046770833333362,22.485391666666665,22.30342916666668,22.07490833333335,22.490654166666648,22.63899166666666,23.642295833333332,23.180124999999986,23.353049999999985,23.981191666666685,23.93600833333333,23.192824999999985,23.73819583333335,24.760729166666682,24.133441666666666,24.660179166666655,25.191099999999974,24.68529583333332,25.470374999999972,25.528870833333322,25.83552083333332,25.81905833333332
4.5 hr,22.70633703703702,23.07672592592593,21.659970370370385,19.268407407407416,20.299748148148137,20.628948148148144,21.965533333333326,22.033548148148164,22.49502592592593,22.294551851851864,22.067388888888907,22.486385185185174,22.63512592592592,23.62276666666666,23.203385185185166,23.354888888888876,23.98242962962964,23.92535185185185,23.194466666666642,23.709385185185198,24.7795888888889,24.09730740740742,24.665907407407392,25.17449629629628,24.668081481481483,25.475381481481453,25.501907407407412,25.824699999999993,25.81947407407407
40 day,23.33875,23.30975,23.055249999999994,22.915249999999993,22.826499999999992,22.595499999999994,22.37025,22.296749999999996,22.159249999999997,22.110499999999995,22.068999999999996,21.9915,21.97475,22.02575,22.101,22.127,22.133,22.1605,22.13675,22.1235,22.156499999999998,22.168249999999997,22.221999999999998,22.2915,22.45425,22.639999999999993,22.711249999999996,22.811749999999996,22.913749999999993
45 min,22.773933333333332,22.921777777777784,21.474911111111112,19.214022222222233,20.593466666666664,20.564022222222224,21.85233333333333,22.068377777777776,22.50242222222223,22.346999999999994,22.049800000000012,22.512799999999988,22.683511111111116,23.70335555555556,23.282999999999998,23.33786666666667,23.92817777777778,24.099111111111107,23.215711111111123,23.858088888888894,24.668755555555546,24.223088888888903,24.571266666666673,25.192888888888906,24.80651111111111,25.43079999999999,25.52806666666666,25.86566666666667,25.589933333333335
5 day,22.186,22.264000000000003,22.113999999999997,20.906000000000002,20.364,20.704,20.846000000000004,21.174,21.98,22.202,22.252,22.39,22.412,22.652,22.976000000000003,23.157999999999998,23.418,23.528000000000002,23.596,23.720000000000002,23.983999999999998,24.052,24.138,24.53,24.808,25.205999999999996,25.248,25.446,25.47
