,2019-01-22,2019-02-11
1 hr,17.8936,18.241416666666673
1 min,18.0,18.25
1.5 hr,17.864611111111095,18.23300000000001
10 day,17.856999999999996,17.726999999999997
10 min,17.967,18.2435
100 day,15.725850000000003,16.12355000000001
125 day,15.590200000000003,15.886440000000007
15 min,17.96333333333333,18.242
150 day,15.668566666666663,15.812433333333338
175 day,15.62254285714285,15.837628571428572
2 day,18.08,18.09
2 hr,17.85754166666664,18.226525000000002
2.5 hr,17.856159999999992,18.234020000000026
20 day,17.098999999999997,17.827500000000004
20 min,17.9595,18.238000000000007
200 day,15.713424999999997,15.806925
25 min,17.947999999999993,18.23700000000001
3 hr,17.85557777777777,18.240738888888924
3.5 hr,17.861933333333322,18.246895238095266
30 day,16.869666666666664,17.548000000000002
30 min,17.93783333333333,18.23783333333334
4 hr,17.868841666666654,18.239654166666693
4.5 hr,17.884285185185163,18.23652592592594
40 day,16.796624999999995,17.237250000000003
45 min,17.915755555555556,18.23944444444445
5 day,17.964,17.881999999999998
5 hr,17.902326666666657,18.235613333333337
5 min,17.986,18.244
5.5 hr,17.918409090909087,18.23104848484848
50 day,16.774899999999995,17.0774
50 min,17.90702,18.243100000000005
55 min,17.899200000000004,18.24318181818182
6 hr,17.937769444444438,18.217025
6.5 hr,17.962182051282046,18.208941025641025
60 day,16.58241666666666,17.02775
70 day,16.272214285714288,16.952214285714287
80 day,15.9893125,16.639312500000006
90 day,15.791166666666669,16.341388888888897
Tomorrow,18.17,18.23
