,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2019-01-03,2019-01-04,2019-01-09,2019-01-22,2019-01-30,2019-01-31,2019-02-04,2019-02-12
1 hr,25.90456666666667,26.177633333333333,25.91943333333335,26.012849999999982,25.65296666666666,24.994800000000012,25.07016666666665,24.242183333333326,23.588666666666672,23.370216666666686,23.93950000000001,24.33188333333333,25.44310000000001,24.8333,25.040266666666653,26.414416666666664,26.628683333333345,26.572899999999997
1 min,25.9,26.06,25.98,26.015,25.63,25.11,25.15,24.26,23.49,23.72,23.88,24.35,25.32,24.9,25.15,26.63,26.54,26.47
1.5 hr,25.931600000000007,26.188622222222225,25.906455555555567,26.018255555555545,25.708155555555546,25.011744444444446,25.189333333333327,24.25223333333333,23.63847777777778,23.28547777777779,23.940711111111135,24.358199999999997,25.45697777777778,24.85475555555555,25.021055555555545,26.42317777777777,26.646377777777793,26.567433333333337
10 day,26.977999999999998,26.868000000000002,26.647000000000002,26.383000000000003,26.153000000000002,26.076999999999998,26.014999999999997,25.740999999999996,25.4,24.823000000000004,23.596,23.516,23.982,25.233999999999998,25.415,25.561,25.742,26.691000000000003
10 min,25.889499999999998,26.073499999999996,25.961000000000002,26.0015,25.583500000000004,25.1058,25.128999999999998,24.2185,23.541999999999998,23.648999999999997,23.924500000000002,24.334999999999997,25.331000000000003,24.842499999999994,25.067500000000003,26.566000000000003,26.527499999999996,26.479999999999997
100 day,27.458000000000006,27.472600000000003,27.486500000000007,27.505400000000005,27.5211,27.527800000000003,27.5367,27.536199999999997,27.525599999999994,27.504599999999996,27.451699999999995,27.4535,27.476499999999998,27.406899999999993,27.386599999999994,27.3988,27.4113,27.311700000000005
125 day,27.081200000000003,27.096400000000003,27.101840000000003,27.107280000000003,27.10688,27.098320000000005,27.092000000000002,27.076000000000004,27.055120000000002,27.012000000000004,26.917920000000002,26.906640000000003,26.884640000000005,26.90208,26.95752,26.977120000000006,27.007760000000005,27.14144000000001
15 min,25.878000000000004,26.096199999999996,25.94133333333333,25.977733333333333,25.577,25.09386666666667,25.09733333333333,24.195,23.55333333333333,23.61466666666666,23.93333333333333,24.333199999999994,25.347333333333335,24.85566666666666,25.055333333333337,26.52833333333333,26.540666666666667,26.492666666666658
150 day,26.14773333333334,26.18066666666667,26.20346666666667,26.224666666666668,26.245466666666665,26.2682,26.2862,26.302400000000002,26.3162,26.336866666666666,26.421200000000002,26.451733333333337,26.55006666666667,26.678933333333333,26.660133333333338,26.665466666666678,26.67100000000001,26.724333333333345
175 day,25.506057142857156,25.53685714285716,25.5669142857143,25.597142857142877,25.62548571428573,25.65080000000001,25.677085714285727,25.693657142857155,25.707657142857148,25.725314285714294,25.766514285714287,25.776742857142853,25.821657142857138,25.969314285714287,26.08320000000001,26.11297142857144,26.16937142857144,26.39640000000002
