,2018-12-11,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-25,2019-01-31,2019-02-01,2019-02-05,2019-02-07,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,31.712,30.807549999999996,30.512316666666656,28.96573333333334,27.908200000000008,26.61113333333334,25.26063333333333,24.610000000000007,25.63733333333333,26.37771666666668,28.158516666666667,28.667766666666672,28.734683333333336,28.277333333333313,28.62286666666667,27.734016666666648,28.076683333333325,28.512499999999992,29.275916666666664,29.79373333333331,29.3224,29.046333333333333,30.107550000000018,30.587199999999992,30.444116666666673,31.189916666666686,30.939483333333346,31.24246666666667,31.254333333333328,28.869733333333322,29.838583333333318,30.847349999999985
1 min,31.62,30.8,30.645,29.04,27.95,26.47,25.01,24.95,25.88,26.41,28.28,28.59,28.69,28.25,28.64,27.6,28.24,28.55,29.35,29.8,29.54,29.12,30.07,30.66,30.44,31.24,31.08,31.14,31.26,28.87,29.7,30.905
1.5 hr,31.724066666666655,30.76855555555555,30.517411111111105,28.98754444444444,28.0853,26.6284,25.360566666666667,24.50087777777778,25.660466666666668,26.445644444444458,28.130011111111116,28.645844444444457,28.738455555555568,28.282766666666657,28.61574444444446,27.77094444444443,27.99157777777778,28.49981111111109,29.30384444444445,29.791022222222214,29.287044444444447,28.96894444444446,30.135988888888903,30.60624444444444,30.489055555555556,31.150788888888904,30.91495555555558,31.2424888888889,31.275944444444445,28.848622222222215,29.8056222222222,30.828555555555553
10 day,32.449,32.157,31.926,31.209999999999997,30.813,30.261000000000003,29.570000000000004,26.163000000000004,25.756999999999998,25.494,25.525999999999996,25.738,26.104000000000003,26.532,26.907,27.549,27.877,28.144,28.436,28.588000000000005,28.679000000000002,28.722,29.052,29.838,29.948,30.159000000000002,30.477999999999998,30.708999999999996,30.859999999999996,30.776,30.678999999999995,30.725
10 min,31.616000000000003,30.832500000000003,30.5825,29.069499999999998,27.963,26.4495,25.0901,24.773,25.805,26.378000000000004,28.2435,28.639500000000005,28.666499999999996,28.201500000000003,28.630000000000003,27.602999999999998,28.233999999999998,28.523499999999995,29.3231,29.771500000000003,29.411,29.066999999999997,30.094500000000004,30.65,30.4543,31.200499999999998,31.001599999999996,31.178000000000004,31.2245,28.874000000000002,29.7765,30.909499999999998
100 day,33.5189,33.534200000000006,33.5377,33.5269,33.505,33.4635,33.39810000000001,32.95530000000001,32.85560000000001,32.753900000000016,32.68500000000002,32.62110000000001,32.55150000000001,32.48240000000001,32.41610000000001,32.27200000000002,32.198900000000016,32.13310000000001,32.07610000000002,32.01960000000002,31.957200000000014,31.88500000000002,31.771200000000018,31.58070000000001,31.53220000000001,31.448300000000014,31.354400000000012,31.25190000000001,31.193700000000007,31.11460000000001,31.045400000000004,30.989300000000004
125 day,33.55536000000001,33.50984000000001,33.47944000000001,33.400800000000004,33.35448,33.287040000000005,33.21400000000001,32.85584000000001,32.79720000000001,32.74016000000002,32.68648000000002,32.62960000000001,32.57960000000001,32.53760000000001,32.499680000000005,32.41496000000001,32.38672000000001,32.36552000000001,32.35064000000001,32.341760000000015,32.33336000000001,32.32384000000001,32.32488000000001,32.305600000000005,32.31024000000001,32.238400000000006,32.157280000000014,32.08472000000001,32.05488000000001,32.00064000000001,31.956880000000005,31.921920000000007
15 min,31.61533333333334,30.85466666666667,30.522,29.05833333333333,27.940666666666665,26.46613333333333,25.117399999999996,24.771599999999996,25.777666666666672,26.36666666666667,28.232466666666667,28.65033333333334,28.696,28.199333333333335,28.647333333333336,27.612066666666667,28.2282,28.516333333333332,29.3224,29.78333333333334,29.419,29.074999999999996,30.097666666666672,30.625666666666664,30.452599999999997,31.205266666666663,30.9834,31.190333333333335,31.22500000000001,28.871199999999998,29.804666666666662,30.920466666666663
150 day,33.175399999999996,33.176066666666664,33.1712,33.138999999999996,33.105533333333334,33.064400000000006,33.01553333333334,32.796800000000005,32.7676,32.7442,32.735733333333336,32.732533333333336,32.7302,32.72253333333334,32.706,32.650533333333335,32.62473333333334,32.5992,32.575733333333346,32.54720000000001,32.51320000000001,32.47760000000002,32.42013333333334,32.31026666666668,32.289066666666685,32.250466666666675,32.225000000000016,32.186000000000014,32.15633333333334,32.115866666666676,32.09046666666668,32.07393333333334
175 day,33.67005714285714,33.582971428571426,33.538057142857134,33.431371428571424,33.36919999999999,33.29948571428571,33.22228571428571,32.82605714285714,32.760914285714286,32.70171428571429,32.652685714285724,32.60577142857143,32.57114285714286,32.54091428571429,32.51354285714286,32.45262857142857,32.42325714285714,32.39268571428572,32.39,32.38245714285714,32.369485714285716,32.35651428571429,32.33582857142857,32.28211428571429,32.27337142857144,32.27308571428572,32.28137142857144,32.29971428571429,32.31217142857143,32.31120000000001,32.31285714285715,32.311600000000006
2 day,31.8,31.5,30.725,29.495,28.505000000000003,27.22,25.75,24.965,25.424999999999997,26.15,27.35,28.44,28.64,28.47,28.450000000000003,27.88,27.93,28.4,28.945,29.57,29.655,29.310000000000002,30.1,30.185000000000002,30.555,30.71,31.21,31.345,31.205,30.060000000000002,29.28,30.299999999999997
2 hr,31.65748333333332,30.75699999999998,30.548883333333333,29.05049999999999,28.296850000000013,26.570725000000007,25.38939166666667,24.435008333333325,25.66174166666667,26.499333333333347,28.11358333333334,28.637216666666678,28.735025000000004,28.28695833333332,28.594491666666688,27.825691666666664,27.984683333333326,28.469708333333312,29.30934166666665,29.785491666666687,29.281425000000016,28.935858333333353,30.147433333333346,30.62186666666667,30.532608333333325,31.098616666666675,30.888833333333363,31.272408333333342,31.29831666666666,28.80409166666667,29.793174999999984,30.809341666666672
2.5 hr,31.634066666666666,30.781599999999997,30.580993333333325,29.091826666666655,28.496893333333343,26.58091333333335,25.435033333333333,24.41312,25.692753333333343,26.538120000000006,28.122513333333337,28.650520000000004,28.741406666666663,28.306213333333325,28.54414666666669,27.875999999999998,27.984986666666654,28.45036666666665,29.32063999999999,29.76088666666668,29.26190000000001,28.91078000000002,30.12780000000002,30.625986666666666,30.559619999999985,31.05092666666668,30.892093333333353,31.30961333333334,31.31172666666666,28.76232666666668,29.790680000000012,30.802066666666683
20 day,32.087,32.057,31.984500000000004,31.635499999999997,31.458499999999994,31.280999999999995,30.9685,29.0445,28.700499999999998,28.351999999999997,28.1695,27.999499999999994,27.837,27.651,27.502,27.139999999999997,27.02,26.950499999999995,26.964999999999996,27.057000000000006,27.208499999999997,27.413000000000004,27.9795,28.990999999999996,29.191999999999997,29.419,29.692999999999994,29.988,30.170499999999997,30.201,30.258499999999998,30.336499999999994
20 min,31.624000000000006,30.842000000000002,30.502499999999998,29.033499999999997,27.9,26.50555,25.11035,24.7762,25.740750000000002,26.3555,28.2146,28.63950000000001,28.72350000000001,28.203249999999997,28.671750000000003,27.61885,28.2147,28.51495,29.316099999999995,29.79,29.428250000000002,29.085249999999995,30.090749999999996,30.614750000000004,30.449450000000002,31.210199999999997,30.978549999999995,31.193550000000005,31.230000000000008,28.875400000000003,29.822999999999997,30.9116
200 day,34.43255,34.3209,34.27055,34.15335,34.08705,34.01235,33.930550000000004,33.52805,33.453649999999996,33.3875,33.334900000000005,33.282599999999995,33.23715,33.1952,33.15295,33.0583,33.010099999999994,32.9668,32.921,32.8761,32.82635,32.77935,32.69205,32.51905,32.4778,32.39675,32.33630000000001,32.28155000000001,32.2538,32.2244,32.20515,32.1925
25 min,31.64520000000001,30.815400000000004,30.499000000000002,29.009999999999994,27.8944,26.54484,25.099359999999997,24.761960000000002,25.7038,26.359,28.203879999999998,28.64224,28.7604,28.207800000000002,28.672159999999998,27.63548000000001,28.19796,28.516559999999995,29.318079999999995,29.793279999999996,29.4196,29.09,30.081639999999993,30.609400000000008,30.4452,31.212160000000004,30.96563999999999,31.19844000000001,31.2406,28.878800000000002,29.835719999999995,30.901680000000002
