,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-08,2019-02-11,2019-02-12,2019-02-14
1 hr,84.88989999999997,84.66165,85.07005000000001,85.6540333333333,85.00746666666666,85.80455,86.16086666666668,83.98138333333333,83.80528333333334,88.01991666666665,89.91549999999998,90.98599999999998,91.04213333333333,92.72113333333333,97.69068333333333,98.5302333333333,97.52821666666667,96.33579999999999,97.20866666666669,93.97281666666669,94.33036666666665,94.66761666666667,95.38098333333332,94.6175666666667,94.5769,96.97830000000002,95.47248333333336,95.88154999999999,96.09366666666665,96.42401666666666,96.62345000000003,98.34275,98.35646666666666,97.66416666666663,97.6658166666666,98.18289999999998,98.84958333333333
1 min,84.81,84.58,85.03,85.86,85.04,85.83,86.24,83.77,83.49,88.0,90.32,91.2,90.75,92.89,97.96,98.6,97.15,96.4,97.28,93.86,94.56,94.66,95.75,94.44,94.54,96.92,95.62,96.19,96.05,96.82,96.68,98.54,98.11,97.65,97.61,98.05,98.54
1.5 hr,84.75068888888887,84.65491111111115,85.02272222222221,85.59489999999998,85.24824444444445,85.83022222222226,86.33797777777778,83.99647777777781,83.84786666666666,87.88226666666668,89.86911111111108,91.05847777777777,91.17525555555555,92.75653333333335,97.57003333333333,98.5923222222222,97.70367777777776,96.2612111111111,97.19870000000002,94.05171111111117,94.2386,94.68838888888887,95.35646666666665,94.63671111111117,94.5977222222222,96.98398888888889,95.39796666666666,95.85094444444441,96.11855555555557,96.35108888888887,96.67997777777781,98.24866666666672,98.34955555555557,97.72158888888885,97.66052222222213,98.23865555555552,98.89551111111106
10 day,85.15299999999999,85.429,85.602,85.345,85.169,85.088,85.086,84.838,84.845,85.119,86.108,86.727,87.21700000000001,87.88300000000001,89.302,90.816,92.198,93.037,94.03200000000001,95.811,96.192,96.369,96.14599999999999,95.72999999999999,95.469,95.52000000000001,95.35400000000001,95.251,95.26,95.55700000000002,95.76899999999999,96.15700000000001,96.394,97.17500000000001,97.37300000000002,97.561,97.98299999999999
10 min,84.825,84.57300000000001,85.06799999999998,85.72149999999999,84.957,86.03200000000001,86.39249999999998,83.6095,83.58150000000002,88.11699999999999,89.97349999999999,91.05749999999999,90.8705,92.875,97.78650000000002,98.65950000000001,97.1009,96.2322,97.25300000000001,93.887,94.50800000000001,94.5882,95.4747,94.46290000000002,94.5285,96.92450000000001,95.5009,96.087,95.996,96.72049999999999,96.68159999999997,98.523,98.0205,97.6184,97.6195,98.12499999999999,98.636
100 day,86.24430000000001,86.2257,86.19629999999998,86.17209999999999,86.12819999999998,86.09459999999999,86.07699999999998,86.01449999999998,85.93629999999999,85.84450000000001,85.75880000000001,85.75460000000001,85.7352,85.7398,85.78970000000001,85.83040000000001,85.8598,85.8734,85.8901,85.92759999999998,85.9316,85.9436,85.97020000000002,85.98080000000002,85.98180000000004,86.15320000000003,86.30430000000003,86.46650000000001,86.60050000000001,86.74760000000002,86.89210000000001,87.0385,87.18150000000001,87.5793,87.70030000000003,87.82900000000004,88.09490000000001
125 day,86.18239999999997,86.15231999999997,86.12855999999995,86.10823999999998,86.09015999999995,86.08455999999997,86.08463999999996,86.05887999999997,86.03415999999999,86.05568,86.1464,86.2076,86.26176000000001,86.32784000000001,86.43416000000002,86.53632000000002,86.63208000000002,86.71744,86.80168,87.02239999999999,87.07904,87.1448,87.20672000000002,87.256,87.29728000000001,87.35888000000001,87.41992000000002,87.46936,87.50743999999999,87.56296,87.6112,87.67727999999998,87.73575999999998,87.86799999999995,87.90935999999998,87.95023999999998,88.01687999999996
15 min,84.84333333333333,84.61006666666667,85.08206666666666,85.66213333333332,84.88666666666667,86.04933333333332,86.31466666666665,83.69366666666666,83.6478,88.096,89.97399999999998,91.04366666666667,90.91286666666666,92.83333333333334,97.77533333333332,98.67866666666667,97.14926666666666,96.24813333333334,97.264,93.87033333333335,94.5042,94.64113333333334,95.47713333333333,94.5312666666667,94.50233333333334,96.963,95.54526666666668,96.01866666666666,96.01926666666665,96.66466666666665,96.67693333333332,98.52166666666666,98.03599999999999,97.60926666666664,97.62166666666667,98.12166666666664,98.70413333333335
150 day,86.7986,86.7388,86.6883333333333,86.6348,86.56913333333331,86.50626666666665,86.45119999999997,86.38106666666664,86.31679999999997,86.20986666666666,86.08899999999998,86.06433333333334,86.02706666666667,86.09573333333333,86.20693333333332,86.32286666666667,86.41766666666666,86.51646666666664,86.6186,86.84439999999998,86.88833333333332,86.93046666666665,86.98186666666666,87.02213333333331,87.07073333333332,87.1398,87.20246666666667,87.26386666666666,87.32713333333332,87.405,87.49273333333332,87.58293333333332,87.67026666666665,87.9513333333333,88.03779999999999,88.12719999999999,88.3009333333333
175 day,88.27811428571427,88.20394285714283,88.12422857142855,88.05074285714284,87.97228571428569,87.89679999999998,87.82811428571426,87.74622857142855,87.66811428571428,87.52497142857142,87.34440000000001,87.30834285714286,87.27542857142858,87.25245714285714,87.25834285714286,87.26542857142857,87.27274285714286,87.27548571428571,87.2816,87.31057142857142,87.31565714285715,87.322,87.33977142857144,87.34291428571429,87.3412,87.35051428571428,87.35697142857143,87.3678857142857,87.3846857142857,87.4018857142857,87.41959999999997,87.4473714285714,87.46708571428569,87.50879999999997,87.5945714285714,87.6905714285714,87.87874285714283
