,2018-12-17,2018-12-19,2018-12-31,2019-01-04,2019-01-18,2019-02-01,2019-02-04,2019-02-07
1 hr,66.87174999999999,66.30140000000003,63.98669999999997,65.6015,68.71704999999999,68.04876666666668,69.00745000000002,66.5947
1 min,66.72,66.21,64.11,65.4,68.91,68.32,69.1,66.7
1.5 hr,66.93299999999999,66.43887777777776,63.976377777777756,65.6325888888889,68.69656666666663,68.07405555555556,69.03412222222222,66.37735555555554
10 day,71.24699999999999,69.763,64.58000000000001,63.867999999999995,68.603,69.14399999999999,69.16400000000002,68.611
10 min,66.66669999999999,66.304,63.9049,65.4075,68.891,68.1555,68.9625,66.86449999999999
100 day,72.07268799999999,72.00941599999999,71.61140300000002,71.41396700000003,71.15487500000003,70.77516500000002,70.70676600000002,70.49142700000002
125 day,71.60787120000002,71.57539520000002,71.30856080000002,71.20424880000002,71.01993840000003,70.97688160000003,70.97106240000002,70.93008640000002
15 min,66.68113333333334,66.26133333333334,63.94259999999999,65.43100000000001,68.83966666666667,68.167,68.94866666666667,66.86066666666666
150 day,70.57872133333335,70.609072,70.55644466666668,70.57350066666669,70.75424133333337,70.79864333333336,70.8028386666667,70.80955866666667
175 day,69.22418342857141,69.30632114285713,69.46552114285716,69.52610400000002,69.92008571428573,70.16776742857145,70.19098457142859,70.26328000000001
2 day,68.08,66.53999999999999,63.77,64.88,68.25,68.33,68.685,67.815
2 hr,66.99166666666666,66.54834166666669,63.999008333333336,65.632975,68.6788333333333,68.07591666666669,69.01773333333333,66.15430833333332
2.5 hr,67.05787333333333,66.7379866666667,64.00602666666668,65.64511333333331,68.66410666666665,68.09549333333332,68.98580666666663,66.02158666666666
20 day,71.66227999999998,71.12731499999998,68.2775,66.8155,66.23549999999999,68.69850000000001,68.88350000000001,68.748
20 min,66.7311,66.2105,63.96944999999998,65.44225000000002,68.81325000000001,68.14525,68.93730000000001,66.84524999999998
200 day,67.92017999999997,68.00317599999997,68.17548549999998,68.25199099999998,68.7463645,69.1877405,69.23465350000001,69.35870200000001
25 min,66.77988,66.21860000000001,63.97643999999998,65.47608,68.8012,68.11712,68.92864000000003,66.79787999999998
3 hr,67.11489444444445,66.86616666666669,64.0061388888889,65.70876666666662,68.65807777777779,68.11925555555554,68.96268333333332,65.91584444444447
3.5 hr,67.14082857142859,66.97235714285716,63.96569523809523,65.72828571428568,68.67436666666669,68.12651428571425,68.94386666666665,65.83305714285717
30 day,71.97657,71.63253333333334,69.44929333333334,68.70754333333333,67.41133333333332,67.11566666666668,67.21166666666667,67.7
30 min,66.8049,66.25056666666667,63.985399999999984,65.50223333333332,68.7805,68.09693333333333,68.93620000000003,66.74956666666665
4 hr,67.16276250000001,67.05094583333337,63.929341666666666,65.70524166666664,68.69563333333335,68.15130833333329,68.92667916666666,65.78978333333335
4.5 hr,67.15965555555557,67.07498148148149,63.88400370370372,65.70267407407407,68.72155555555555,68.148537037037,68.88515925925928,65.76142962962962
40 day,71.96628499999997,71.68387499999999,70.24373250000001,69.69140000000002,68.68140749999999,67.95025000000001,67.8495,67.56075000000001
45 min,66.84584444444445,66.30057777777782,63.98631111111107,65.55142222222221,68.73402222222221,68.06262222222223,68.98251111111114,66.67715555555554
5 day,69.518,68.00800000000001,63.434000000000005,64.04400000000001,67.61399999999999,68.452,68.504,68.556
5 hr,67.15450666666669,67.08549333333335,63.85494000000001,65.70053000000001,68.72907666666666,68.12739333333326,68.86177333333336,65.71874
5 min,66.65700000000001,66.34100000000001,63.862,65.39000000000001,68.943,68.225,69.009,66.829
5.5 hr,67.13533636363641,67.0900363636364,63.83225454545456,65.67338787878788,68.69205454545455,68.15056666666662,68.85418181818186,65.76081818181817
50 day,72.03454799999997,71.85280599999997,70.61928999999999,70.1207,69.47372,68.814214,68.77792600000001,68.61940000000001
50 min,66.8596,66.30732000000003,63.983079999999966,65.5714,68.72071999999999,68.05742000000001,68.98452000000003,66.65054
55 min,66.86827272727272,66.30010909090912,63.98294545454542,65.58690909090909,68.71769090909089,68.05347272727273,68.9971272727273,66.62112727272726
6 hr,67.12742500000004,67.09935833333334,63.82264166666669,65.64193055555556,68.67196944444446,68.1651083333333,68.8188527777778,65.81476666666666
6.5 hr,67.20650000000003,67.11991025641028,63.7851307692308,65.59698717948721,68.65418205128206,68.17967179487177,68.75897948717952,65.82262820512818
60 day,72.1112383333333,71.90571666666663,70.86567833333334,70.522005,69.86774999999999,69.46444666666667,69.42210000000001,69.17299833333335
70 day,72.47621999999997,72.20466571428568,71.13606857142857,70.75747142857145,70.24786142857143,69.81047857142856,69.76721428571429,69.62236285714286
80 day,72.49597624999998,72.38471874999998,71.59772375000003,71.16258250000001,70.48816250000002,70.1384175,70.11237875,69.98824750000001
90 day,72.34911999999998,72.25240777777776,71.66459444444446,71.4384166666667,70.87818444444447,70.37844222222225,70.34103333333336,70.17242333333336
Tomorrow,66.86,64.54,62.92,68.25,69.07,69.1,69.78,67.51
