,2019-01-02
1 hr,19.149116666666664
1 min,19.33
1.5 hr,19.168877777777784
10 day,19.565999999999995
10 min,19.1835
100 day,18.190400000000007
125 day,17.38872000000001
15 min,19.152666666666665
150 day,17.479400000000012
175 day,17.733885714285716
2 day,19.994999999999997
2 hr,19.188541666666676
2.5 hr,19.223446666666685
20 day,19.6175
20 min,19.139149999999994
200 day,17.995150000000002
25 min,19.142519999999994
3 hr,19.27261111111113
3.5 hr,19.324166666666677
30 day,19.381333333333334
30 min,19.13976666666666
4 hr,19.341483333333336
4.5 hr,19.386311111111105
40 day,18.84725
45 min,19.164111111111108
5 day,19.838
5 hr,19.452079999999995
5 min,19.281999999999996
5.5 hr,19.496054545454548
50 day,18.071600000000004
50 min,19.15868
55 min,19.15267272727273
6 hr,19.55363611111111
6.5 hr,19.613882051282047
60 day,17.97166666666667
70 day,18.42014285714286
80 day,18.505500000000005
90 day,18.48122222222223
Tomorrow,18.57
