,2018-12-12,2018-12-17,2018-12-18,2018-12-20,2018-12-21,2019-01-02,2019-01-08,2019-01-09,2019-01-10,2019-01-16,2019-01-17,2019-01-18,2019-01-24,2019-01-25,2019-01-31,2019-02-04,2019-02-07,2019-02-14
1 hr,42.6391,41.741049999999994,41.41935,39.74904999999998,37.84841666666669,40.47205000000002,41.763966666666654,42.83791666666668,43.95173333333333,42.958800000000004,44.63166666666667,46.88651666666669,46.36378333333333,48.44193333333333,49.32318333333335,50.99678333333334,50.36058333333335,53.31960000000001
1 min,42.4,41.75,41.79,39.94,38.02,40.82,42.08,42.65,44.02,43.05,44.9,47.0,46.71,48.59,49.43,51.04,50.7,53.389
1.5 hr,42.590122222222234,41.864033333333346,41.44480000000001,39.69378888888888,38.00234444444445,40.495377777777804,41.72774444444444,42.840966666666674,43.89450000000001,42.991800000000005,44.708866666666665,46.80344444444446,46.26595555555555,48.37068888888889,49.32120000000005,50.98255555555552,50.388433333333325,53.254566666666655
10 day,41.552,41.79599999999999,41.730999999999995,41.509,41.34199999999999,40.04,40.302,40.821,41.259,42.49499999999999,43.102,43.712,44.864,45.318000000000005,47.437,48.346999999999994,49.997,51.85
10 min,42.459500000000006,41.545,41.540000000000006,39.7245,37.907999999999994,40.6715,42.01599999999999,42.6175,44.00150000000001,43.0485,44.632400000000004,46.9105,46.6167,48.495099999999994,49.4525,51.0058,50.62600000000001,53.40840000000001
100 day,49.81974999999999,49.45755000000001,49.32115000000001,49.066050000000004,48.906950000000016,47.77304999999999,47.08164999999998,46.94685,46.81024999999999,46.11534999999998,45.92534999999999,45.73995,45.122550000000004,44.95825000000001,44.43525000000002,44.33655000000001,44.21605,44.216849999999994
125 day,50.972519999999996,50.46108000000001,50.29636000000001,50.0234,49.88732000000001,49.25515999999999,48.82483999999998,48.75035999999999,48.65963999999998,48.31747999999998,48.25779999999999,48.21612,48.00772,47.952200000000005,47.790280000000024,47.67092000000001,47.456680000000006,47.250679999999996
15 min,42.51066666666667,41.48566666666667,41.53240000000001,39.668400000000005,37.84159999999999,40.60233333333335,41.984333333333325,42.64233333333334,43.988333333333344,43.03733333333333,44.64300000000001,46.90593333333334,46.56946666666667,48.491400000000006,49.411666666666676,50.99060000000001,50.58273333333334,53.419200000000004
150 day,50.904299999999985,50.872433333333326,50.848499999999994,50.78776666666666,50.7425,50.51896666666666,50.251833333333316,50.172366666666655,50.08349999999999,49.68003333333332,49.55423333333332,49.44403333333333,49.085633333333334,48.99303333333334,48.788566666666675,48.76316666666667,48.7445,48.70296666666666
175 day,50.40625714285713,50.30397142857143,50.26111428571427,50.15602857142855,50.08145714285712,49.67574285714282,49.46522857142855,49.488314285714274,49.51448571428569,49.577742857142844,49.58734285714284,49.603914285714275,49.63471428571427,49.6524857142857,49.75562857142857,49.82722857142858,49.900714285714294,49.92860000000002
2 day,42.03,42.32,41.81,40.51,38.95,40.45,41.885,42.375,43.35,44.025000000000006,43.980000000000004,45.95,46.055,47.64,49.41,50.5,51.004999999999995,53.489999999999995
2 hr,42.62761666666668,41.98836666666668,41.55285833333333,39.64906666666664,38.12592500000001,40.528525000000016,41.697691666666664,42.843983333333334,43.84825000000001,42.987308333333324,44.689916666666655,46.77371666666669,46.184099999999994,48.346491666666665,49.3671916666667,50.959766666666646,50.40209166666666,53.18494166666667
2.5 hr,42.707740000000015,42.09793333333334,41.63093333333331,39.66769999999996,38.22042666666668,40.54994000000002,41.68746000000001,42.84368,43.77248666666667,43.010793333333325,44.57071333333333,46.81112000000002,46.06628,48.287213333333334,49.38648000000002,50.938786666666644,50.42436,53.15590666666667
20 day,40.8205,41.069,41.2125,41.4765,41.338,40.91799999999999,40.82199999999999,40.921,41.03949999999999,41.2675,41.419,41.7135,42.8425,43.28850000000001,44.965999999999994,46.029500000000006,47.430499999999995,49.6435
20 min,42.561749999999996,41.478300000000004,41.5296,39.69930000000001,37.774699999999996,40.531250000000014,41.94425,42.67620000000001,43.98275000000002,43.02575,44.665600000000005,46.92095000000001,46.52245,48.47505,49.403000000000006,50.978300000000004,50.554050000000004,53.43115
200 day,49.381524999999975,49.40602499999997,49.42542499999997,49.44487499999997,49.42987499999997,49.41337499999995,49.36957499999995,49.36682499999996,49.36202499999996,49.33172499999996,49.32922499999996,49.330674999999964,49.292024999999974,49.28802499999997,49.25322499999997,49.24817499999998,49.240174999999994,49.36052500000001
25 min,42.59723999999999,41.46992,41.51688,39.75744,37.70915999999999,40.50484000000001,41.913000000000004,42.71340000000001,43.97700000000002,43.00019999999999,44.659880000000015,46.93652000000001,46.49188000000001,48.462040000000016,49.3982,50.96324,50.50831999999998,53.42944000000001
3 hr,42.75008888888891,42.18421111111111,41.682638888888874,39.68140555555552,38.24330000000002,40.54848888888891,41.68380555555556,42.841872222222214,43.76611666666667,43.05402777777776,44.48552222222224,46.837805555555555,45.96470555555555,48.221538888888894,49.471633333333344,50.91178888888886,50.40524444444445,53.12717777777781
3.5 hr,42.75548095238098,42.26626190476189,41.708299999999994,39.657114285714265,38.26368095238097,40.48900952380954,41.69020952380952,42.83308571428573,43.828928571428555,43.063028571428546,44.38580952380952,46.869095238095234,45.887228571428565,48.218461904761924,49.54057619047617,50.86841428571428,50.38304285714283,53.10309047619048
30 day,41.473,41.54833333333333,41.51666666666667,41.38533333333333,41.18899999999999,40.72599999999999,40.99266666666666,41.05433333333333,41.15166666666666,41.443666666666665,41.52300000000001,41.70733333333335,42.235333333333344,42.46566666666668,43.324,43.924666666666674,45.227333333333334,47.26066666666667
30 min,42.616699999999994,41.483933333333326,41.49523333333333,39.797700000000006,37.72063333333333,40.48970000000001,41.88516666666667,42.75050000000001,43.97510000000001,42.976166666666664,44.655133333333346,46.93976666666668,46.46773333333333,48.459000000000024,49.39170000000001,50.96426666666667,50.46303333333332,53.410199999999996
4 hr,42.77765000000003,42.37114999999998,41.74102916666666,39.59661666666661,38.28396666666668,40.42977916666667,41.67775000000002,42.81786250000001,43.84131666666665,43.04154166666667,44.29714166666666,46.83176249999998,45.83765416666665,48.195075000000024,49.59506249999997,50.85479166666664,50.34705416666666,53.07346250000001
4.5 hr,42.80772962962968,42.457862962962956,41.74463703703703,39.62532962962959,38.4894740740741,40.40713333333334,41.64895555555556,42.8057962962963,43.862814814814804,43.01153703703702,44.21989999999998,46.79103703703702,45.815025925925895,48.158533333333374,49.63747407407401,50.84981851851849,50.32368148148148,53.04531481481484
40 day,41.812125,41.469875,41.4665,41.39725,41.367749999999994,41.171249999999986,40.967249999999986,40.913499999999985,40.90349999999998,41.16824999999999,41.31575,41.55550000000001,42.00675000000001,42.19325000000001,42.942000000000014,43.36725000000001,44.17575000000001,45.4555
45 min,42.627377777777774,41.6401111111111,41.42826666666667,39.82222222222222,37.80471111111112,40.47566666666668,41.822599999999994,42.81322222222223,43.962555555555575,42.94215555555556,44.63366666666668,46.92464444444445,46.42079999999999,48.457333333333345,49.350444444444456,50.978755555555566,50.37842222222224,53.37502222222223
5 day,41.236000000000004,42.37,42.412,41.50599999999999,40.525999999999996,40.408,40.864,41.234,42.274,43.756,43.93,44.634,45.972,46.706,48.902,49.624,51.092,52.60799999999999
5 hr,42.848906666666714,42.524783333333325,41.749983333333326,39.73861999999996,38.67091333333337,40.38030333333333,41.63214333333333,42.78481999999999,43.89279666666667,43.00740999999998,44.15956666666664,46.74677333333332,45.80120333333329,48.12867666666671,49.66753999999993,50.809693333333286,50.356563333333334,53.03121666666668
5 min,42.306999999999995,41.656,41.70100000000001,39.912,38.018,40.757999999999996,42.126,42.61299999999999,44.013,43.071,44.733,46.92,46.65240000000001,48.507,49.507999999999996,51.0056,50.690000000000005,53.375800000000005
5.5 hr,42.865766666666694,42.54137575757575,41.776606060606056,39.896248484848435,38.83491818181821,40.3127090909091,41.5999121212121,42.7527121212121,43.8669787878788,43.00410303030301,44.09846363636361,46.72436666666667,45.79852121212117,48.09858484848488,49.68885151515145,50.7559545454545,50.41330303030303,53.02173636363637
50 day,42.2225,41.9921,41.92410000000001,41.849700000000006,41.7975,41.18389999999999,41.15459999999999,41.20159999999999,41.25859999999999,41.43599999999999,41.477599999999995,41.5694,41.703599999999994,41.7864,42.422000000000004,42.91380000000001,43.60480000000001,44.7236
50 min,42.636359999999996,41.682619999999986,41.42394,39.797599999999996,37.81394000000001,40.46908000000002,41.79995999999999,42.825880000000005,43.954580000000014,42.94942000000001,44.63530000000001,46.90938000000001,46.40559999999999,48.452980000000004,49.337320000000005,50.98328000000002,50.367760000000025,53.363820000000004
55 min,42.642199999999995,41.71396363636363,41.41849090909091,39.77103636363635,37.83187272727274,40.46941818181821,41.77550909090909,42.8327090909091,43.95425454545455,42.95560000000001,44.63999999999999,46.89545454545456,46.38472727272727,48.44789090909091,49.328927272727285,50.984800000000014,50.36572727272729,53.345290909090906
6 hr,42.85424444444448,42.53247777777778,41.76945555555554,40.03128333333329,38.958375000000025,40.24731666666668,41.57452777777776,42.730711111111084,43.8198888888889,43.06485555555553,44.042394444444426,46.655902777777754,45.78542777777774,48.045691666666706,49.70933333333328,50.70371111111109,50.474199999999996,53.046405555555594
6.5 hr,42.812415384615406,42.538617948717956,41.769102564102546,40.12691794871791,39.033397435897456,40.1869282051282,41.598107692307686,42.69404615384614,43.74247435897436,43.13867435897432,43.954394871794854,46.57170512820508,45.783358974358954,47.999707692307744,49.71816923076919,50.65113076923077,50.50987692307691,53.05469743589748
60 day,43.877750000000006,43.39108333333334,43.213250000000016,42.809750000000015,42.567250000000016,41.66674999999998,41.54824999999998,41.58858333333332,41.57841666666665,41.40241666666666,41.450666666666656,41.52633333333333,41.812,41.93516666666667,42.436166666666686,42.69900000000002,43.08583333333335,43.99333333333334
70 day,45.74021428571428,44.911500000000004,44.69621428571429,44.31235714285715,44.0382142857143,42.91235714285713,42.24364285714285,42.098642857142856,41.97664285714285,41.78507142857141,41.7797857142857,41.83364285714285,42.05649999999999,42.11264285714285,42.26450000000001,42.500714285714295,42.981285714285725,43.78100000000001
80 day,48.049437499999996,47.327312500000005,47.05193750000001,46.42631250000001,46.0724375,44.302562499999986,43.57118749999999,43.412437499999996,43.290437499999996,42.860187499999995,42.764687499999994,42.7043125,42.4443125,42.3943125,42.4915625,42.6478125,43.049062500000005,43.46268750000001
90 day,49.22616666666667,48.63227777777779,48.425833333333344,48.05561111111111,47.834944444444446,46.5176111111111,45.431277777777765,45.15127777777777,44.91827777777777,44.101722222222214,43.967944444444434,43.89094444444444,43.57372222222222,43.51572222222223,43.36872222222223,43.331277777777785,43.28350000000001,43.53138888888889
Tomorrow,43.15,41.87,41.11,37.99,37.48,38.83,42.67,44.03,43.48,44.9,47.0,45.85,48.57,48.82,49.96,52.45,51.77,53.63
