,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-15,2019-01-16,2019-01-18,2019-01-23,2019-01-25,2019-01-31,2019-02-04,2019-02-05,2019-02-11,2019-02-12
1 hr,110.05986666666664,115.2933333333333,114.75081666666667,112.01751666666662,116.41971666666663,147.33803333333336,146.1604,149.73125,146.15776666666667,145.08631666666668,140.88486666666665,143.97999999999996,148.81403333333327,151.4363833333333,152.36090000000002
1 min,110.21,116.47,115.11,112.24,116.18,147.08,147.06,149.45,146.54,145.0,141.11,144.6,148.73,151.24,152.72
1.5 hr,109.88798888888891,114.88466666666666,114.82696666666666,112.01302222222223,116.38916666666667,147.30392222222224,146.1000555555556,149.69568888888895,146.2809888888889,145.0628777777778,140.69549999999998,143.94727777777774,148.9471111111111,151.364911111111,152.7503555555556
10 day,118.79400000000001,115.28099999999999,114.21099999999998,113.976,114.252,131.669,134.856,141.90800000000002,145.497,146.34099999999998,145.152,143.877,143.669,144.55800000000002,145.82600000000002
10 min,109.56599999999999,116.23349999999998,114.99299999999998,112.3318,116.42960000000001,147.2065,146.5924,149.55,146.43559999999997,144.752,141.054,144.193,148.6732,151.37800000000001,152.383
100 day,131.05829999999997,131.23329999999999,131.00249999999997,130.89319999999995,130.82209999999995,131.52579999999998,131.61539999999994,131.82029999999995,131.97169999999994,131.99639999999997,131.9046,131.88099999999997,131.8997,132.0365,132.17069999999998
125 day,124.71511999999998,125.11255999999999,125.79559999999996,125.91351999999996,126.05167999999996,128.16079999999997,128.50903999999994,129.26303999999996,129.99327999999994,130.66047999999998,132.15439999999995,132.46039999999996,132.67559999999995,133.39743999999996,133.62839999999997
15 min,109.60366666666665,116.08266666666665,114.79199999999999,112.2182,116.45406666666666,147.3688,146.6616,149.52533333333335,146.34426666666664,144.81533333333334,141.0703333333333,144.12,148.70946666666669,151.35060000000001,152.2201333333333
150 day,119.49086666666668,119.97693333333332,120.7874,120.95253333333334,121.14086666666665,123.28240000000001,123.60419999999998,124.28200000000002,124.92700000000002,125.51120000000003,126.68459999999999,127.34899999999999,127.70739999999998,128.99286666666663,129.34186666666662
175 day,113.68662857142859,114.33742857142859,115.36137142857146,115.5775428571429,115.82045714285718,118.31257142857146,118.66377142857142,119.4010285714286,120.1210285714286,120.77182857142863,122.02348571428574,122.66908571428574,123.01914285714287,124.36342857142854,124.70931428571426
2 day,111.77000000000001,112.22,117.49000000000001,113.72,114.25,144.895,147.05,149.51,148.68,144.54500000000002,142.32,143.135,146.615,148.38,151.98
2 hr,109.67518333333336,114.56313333333331,114.79481666666668,111.89890833333334,116.38652500000002,147.25455000000002,146.05779166666667,149.79255833333337,146.4178083333334,145.05232500000002,140.69181666666663,143.93373333333332,148.88908333333336,151.45774999999992,153.02785000000006
2.5 hr,109.70790000000004,114.27907333333332,114.83986666666671,111.80117333333338,116.5445866666667,147.37498,146.1170733333334,149.9336933333334,146.4903266666668,144.99858000000003,140.78343999999996,143.91046000000006,148.65094000000005,151.51427999999987,153.19502000000008
20 day,123.10150000000002,121.14549999999997,119.2935,118.07699999999997,117.49349999999997,122.86600000000001,124.5335,128.07999999999998,132.029,135.2615,140.00399999999996,142.89249999999998,143.832,145.4625,145.96200000000005
