,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,29.13658333333333,29.097216666666657,28.96790000000001,28.917700000000007,28.504466666666655,28.55635,28.340716666666665,28.021916666666673,26.562383333333333,27.631166666666665,28.012083333333337,28.81103333333332,28.365366666666667,28.921899999999997,29.484533333333328,30.020999999999994,30.298383333333327,30.54943333333333,30.3904,30.217816666666668,30.31601666666664,30.35479999999999,30.863299999999995,32.92723333333333,32.54923333333335,32.61296666666666,33.668033333333334,34.007783333333364,33.63683333333333,34.009083333333336,33.6178,34.33231666666667,35.10739999999999,35.34876666666664,35.61700000000003,35.18506666666667,35.24001666666665,35.670716666666664,36.22711666666665,36.385183333333345,36.38556666666668,36.640783333333324
1 min,29.05,29.03,28.99,28.91,28.49,28.485,28.29,27.99,26.56,27.84,28.09,28.86,28.32,28.97,29.47,30.0,30.29,30.579,30.42,30.21,30.29,30.38,31.0,32.92,32.62,32.66,33.74,34.0,33.68,34.12,33.63,34.31,35.06,35.33,35.48,35.25,35.27,35.59,36.19,36.26,36.31,36.59
1.5 hr,29.13615555555556,29.07139999999999,28.96163333333334,28.917600000000007,28.52649999999999,28.564444444444437,28.398088888888893,28.00813333333332,26.648522222222223,27.549588888888877,28.002822222222218,28.83751111111111,28.384055555555555,28.936122222222224,29.459011111111124,30.012811111111095,30.297244444444456,30.524922222222205,30.422811111111095,30.20926666666667,30.33387777777775,30.3766111111111,30.820233333333313,32.93693333333333,32.55714444444447,32.618077777777785,33.633488888888884,34.02141111111115,33.67112222222222,33.967322222222236,33.582144444444445,34.34626666666666,35.05868888888889,35.35371111111109,35.63527777777779,35.179688888888876,35.254788888888896,35.67854444444444,36.230277777777765,36.39243333333335,36.403588888888905,36.67559999999999
10 day,29.389,29.419,29.345,29.284000000000002,29.147,28.976999999999997,28.880999999999993,28.733000000000004,28.485000000000003,28.081,27.818,27.855,27.837,27.904000000000003,28.052,28.394,28.809000000000005,29.080999999999996,29.319,29.516,29.919999999999998,30.125999999999998,30.328999999999997,30.672000000000004,30.933,31.169,31.483999999999998,31.845,32.193000000000005,32.534,32.87,33.263,33.66799999999999,33.911,34.198,34.45799999999999,34.612,34.76899999999999,35.01899999999999,35.236999999999995,35.504000000000005,35.731
10 min,29.0765,29.045499999999997,29.009500000000003,28.9185,28.448499999999996,28.5705,28.329,28.006,26.584500000000002,27.8139,27.9805,28.8011,28.323999999999995,28.944,29.490000000000002,30.002999999999997,30.2885,30.5914,30.4013,30.203500000000002,30.295500000000004,30.371100000000002,30.938000000000006,32.874,32.5973,32.623000000000005,33.705799999999996,34.009,33.603899999999996,33.9595,33.711400000000005,34.33980000000001,35.068200000000004,35.342,35.5295,35.2099,35.22670000000001,35.616,36.189499999999995,36.2967,36.328,36.558499999999995
100 day,31.883300000000006,31.8317,31.783999999999995,31.737900000000003,31.6838,31.62450000000001,31.569400000000005,31.512600000000006,31.443900000000006,31.320700000000006,31.149800000000006,31.0999,31.0416,30.9904,30.9463,30.9023,30.8666,30.834600000000002,30.798599999999997,30.760499999999997,30.677799999999994,30.6376,30.602299999999993,30.585499999999996,30.564199999999996,30.5414,30.530599999999996,30.5247,30.513599999999997,30.513099999999994,30.513,30.516199999999998,30.529599999999995,30.5418,30.553999999999995,30.562099999999997,30.5737,30.587600000000002,30.608300000000003,30.628700000000002,30.649500000000003,30.6749
125 day,32.99936000000002,32.91968000000001,32.840720000000005,32.76112000000001,32.675520000000006,32.58944000000001,32.51176,32.430960000000006,32.346720000000005,32.19168,31.993839999999995,31.931519999999995,31.861839999999994,31.794479999999997,31.72696,31.67064,31.61712,31.56128,31.503679999999996,31.443519999999996,31.325119999999995,31.295279999999998,31.269679999999997,31.26256,31.25528,31.24536,31.23968,31.241360000000004,31.241520000000005,31.246560000000006,31.251040000000007,31.259760000000007,31.270880000000005,31.281600000000008,31.29520000000001,31.306480000000008,31.31536000000001,31.32736000000001,31.345840000000006,31.360720000000004,31.3804,31.40288
15 min,29.096999999999998,29.082,29.0098,28.904,28.462333333333333,28.589000000000002,28.326333333333334,28.009799999999995,26.555333333333337,27.788333333333338,28.000466666666668,28.8006,28.32253333333333,28.942999999999998,29.489666666666672,30.001666666666665,30.291333333333338,30.594600000000007,30.400666666666663,30.206333333333337,30.294866666666675,30.36646666666667,30.919000000000004,32.87813333333333,32.59753333333334,32.616333333333344,33.70453333333333,34.00513333333334,33.60426666666667,33.96666666666667,33.70826666666667,34.344866666666675,35.085266666666676,35.353,35.544666666666664,35.19713333333334,35.23546666666667,35.62833333333332,36.196999999999996,36.30813333333333,36.33400000000001,36.56433333333333
150 day,33.951933333333336,33.89066666666667,33.827466666666666,33.76513333333334,33.69906666666667,33.635200000000005,33.5682,33.4988,33.42053333333334,33.273399999999995,33.0772,33.01933333333333,32.955799999999996,32.89746666666666,32.83833333333333,32.77786666666667,32.71286666666667,32.650333333333336,32.583400000000005,32.516200000000005,32.382999999999996,32.32333333333334,32.27,32.230066666666666,32.1884,32.14486666666667,32.10793333333333,32.08133333333333,32.05199999999999,32.0318,32.00900000000001,31.995733333333337,31.98846666666667,31.982266666666675,31.974333333333345,31.96506666666667,31.95326666666668,31.941266666666674,31.929800000000014,31.92460000000001,31.920200000000005,31.913733333333337
175 day,34.75645714285715,34.69502857142857,34.63211428571429,34.57394285714286,34.514514285714284,34.45114285714286,34.38525714285714,34.31360000000001,34.237485714285725,34.08428571428572,33.84588571428572,33.773028571428576,33.69954285714286,33.63097142857143,33.578342857142864,33.531314285714295,33.48794285714286,33.44645714285715,33.407771428571436,33.36531428571429,33.28051428571428,33.236399999999996,33.19508571428571,33.163085714285714,33.130799999999994,33.098,33.07308571428571,33.04834285714285,33.021428571428565,32.9972,32.97068571428572,32.95091428571428,32.93382857142857,32.91977142857144,32.905714285714296,32.89268571428572,32.877885714285725,32.8657142857143,32.85342857142859,32.83737142857144,32.81611428571429,32.79685714285715
