,2018-12-19,2018-12-20,2019-01-16,2019-01-18,2019-01-30
1 hr,18.046850000000003,18.12118333333333,19.804616666666675,20.064733333333333,17.583216666666665
1 min,18.06,18.04,19.79,20.15,17.61
1.5 hr,18.15062222222222,18.08987777777778,19.832411111111114,20.05415555555555,17.517366666666664
10 day,18.816000000000003,18.664,19.499000000000002,19.891,19.636000000000003
10 min,18.098000000000003,18.0365,19.7617,20.041000000000004,17.6104
100 day,20.032200000000003,20.014100000000006,19.496700000000004,19.443600000000004,19.2269
125 day,20.205360000000006,20.192880000000006,19.93256,19.903679999999998,19.806319999999996
15 min,18.089333333333336,18.050333333333334,19.7638,20.046666666666667,17.621266666666664
150 day,20.14013333333334,20.11373333333334,20.002133333333333,20.0074,19.997599999999995
175 day,20.201542857142858,20.194628571428574,20.06268571428572,20.041485714285717,19.938514285714284
2 day,18.02,18.06,19.915,19.994999999999997,18.465
2 hr,18.203883333333337,18.00136666666667,19.83322500000001,20.07386666666666,17.46325
2.5 hr,18.287773333333334,17.959440000000015,19.828960000000016,20.09009333333333,17.3871
20 day,18.710500000000003,18.742,18.592,18.789499999999997,19.4675
20 min,18.064500000000002,18.0765,19.763849999999998,20.052999999999997,17.603949999999998
200 day,20.076350000000005,20.066550000000003,20.0106,20.023300000000003,20.0477
25 min,18.0564,18.10544,19.768679999999996,20.0522,17.582759999999997
3 hr,18.33403333333334,17.93511111111113,19.819300000000027,20.09975,17.363783333333327
3.5 hr,18.368385714285726,17.9034142857143,19.808019047619062,20.10980952380952,17.383638095238087
30 day,18.601333333333336,18.59833333333334,18.785666666666664,18.798333333333332,18.874333333333336
30 min,18.050000000000004,18.11703333333333,19.773233333333327,20.052133333333334,17.582299999999996
4 hr,18.38444166666668,17.85563333333334,19.802412500000013,20.114687499999995,17.38465
4.5 hr,18.38142962962965,17.811096296296295,19.80490370370372,20.116518518518518,17.399233333333324
40 day,18.259500000000006,18.252250000000007,18.649250000000002,18.75,18.99625
45 min,18.05177777777778,18.13391111111111,19.791711111111116,20.060977777777783,17.598133333333333
5 day,18.326,18.088,19.961999999999996,19.921999999999997,19.274
5 hr,18.370353333333348,17.806839999999994,19.809763333333347,20.11897333333333,17.397323333333333
5 min,18.11,18.041000000000004,19.770400000000002,20.061,17.613999999999997
5.5 hr,18.376187878787885,17.83835757575757,19.81536060606062,20.10812727272727,17.368769696969707
50 day,18.282000000000004,18.264200000000006,18.582800000000002,18.6766,18.8228
50 min,18.051000000000002,18.133319999999998,19.79574000000001,20.064480000000007,17.59782
55 min,18.04490909090909,18.127381818181817,19.798127272727275,20.065345454545458,17.591054545454544
6 hr,18.36968611111112,17.86902222222222,19.825772222222234,20.084991666666664,17.33940277777779
6.5 hr,18.35324871794873,17.886243589743593,19.8240076923077,20.070787179487173,17.311307692307704
60 day,18.681166666666673,18.62016666666667,18.3745,18.436166666666665,18.727333333333334
70 day,19.17528571428572,19.104428571428578,18.423714285714286,18.427,18.531999999999996
80 day,19.60712500000001,19.55200000000001,18.741500000000002,18.70825,18.58
90 day,19.916888888888895,19.872888888888895,19.14966666666667,19.089555555555556,18.862666666666666
