,2019-01-24
1 hr,54.41533333333335
1 min,54.62
1.5 hr,54.47412222222223
10 day,45.501000000000005
10 min,54.532500000000006
100 day,33.925299999999986
125 day,32.57255999999999
15 min,54.51733333333333
150 day,31.082733333333326
175 day,29.696685714285692
2 day,52.965
2 hr,54.444141666666674
2.5 hr,54.49172666666665
20 day,41.884
20 min,54.49634999999999
200 day,28.10969999999997
25 min,54.444599999999994
3 hr,54.48478333333333
3.5 hr,54.51145714285714
30 day,39.85366666666667
30 min,54.42966666666667
4 hr,54.58264583333334
4.5 hr,54.63368518518521
40 day,39.207249999999995
45 min,54.440666666666665
5 day,48.484
5 hr,54.65637000000001
5 min,54.585
5.5 hr,54.66747575757579
50 day,38.2228
50 min,54.4329
55 min,54.425545454545464
6 hr,54.59593333333338
6.5 hr,54.48320512820517
60 day,37.515499999999996
70 day,36.36528571428571
80 day,35.442375
90 day,34.624777777777766
Tomorrow,55.3
