,2019-01-17,2019-02-05
1 hr,42.48208333333334,44.15448333333334
1 min,42.58,44.02
1.5 hr,42.46861111111113,44.16883333333332
10 day,40.83,42.902
10 min,42.431999999999995,44.051100000000005
100 day,40.386534000000005,40.94363900000001
125 day,39.65734080000001,40.218941600000015
15 min,42.431,44.0894
150 day,39.31491466666667,39.70970800000003
175 day,38.77205142857142,39.3631102857143
2 day,42.21,44.17
2 hr,42.43375000000002,44.18274999999997
2.5 hr,42.38122666666668,44.15495333333331
20 day,39.531275,42.025999999999996
20 min,42.448499999999996,44.1048
200 day,37.47466999999998,38.382414
25 min,42.467600000000004,44.10903999999999
3 hr,42.35858888888889,44.1354611111111
3.5 hr,42.349142857142844,44.09939523809523
30 day,41.21206666666667,40.76210333333334
30 min,42.4845,44.11553333333334
4 hr,42.364975,44.08876249999999
4.5 hr,42.39175555555557,44.10632962962961
40 day,42.1441,41.400632500000015
45 min,42.49166666666666,44.13515555555557
5 day,41.272,43.622
5 hr,42.39504666666667,44.12327333333333
5 min,42.467,44.026
5.5 hr,42.40961818181818,44.14671515151515
50 day,42.891688,42.14969400000002
50 min,42.4912,44.14144000000001
55 min,42.48836363636364,44.14894545454546
6 hr,42.397344444444464,44.18137777777777
6.5 hr,42.36320000000002,44.212782051282026
60 day,42.18124833333333,42.759433333333355
70 day,41.668082857142856,42.36470857142858
80 day,41.13933875,41.87078250000001
90 day,40.62119111111111,41.418427777777794
Tomorrow,40.7,44.19
