,2018-12-13,2018-12-21,2018-12-31,2019-01-02,2019-01-03,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-15
1 hr,26.664399999999993,25.036666666666655,27.796733333333332,29.597516666666646,27.565133333333314,29.565049999999985,30.83848333333335,31.373133333333335,33.14176666666665,33.28231666666667,32.95161666666667,33.21925000000001,33.54888333333331,33.353083333333345,34.11383333333331,33.25733333333336,33.292066666666656,33.431100000000036,34.03801666666664,34.08979999999998
1 min,26.64,25.0,27.89,29.63,27.44,29.59,30.89,31.32,33.17,33.42,33.05,33.37,33.6,33.36,34.06,33.33,33.5,33.61,34.13,34.18
1.5 hr,26.651911111111108,25.062133333333314,27.755866666666673,29.69386666666664,27.590477777777753,29.547344444444438,30.863500000000005,31.39047777777778,33.12065555555555,33.258955555555566,32.96022222222222,33.209266666666664,33.57236666666666,33.37233333333334,34.095577777777784,33.231,33.248711111111085,33.424655555555574,34.04240000000001,34.0947111111111
10 day,27.747299999999996,25.900209999999998,25.91866,26.30584,26.451529999999998,29.145339999999997,29.34192,29.56445,29.953629999999997,30.43269,31.35786,31.769050000000004,32.13539,32.52362,32.976859999999995,33.22339,33.448,33.5,33.571999999999996,33.788
10 min,26.7075,25.011499999999995,27.7905,29.582,27.49,29.594799999999992,30.8327,31.301499999999997,33.2065,33.446,33.0195,33.25449999999999,33.542500000000004,33.283500000000004,34.099999999999994,33.3125,33.386500000000005,33.5145,34.0525,34.138999999999996
100 day,29.893467,29.271172,28.802648000000005,28.735689000000008,28.650160000000007,28.065897000000014,28.03549500000001,28.012170000000005,28.005714000000008,28.010519000000013,28.046447000000022,28.06776900000002,28.089701000000023,28.109528000000026,28.154468000000023,28.188525000000023,28.219009000000018,28.25805600000002,28.30588600000002,28.44519100000002
125 day,30.975634399999993,30.4839248,30.184693600000003,30.15078,30.090881600000003,29.369102400000013,29.316328000000013,29.27834720000001,29.263397600000012,29.255060800000013,29.22867120000002,29.20990400000002,29.192420000000023,29.168077600000025,29.15188320000002,29.128176800000023,29.10877680000002,29.100606400000018,29.095481600000017,29.099448800000015
15 min,26.723000000000003,25.024666666666658,27.808333333333337,29.574666666666662,27.516333333333332,29.595533333333332,30.81246666666666,31.303533333333334,33.217,33.434,32.989333333333335,33.23566666666667,33.51833333333334,33.29866666666666,34.108399999999996,33.312666666666665,33.35246666666667,33.501333333333335,34.027,34.139333333333326
150 day,31.84423066666665,31.439769333333334,31.167568000000003,31.133348000000005,31.081777333333346,30.35962733333335,30.322931333333344,30.29161200000001,30.274519333333345,30.263268000000018,30.249833333333353,30.24924000000002,30.24872466666669,30.246474000000024,30.24538200000002,30.242004666666688,30.232942000000016,30.22626800000001,30.21849266666668,30.210920000000005
175 day,32.194873714285706,31.85735771428571,31.592781142857138,31.57180857142857,31.539933142857144,31.202070857142868,31.173738285714297,31.148879428571437,31.130823428571443,31.112666857142877,31.102570285714307,31.095535428571452,31.08913485714288,31.081530857142877,31.07917600000002,31.071173714285738,31.06198685714288,31.05484742857145,31.045345142857165,30.995722857142873
2 day,26.63865,25.1518,27.624049999999997,28.70675,28.47475,29.48265,30.181150000000002,31.049300000000002,32.17195,33.255,33.379999999999995,33.215,33.510000000000005,33.485,33.69,33.68,33.405,33.555,33.875,34.195
2 hr,26.66349166666665,25.07401666666665,27.710550000000016,29.738783333333313,27.598466666666646,29.556208333333338,30.88916666666666,31.418083333333346,33.12089999999999,33.27135000000002,32.99955833333333,33.22506666666668,33.5777,33.40318333333333,34.09170833333335,33.21608333333332,33.221383333333314,33.41932500000001,34.0319,34.098883333333326
2.5 hr,26.694446666666668,25.111679999999993,27.713420000000006,29.78903999999998,27.603239999999975,29.54812000000002,30.882600000000004,31.438333333333357,33.134586666666664,33.25398000000002,33.04562666666666,33.243540000000024,33.56753333333333,33.41584666666666,34.108193333333354,33.22868666666667,33.18631333333329,33.41697999999997,34.03280666666669,34.09138666666665
20 day,27.567184999999995,27.144074999999997,26.686289999999996,26.698265,26.555564999999994,28.308860000000003,28.631675,28.897115000000003,29.219434999999997,29.519835,29.98716,30.287554999999998,30.536585000000002,30.75415,31.061100000000003,31.282655000000005,31.506225000000008,31.726815000000006,32.002345000000005,32.778525
20 min,26.72275,25.031749999999995,27.828000000000003,29.569599999999998,27.53575,29.590349999999994,30.800099999999993,31.300399999999996,33.216750000000005,33.42549999999999,32.981500000000004,33.230250000000005,33.50920000000001,33.29849999999999,34.117549999999994,33.3235,33.33135,33.497,34.0185,34.129000000000005
200 day,32.56479199999998,32.30216799999999,32.06546149999999,32.03447549999999,31.990480999999996,31.59895200000001,31.581735000000013,31.559875000000012,31.54670000000001,31.531458500000006,31.50008000000001,31.48017900000001,31.464303500000014,31.459265500000015,31.462286500000015,31.462598500000016,31.465347000000012,31.46839800000001,31.473603500000014,31.50114900000001
25 min,26.706999999999997,25.026799999999994,27.832400000000003,29.568679999999993,27.5492,29.585679999999996,30.79423999999999,31.299519999999987,33.211200000000005,33.4016,32.98460000000001,33.232200000000006,33.50616000000001,33.29923999999999,34.129,33.3172,33.31987999999999,33.4822,34.020799999999994,34.11800000000001
3 hr,26.703261111111097,25.121316666666658,27.728733333333363,29.83052777777776,27.605283333333315,29.529777777777777,30.88048888888889,31.448027777777806,33.161583333333326,33.22998888888891,33.09301666666666,33.24036666666668,33.55466666666666,33.41713333333333,34.12301111111111,33.23740555555556,33.15155555555551,33.42426666666664,34.01995000000003,34.09126666666666
3.5 hr,26.702566666666645,25.127290476190463,27.739552380952414,29.83977142857141,27.628699999999995,29.519404761904756,30.918690476190474,31.44973809523812,33.203095238095244,33.20497142857146,33.13966666666665,33.245128571428594,33.54909523809524,33.427819047619046,34.13310952380951,33.228209523809525,33.11334285714283,33.43541904761902,34.01608571428574,34.111971428571415
30 day,27.422323333333328,27.01485,27.00836333333333,27.083203333333334,27.08819333333333,27.505976666666673,27.645346666666672,27.815320000000003,28.02853666666667,28.256410000000006,28.76005333333334,29.00888,29.295646666666673,29.561433333333337,29.864860000000007,30.16224666666667,30.414076666666674,30.646290000000008,30.870556666666673,31.454370000000004
30 min,26.703833333333332,25.02566666666666,27.83406666666667,29.55726666666666,27.554166666666667,29.582066666666666,30.797999999999995,31.303099999999986,33.204,33.376333333333335,32.980166666666676,33.234166666666674,33.509866666666674,33.29769999999999,34.13116666666666,33.31016666666667,33.31323333333332,33.462,34.02516666666666,34.11500000000001
4 hr,26.707995833333314,25.116695833333324,27.741570833333366,29.82739999999999,27.665399999999995,29.500562499999997,30.971770833333323,31.440687500000017,33.23202083333333,33.1833916666667,33.18454166666665,33.2532041666667,33.54631250000001,33.43624583333333,34.143933333333315,33.21074583333334,33.07606249999998,33.4444833333333,34.02336666666669,34.13972916666665
4.5 hr,26.72916296296294,25.129744444444434,27.735088888888928,29.85975925925925,27.722114814814812,29.491422222222223,31.018992592592575,31.436055555555566,33.2821925925926,33.16942222222225,33.21782592592592,33.255748148148164,33.53406296296297,33.441874074074065,34.16810370370368,33.20234814814816,33.046596296296265,33.43834074074071,34.011607407407425,34.159199999999984
40 day,27.100747499999994,26.940067499999998,27.032935,27.070105,27.048152500000004,27.726467500000005,27.811537500000004,27.887627500000008,28.020595000000004,28.129132500000004,28.34271250000001,28.42156000000001,28.550317500000016,28.688537500000013,28.873697500000013,29.03985750000001,29.223490000000005,29.396402500000004,29.5853075,30.203660000000006
45 min,26.69315555555556,25.02244444444444,27.813599999999997,29.558155555555544,27.557444444444435,29.581822222222208,30.821333333333328,31.349511111111102,33.16666666666666,33.32586666666666,32.954711111111116,33.229666666666674,33.533911111111095,33.32788888888889,34.1299111111111,33.288222222222224,33.31579999999998,33.44133333333336,34.02986666666665,34.08675555555555
5 day,26.547839999999997,25.39228,26.445039999999995,27.48284,27.76824,29.41578,29.81094,30.2081,30.830780000000004,31.625239999999998,32.904779999999995,33.33,33.44,33.422,33.489999999999995,33.541999999999994,33.565999999999995,33.56,33.722,34.010000000000005
5 hr,26.74560666666665,25.14796666666667,27.717986666666704,29.88202999999999,27.76474666666667,29.507283333333337,31.048866666666648,31.435770000000012,33.354116666666684,33.175746666666676,33.242429999999985,33.243036666666676,33.527863333333336,33.44545666666665,34.16257333333332,33.208400000000005,33.03520333333331,33.43547333333331,34.00738000000003,34.18233333333331
5 min,26.667,25.011,27.810000000000002,29.619999999999997,27.482999999999997,29.595,30.895999999999997,31.314999999999998,33.189,33.452,33.05,33.354,33.598,33.287,34.053999999999995,33.313,33.429,33.542,34.11200000000001,34.175
5.5 hr,26.756987878787875,25.184872727272737,27.70443030303034,29.878024242424235,27.787812121212134,29.51416060606062,31.076003030303013,31.43225757575759,33.3858878787879,33.195087878787895,33.26263030303028,33.243033333333344,33.516575757575744,33.44889696969696,34.14439393939393,33.23007272727275,33.031730303030265,33.43852121212118,34.00481515151518,34.22026363636361
50 day,27.107957999999993,26.851038,26.826346000000004,26.878124000000007,26.894752000000008,27.532454000000016,27.596718000000013,27.687526000000016,27.835812000000015,27.980720000000016,28.24478600000002,28.367938000000017,28.517444000000022,28.63999400000002,28.77654600000002,28.89390800000002,28.999702000000017,29.116476000000016,29.21770600000001,29.494848000000015
50 min,26.67864,25.021999999999995,27.807439999999996,29.562879999999982,27.558099999999985,29.576339999999988,30.827600000000007,31.360759999999996,33.15509999999999,33.31328,32.94794,33.22800000000001,33.53905999999998,33.33710000000001,34.12155999999999,33.27700000000001,33.311079999999976,33.43650000000003,34.032319999999984,34.08707999999999
55 min,26.669672727272722,25.027090909090898,27.80152727272727,29.57709090909089,27.56159999999998,29.570036363636348,30.833709090909103,31.369327272727272,33.14445454545453,33.29661818181818,32.94885454545455,33.22585454545455,33.54369090909088,33.34709090909092,34.11719999999998,33.2658181818182,33.301527272727256,33.433909090909125,34.03474545454544,34.08916363636362
6 hr,26.761877777777777,25.22057777777779,27.704161111111144,29.8791111111111,27.815016666666693,29.525169444444455,31.09344999999999,31.423627777777796,33.33241111111113,33.20185277777781,33.277202777777745,33.265463888888895,33.50552777777776,33.43977499999999,34.114630555555536,33.24571666666668,33.02192222222217,33.432922222222196,34.00341111111114,34.24358055555554
6.5 hr,26.768894871794867,25.241930769230773,27.710643589743622,29.858115384615374,27.881730769230803,29.537425641025653,31.08918461538461,31.417958974358992,33.215315384615415,33.19204358974361,33.29437435897433,33.28227435897438,33.494833333333304,33.43742820512821,34.07235128205128,33.26084102564105,33.0137615384615,33.42446153846153,33.99627948717951,34.245138461538424
60 day,27.45293833333333,27.059048333333333,26.859345,26.884580000000003,26.875880000000002,27.396331666666683,27.489626666666677,27.598531666666684,27.726760000000013,27.83936666666668,28.042456666666684,28.127953333333355,28.234580000000026,28.335043333333356,28.439855000000026,28.534496666666694,28.64760500000002,28.779843333333357,28.91260000000002,29.271281666666688
70 day,27.905137142857136,27.421442857142853,27.188568571428572,27.190295714285718,27.15554285714286,27.267558571428584,27.342265714285727,27.413861428571444,27.512398571428587,27.596031428571443,27.76642000000002,27.864124285714308,27.964121428571453,28.058978571428593,28.193550000000023,28.308735714285735,28.43417000000002,28.55150857142859,28.658314285714305,28.936531428571453
80 day,28.59103374999999,28.00515625,27.5693975,27.561268750000004,27.512822500000006,27.371501250000012,27.400048750000007,27.430602500000003,27.480500000000006,27.53862750000001,27.660225000000025,27.728798750000028,27.80721500000003,27.886235000000035,27.981221250000026,28.077406250000024,28.168128750000015,28.26084875000002,28.343027500000016,28.60460875000001
90 day,29.235637777777775,28.572770000000002,28.220257777777782,28.18234777777778,28.11938222222222,27.61864666666668,27.629095555555562,27.638010000000005,27.675617777777784,27.720762222222234,27.811821111111133,27.851545555555578,27.89139444444447,27.93609222222225,27.994318888888913,28.04708666666669,28.09920222222224,28.149333333333352,28.209002222222242,28.402043333333353
Tomorrow,25.9451,24.3884,29.5774,27.3721,28.6594,30.8447,31.2539,33.09,33.42,33.71,33.38,33.64,33.33,34.05,33.31,33.5,33.61,34.14,33.91,NULL
