,2018-12-13
1 hr,50.3954
1 min,50.4
1.5 hr,50.36490000000001
10 day,51.726
10 min,50.4221
100 day,61.64139999999998
125 day,59.8204
15 min,50.429399999999994
150 day,57.79613333333332
175 day,55.315714285714286
2 day,50.555
2 hr,50.352750000000015
2.5 hr,50.38502000000001
20 day,52.74549999999999
20 min,50.41619999999999
200 day,53.23699999999999
25 min,50.38955999999999
3 hr,50.366683333333356
3.5 hr,50.36231428571429
30 day,55.67866666666667
30 min,50.389933333333325
4 hr,50.3600625
4.5 hr,50.38967407407407
40 day,57.93399999999999
45 min,50.416199999999996
5 day,50.215999999999994
5 hr,50.41232333333332
5 min,50.404
5.5 hr,50.44221818181817
50 day,59.75399999999998
50 min,50.40447999999999
55 min,50.39989090909091
6 hr,50.49798333333331
6.5 hr,50.543869230769225
60 day,61.62466666666665
70 day,62.46099999999998
80 day,62.73237499999999
90 day,62.31277777777776
Tomorrow,49.32
