,2019-01-07,2019-01-08,2019-02-04
1 hr,8.28375,9.007666666666669,11.246816666666666
1 min,8.4,9.07,11.28
1.5 hr,8.284233333333333,9.015700000000006,11.215611111111102
10 day,6.323,6.7090000000000005,9.786000000000001
10 min,8.374,9.0988,11.254999999999999
100 day,8.61135,8.60015,8.38
125 day,9.317279999999997,9.280319999999998,8.847200000000003
15 min,8.3624,9.083866666666665,11.254999999999999
150 day,10.231566666666664,10.179433333333332,9.522166666666667
175 day,11.033057142857146,11.009800000000004,10.440428571428576
2 day,8.17,8.74,10.965
2 hr,8.316374999999999,9.056308333333337,11.199308333333343
2.5 hr,8.338613333333342,9.079606666666677,11.188246666666686
20 day,6.166000000000001,6.297500000000001,9.697000000000001
20 min,8.357699999999998,9.07515,11.251599999999998
200 day,11.675550000000003,11.626700000000005,11.016875000000006
25 min,8.351159999999998,9.06864,11.251279999999998
3 hr,8.349088888888899,9.087216666666677,11.172000000000013
3.5 hr,8.346247619047626,9.091233333333339,11.153195238095257
30 day,6.539000000000001,6.608333333333333,8.468333333333334
30 min,8.335933333333331,9.056866666666668,11.250066666666665
4 hr,8.368662500000006,9.0934625,11.150983333333345
4.5 hr,8.396833333333342,9.089281481481484,11.132840740740756
40 day,6.803,6.831999999999999,7.888250000000001
45 min,8.298866666666665,9.024911111111113,11.255244444444445
5 day,7.030000000000001,7.614,10.376
5 hr,8.396940000000008,9.08537333333334,11.118993333333348
5 min,8.399000000000001,9.127,11.258
5.5 hr,8.442890909090917,9.069996969696977,11.096584848484861
50 day,7.0762,7.1026,7.778800000000002
50 min,8.29768,9.019020000000001,11.256780000000001
55 min,8.292036363636363,9.011090909090912,11.252254545454546
6 hr,8.52154444444445,9.050633333333343,11.071822222222234
6.5 hr,8.56432307692308,9.018935897435906,11.038925641025651
60 day,7.393833333333332,7.386666666666666,7.754666666666669
70 day,7.729428571428571,7.714142857142857,7.825285714285714
80 day,8.035124999999999,8.02675,7.983
90 day,8.345944444444445,8.315444444444445,8.18888888888889
Tomorrow,9.08,9.75,11.53
