,2018-12-12,2018-12-13,2018-12-14,2018-12-18,2018-12-19,2018-12-20,2019-01-03,2019-01-08,2019-01-09,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-25,2019-02-14,2019-02-15
1 hr,389.9098833333333,390.43629999999996,386.51428333333337,371.9834833333335,369.0492666666667,358.2980166666668,346.9459499999999,361.8764833333333,355.32105000000007,380.4712166666667,381.16413333333327,374.26216666666664,369.97234999999995,368.11139999999995,420.2540500000001,420.3387
1 min,387.13,389.32,386.66,370.88,368.64,358.39,345.94,362.01,357.31,381.03,381.78,374.63,371.01,369.27,420.54,421.49
1.5 hr,389.8108555555555,390.4314666666666,386.439488888889,372.4479333333334,369.97938888888893,358.82791111111135,347.9784444444443,361.4789777777777,354.4641666666667,380.88284444444434,381.34420000000006,374.46147777777776,369.89419999999996,367.57212222222216,420.1900222222223,420.26218888888883
10 day,387.284,387.81000000000006,388.08900000000006,384.4530000000001,382.788,379.337,351.299,350.618,352.448,365.619,369.208,371.296,372.947,374.559,397.322,399.823
10 min,388.1433,389.7044,386.739,371.7327,368.99100000000004,357.1240000000001,345.7523,361.614,356.5035,380.956,381.2812,374.16150000000005,369.88699999999994,368.9934999999999,420.29290000000003,421.03999999999996
100 day,414.0674759999999,413.71995799999996,413.348932,412.16652500000004,411.467795,410.771002,403.21936100000005,400.94483600000007,400.20205700000014,397.39348700000005,396.945215,396.41689299999996,395.82681899999994,393.9380789999999,387.9902199999999,387.81317999999993
125 day,416.1183463999997,416.07800159999977,415.9951159999998,415.4871863999998,415.11966719999987,414.67141599999985,409.86679599999997,407.87295919999997,407.22287840000007,404.86431200000004,404.45999760000007,404.0219008000001,403.5974064,402.18706,397.14484560000005,397.0062968000001
15 min,388.6145333333333,390.00960000000003,386.5186666666667,371.87280000000004,369.1198666666667,357.1083333333334,345.8308666666666,361.58986666666664,356.12833333333333,380.8413333333334,381.23760000000004,374.1272,369.6993999999999,369.0555999999999,420.2827333333334,420.98779999999994
150 day,411.63309599999974,411.6155506666664,411.5607013333331,411.34063799999984,411.26844533333315,411.1531566666665,409.22326933333323,408.46559466666656,408.23967333333326,407.5667239999999,407.5231906666666,407.4052219999999,407.24953466666653,406.61752199999984,403.50506533333333,403.37596
175 day,410.11899028571406,410.0200725714284,409.944125142857,409.59319142857134,409.4008594285713,409.19377885714283,406.7812279999999,405.8880879999998,405.5658628571426,404.8451325714284,404.8452725714284,404.8054537142854,404.6857862857141,404.3304325714282,404.90772000000004,405.0805262857143
2 day,388.46000000000004,388.22,388.11,370.015,369.70500000000004,363.325,347.97,358.18,359.59000000000003,382.045,381.47,378.25,372.84000000000003,370.36,406.25,420.99
2 hr,390.00079166666654,390.42904999999985,386.53896666666674,372.96267500000016,370.5596,358.345916666667,348.6727666666665,361.212625,353.7459750000002,381.0683749999999,381.3112666666667,374.6446833333333,370.20024166666667,367.28695833333325,420.38255000000015,420.254325
2.5 hr,390.2549533333331,390.6948666666666,386.57912666666687,373.27015333333355,370.86618000000004,358.86078666666685,349.02687333333336,360.95719999999994,353.0626600000003,381.1902933333332,381.3225400000001,374.85543999999993,370.36961333333335,367.23812,420.36742000000015,420.4636533333333
20 day,385.157,385.4465,385.5255,383.8315,383.08,382.16549999999995,367.87600000000003,363.16949999999997,361.68149999999997,359.71050000000014,360.25350000000014,360.56500000000005,361.20500000000004,364.574,387.006,388.984
20 min,388.9759,390.16200000000003,386.49550000000005,371.71710000000013,368.88165000000004,357.33225000000004,345.96580000000006,361.6459,356.16375000000005,380.7841,381.20545,374.1239,369.77979999999997,368.76419999999996,420.4794,420.90854999999993
200 day,408.54250749999983,408.5615964999999,408.5971469999999,408.5104579999999,408.42750649999994,408.294585,406.26992499999994,405.50199549999985,405.31399049999976,404.5854764999998,404.4860039999998,404.3340664999998,404.15596349999976,403.67769249999975,402.9846299999998,403.01202149999983
25 min,389.26752,390.14788,386.45288000000005,371.7026400000001,368.94064,357.64648,346.06008,361.8059999999999,356.0866,380.658,381.1731199999999,374.08384000000007,369.83844,368.44739999999996,420.56184,420.85436000000004
3 hr,390.4181277777775,390.74766111111103,386.5924166666668,373.4670166666669,370.9986499999999,359.4996277777779,349.1338777777778,360.7267111111111,352.5211388888891,381.18352222222205,381.25121666666666,375.02246666666656,370.18025000000006,367.27261111111113,419.9299666666668,420.60956111111113
3.5 hr,390.58468095238084,390.8349904761905,386.64854285714307,373.65260000000023,371.2060476190477,360.07117142857146,349.4211428571429,360.50587619047616,352.10166666666686,381.0169571428569,381.17778095238094,375.21302857142825,370.02813809523815,367.32683333333335,419.55371428571436,420.7132809523812
30 day,385.71160666666657,386.2028099999999,386.54872666666665,385.39778666666666,384.5411633333333,383.3574566666666,372.9873333333333,370.56366666666673,369.7943333333334,368.6293333333334,368.32000000000005,367.9726666666666,367.24899999999997,365.33666666666664,379.87700000000007,382.392
30 min,389.49876666666665,390.20856666666674,386.42040000000003,371.7553000000001,368.99373333333335,357.8307666666667,346.21673333333337,361.9093,356.20616666666666,380.56199999999995,381.1905999999999,374.06219999999996,369.87823333333324,368.2620666666667,420.5768666666666,420.77770000000004
4 hr,390.8231958333333,390.8612625000001,386.6535500000001,373.86359583333353,371.2081166666667,360.43666250000007,349.7538833333335,360.30193333333324,351.6985916666667,380.930295833333,381.07798750000006,375.33894166666647,370.0257875000001,367.40974583333343,419.40480833333334,420.7039791666669
4.5 hr,391.0769888888888,390.9951666666667,386.7152370370373,373.97627407407435,371.11220370370364,360.8777740740742,350.12652962962983,360.15435185185186,351.49525185185206,380.9301037037033,380.9827333333333,375.41360740740737,370.1119222222223,367.4724481481482,419.01088888888887,420.69685185185205
40 day,390.2311749999999,389.8166874999999,389.28826499999997,387.26091499999995,386.2389325,384.96915249999995,376.87308999999993,373.9888925,373.24190250000004,372.21250000000003,372.0425000000001,371.8225,371.68525,370.69825,373.35825,374.61875
45 min,389.77928888888886,390.4927111111111,386.5491555555556,371.8786666666668,369.032,358.1363777777778,346.50713333333323,361.99531111111105,355.8934666666667,380.42106666666666,381.1523333333332,374.1404,370.04217777777774,368.22926666666666,420.35504444444445,420.5143333333334
5 day,388.63800000000003,387.95799999999997,388.044,380.674,376.938,370.716,349.54799999999994,353.218,354.682,376.55600000000004,378.786,379.434,378.32,370.332,401.174,406.288
5 hr,391.3989400000001,391.10133,386.7291433333336,373.98163999999997,371.07237333333325,361.41085666666663,350.38091333333347,360.0670700000001,351.34285333333355,380.957593333333,380.9264100000001,375.4842733333333,370.0965400000001,367.46921999999995,418.9451166666666,420.6766366666669
5 min,387.252,389.50280000000004,387.27799999999996,371.1924,368.808,357.648,345.988,361.848,356.98,381.308,381.5938,374.353,370.31,369.316,420.596,421.163
5.5 hr,391.69280000000015,391.1864151515151,386.6507848484851,373.94381515151514,371.12447575757574,361.7697696969698,350.6695060606062,360.05966363636367,351.4479818181818,380.97639999999984,380.9039818181818,375.59982424242423,370.0967515151516,367.35707575757567,418.86248787878776,420.63312424242446
50 day,394.3432739999999,393.54403799999983,392.82583999999986,390.929178,389.96823599999993,388.84941799999984,380.0685319999999,376.818924,375.774166,375.5061180000001,375.340072,374.9506979999999,374.49647399999986,373.2651979999999,375.9800000000001,376.58560000000006
50 min,389.8619999999999,390.47767999999996,386.57466000000005,371.9437000000001,369.0305,358.2010000000001,346.6217199999999,361.9787799999999,355.67316000000005,380.41360000000003,381.1437999999999,374.16642,370.0234799999999,368.18517999999995,420.27062000000006,420.44050000000004
55 min,389.90241818181806,390.46298181818173,386.5349636363637,371.95885454545464,368.9924181818182,358.2201090909092,346.75474545454534,361.92779999999993,355.4968727272728,380.4227272727273,381.15172727272716,374.2127454545455,370.002309090909,368.1502545454545,420.27487272727285,420.3701090909091
6 hr,391.96734444444456,391.40102777777787,386.4828055555556,374.0052055555557,371.10213055555556,362.0751944444446,350.81481388888903,360.1757722222222,351.95805555555563,381.0552333333331,380.8982527777777,375.7446583333334,370.24933888888904,367.23041388888873,418.4216166666665,420.5843972222226
6.5 hr,392.03670512820526,391.5102384615385,386.3490512820514,374.0871974358976,370.94672820512824,362.3333743589746,350.89855641025645,360.21955897435896,352.4906102564103,381.14914358974346,381.0058333333333,376.16438205128196,370.5025307692308,367.2260076923075,417.68489230769217,420.4673666666671
60 day,400.7350049999999,399.84694999999994,398.967275,396.60946666666666,395.59278666666665,394.45879333333323,384.3241483333332,381.5213649999999,380.8974466666666,378.75934666666666,378.2584433333333,377.68095499999987,377.0477683333332,375.36689666666655,377.1436666666668,377.68966666666677
