,2019-02-01,2019-02-06
1 hr,46.27079999999999,47.06213333333334
1 min,46.4,46.93
1.5 hr,46.272533333333335,47.01673333333331
10 day,44.60699999999999,45.505
10 min,46.3735,47.062999999999995
100 day,41.61089999999999,41.60839999999999
125 day,42.51152,42.60432
15 min,46.35233333333334,47.080333333333336
150 day,42.52726666666668,42.67926666666668
175 day,42.70422857142858,42.75480000000001
2 day,46.5,46.785
2 hr,46.229766666666656,46.99223333333331
2.5 hr,46.243826666666656,46.97837999999998
20 day,43.29549999999999,44.19149999999999
20 min,46.339000000000006,47.080250000000014
200 day,42.592949999999995,42.6822
25 min,46.330799999999996,47.073400000000014
3 hr,46.289049999999975,46.972733333333295
3.5 hr,46.37040476190474,46.97411428571424
30 day,40.64533333333332,41.88533333333333
30 min,46.31966666666666,47.06533333333334
4 hr,46.432920833333284,46.9772958333333
4.5 hr,46.46474814814808,46.989992592592564
40 day,40.05724999999999,40.576249999999995
45 min,46.28417777777778,47.06022222222222
5 day,45.315999999999995,46.67
5 hr,46.46159999999993,47.00056999999997
5 min,46.451,47.03399999999999
5.5 hr,46.484090909090845,47.00536666666664
50 day,39.92439999999999,40.63179999999999
50 min,46.27596,47.058600000000006
55 min,46.271836363636346,47.066
6 hr,46.52386388888884,46.98466944444442
6.5 hr,46.55587948717943,46.97359743589741
60 day,39.38266666666666,39.85433333333333
70 day,39.13542857142857,39.430285714285716
80 day,40.00224999999999,40.042500000000004
90 day,40.9171111111111,40.87544444444444
Tomorrow,46.78,46.46
