,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,45.19371666666666,45.87433333333335,44.25076666666668,43.68938333333334,43.353383333333326,43.53446666666667,43.09338333333334,42.54055000000002,41.96413333333333,42.77708333333331,43.58791666666668,44.32291666666666,43.48553333333334,45.14863333333335,46.166383333333336,47.43524999999999,47.59031666666666,47.80108333333333,47.645483333333324,49.467549999999974,50.54258333333333,49.827850000000005,49.365966666666665,49.67331666666667,47.83858333333333,47.5938,47.5155,46.452533333333335,46.45791666666664,47.260983333333314,47.483533333333334,47.14823333333332,46.81524999999998,46.398433333333365,45.733033333333346,46.377933333333324,47.519016666666666,47.372500000000024,46.7402,47.2328
1 min,44.91,45.62,44.26,43.54,43.23,43.5,43.08,42.47,41.72,43.23,43.9,44.48,43.38,45.28,46.36,47.47,47.65,47.88,47.59,49.34,50.66,50.09,49.3,49.49,47.78,47.5,47.49,46.44,46.66,47.29,47.56,47.13,46.95,46.63,45.94,46.39,47.47,47.28,46.55,47.47
1.5 hr,45.246066666666664,45.90322222222224,44.21492222222222,43.72175555555557,43.450644444444436,43.509799999999984,43.33725555555555,42.59082222222224,42.058377777777785,42.60717777777776,43.51725555555558,44.37987777777778,43.52864444444445,45.14290000000001,46.15445555555555,47.421899999999994,47.58765555555555,47.794266666666694,47.65127777777778,49.44593333333332,50.528722222222235,49.7803,49.35020000000002,49.64735555555554,47.859288888888884,47.57601111111113,47.51035555555556,46.5290888888889,46.41006666666666,47.273988888888866,47.493388888888894,47.177000000000014,46.76995555555554,46.371633333333364,45.74452222222225,46.38557777777776,47.55526666666667,47.35564444444445,46.73624444444445,47.21687777777776
10 day,49.150349999999996,48.52425,47.68978,46.90116999999999,45.997910000000005,45.060739999999996,44.507419999999996,44.013909999999996,43.61512,43.06479,42.81155,42.93517,42.9242,43.14154,43.91221,44.53034,44.973,45.41167,45.81743999999999,46.69379,47.86027,48.30991,48.604020000000006,48.80441,48.81537999999999,48.778499999999994,48.76853,48.63294,48.379819999999995,48.15281,47.85907999999999,47.58218000000001,47.361039999999996,47.09196000000001,46.92236,46.82368000000001,46.834999999999994,46.93299999999999,46.923,46.93899999999999
10 min,44.93299999999999,45.6901,44.27,43.5515,43.221000000000004,43.62200000000001,43.132000000000005,42.313,41.7815,43.113499999999995,43.675,44.408500000000004,43.469500000000004,45.2725,46.324000000000005,47.3735,47.611000000000004,47.863,47.5659,49.3985,50.584,49.9205,49.275999999999996,49.498999999999995,47.898,47.555299999999995,47.4954,46.361000000000004,46.612,47.2265,47.4755,47.169000000000004,46.956199999999995,46.5655,45.83,46.381,47.431000000000004,47.3001,46.625,47.400999999999996
100 day,53.99877199999999,53.860845999999995,53.70528599999999,53.54264699999999,53.36548599999999,53.189028,53.010073000000006,52.83736099999998,52.658962999999986,52.302693000000005,51.802655,51.636563,51.45831200000001,51.307652000000004,51.023172,50.896732,50.762643000000004,50.63174100000001,50.497650000000014,50.29652500000001,50.131977000000006,50.03851600000001,49.936683,49.83813500000001,49.73128700000001,49.619858000000015,49.50335900000001,49.387227,49.302926,49.22929899999999,49.160956999999996,49.090801,49.028286,48.962771000000004,48.88816799999999,48.822041,48.762340999999985,48.68066099999999,48.58740699999999,48.515081999999985
125 day,55.56441679999999,55.41264399999999,55.25423919999999,55.08953519999999,54.921642399999996,54.750097600000004,54.57528320000001,54.3975112,54.23181039999999,53.92150640000001,53.49920960000001,53.37086880000001,53.24027600000001,53.11966880000001,52.875861600000015,52.76985840000001,52.6687104,52.575360800000006,52.4785856,52.26512000000001,52.1047728,52.026744,51.9424944,51.8506144,51.7434256,51.6354352,51.537544,51.43231199999999,51.32685839999999,51.22509359999999,51.127635999999995,51.0245128,50.914459999999984,50.800019199999994,50.67870559999999,50.56806959999999,50.47028879999997,50.36534239999998,50.25805519999998,50.150333599999975
15 min,44.959333333333326,45.729400000000005,44.28966666666667,43.54733333333333,43.207666666666675,43.643,43.094000000000015,42.35133333333333,41.815666666666665,43.07606666666666,43.68233333333333,44.39266666666667,43.48946666666667,45.24966666666667,46.30366666666667,47.38133333333333,47.5992,47.86000000000001,47.57360000000001,49.406333333333336,50.56799999999999,49.898,49.290000000000006,49.52733333333334,47.95166666666667,47.551533333333325,47.50126666666666,46.36833333333333,46.57066666666667,47.23066666666667,47.44966666666666,47.173333333333325,46.94099999999999,46.53933333333334,45.777333333333324,46.38053333333333,47.42400000000001,47.31706666666667,46.65466666666667,47.388333333333335
150 day,56.991882000000004,56.87097133333334,56.740358666666665,56.60310533333333,56.46717133333334,56.330910666666675,56.19066666666668,56.04305333333334,55.89198066666666,55.58534800000001,55.16570666666668,55.048616666666675,54.91540200000001,54.79653933333335,54.555394000000014,54.44220666666668,54.32166733333334,54.20941533333334,54.09232066666667,53.88308666666668,53.69061666666666,53.597295333333335,53.49826,53.39989,53.28525066666667,53.16888333333333,53.05430533333333,52.94746,52.844274,52.75370466666666,52.66261600000001,52.57170933333334,52.47628799999999,52.384698,52.29360999999999,52.20134733333333,52.10766999999998,52.01888866666665,51.925439999999995,51.840774666666654
175 day,57.23881257142859,57.18135542857145,57.11064057142858,57.044969142857155,56.97577085714287,56.898397142857156,56.819483428571445,56.733344571428574,56.64759142857144,56.46985371428574,56.208032000000024,56.118689142857164,56.027965142857155,55.947610857142884,55.77920000000002,55.70496057142859,55.6297582857143,55.55677485714287,55.484582285714296,55.33579885714286,55.18661542857143,55.10781828571428,55.02293085714285,54.94202228571429,54.849497142857146,54.75441200000001,54.65665657142858,54.55394171428571,54.449648571428575,54.34668342857143,54.2453182857143,54.14694971428573,54.05084571428572,53.963649142857165,53.86467028571429,53.76985371428572,53.67711885714285,53.58091257142857,53.47951257142858,53.37587142857143
