,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2019-01-23,2019-02-01
1 hr,44.29716666666668,43.89171666666665,42.45903333333333,42.207100000000004,50.2634333333333,50.816649999999974
1 min,44.24,43.95,42.46,42.15,50.26,51.03
1.5 hr,44.380200000000016,43.82898888888887,42.74591111111112,42.17615555555556,50.2296222222222,50.8179
10 day,47.33861,46.32129,45.53689,44.836110000000005,48.405710000000006,51.075900000000004
10 min,44.20649999999999,44.0458,42.53500000000001,42.025,50.2965,50.939
100 day,57.667045,57.452543,57.223802,57.000765,53.18435999999997,52.39079399999998
125 day,59.25289120000001,59.048186400000006,58.83335440000001,58.623401600000015,55.37070479999997,54.631168799999955
15 min,44.18066666666666,44.00206666666667,42.507333333333335,42.059333333333335,50.301400000000015,50.92699999999999
150 day,61.05389333333335,60.88146266666669,60.696905333333355,60.50779000000002,57.108280666666666,56.34390199999996
175 day,61.60464628571428,61.50810400000001,61.40483085714287,61.295012571428586,58.95887771428574,58.21904742857141
2 day,44.21195,43.8835,43.00255,42.116600000000005,49.94065,50.565
2 hr,44.42615833333333,43.860683333333334,42.93951666666666,42.08310000000001,50.234133333333325,50.811141666666686
2.5 hr,44.448753333333336,43.88548666666667,43.12304000000001,42.07494666666668,50.179506666666654,50.84074666666669
20 day,49.68982,49.23939,48.734210000000004,48.30568,46.07542,49.148030000000006
20 min,44.181,43.977549999999994,42.4485,42.117749999999994,50.30140000000001,50.918249999999986
200 day,61.80899649999999,61.69247200000001,61.56375650000001,61.43689550000001,59.652501,59.339615499999994
25 min,44.193599999999996,43.9574,42.42328,42.170199999999994,50.28856000000002,50.90967999999999
3 hr,44.47319999999999,43.94818888888891,43.25723888888888,42.068094444444476,50.13438333333332,50.853049999999996
3.5 hr,44.4913380952381,43.994347619047616,43.37424285714286,42.09678571428575,50.10523333333331,50.84160476190473
30 day,51.02270000000001,50.70051333333335,50.31163333333335,49.896873333333346,45.42507333333334,46.91438333333334
30 min,44.202233333333325,43.94449999999999,42.409066666666654,42.19483333333332,50.29846666666666,50.903566666666656
4 hr,44.52717083333333,44.04424166666671,43.447437500000014,42.134725000000024,50.07091249999997,50.83816249999999
4.5 hr,44.5742111111111,44.06050740740746,43.49947037037038,42.156533333333364,50.06689629629626,50.81866296296297
40 day,51.22934,50.9888375,50.754615,50.50029250000001,46.93621750000001,46.766110000000005
45 min,44.260444444444445,43.923288888888884,42.439711111111095,42.22979999999999,50.28948888888888,50.86264444444442
5 day,45.102880000000006,44.72264,43.894439999999996,43.27926,49.608180000000004,51.41080000000001
5 hr,44.61137333333331,44.09215666666672,43.54528333333333,42.198693333333374,50.094329999999964,50.78354666666666
5 min,44.215999999999994,44.0136,42.514,42.053999999999995,50.273,51.003
5.5 hr,44.60470303030301,44.14120909090914,43.582318181818174,42.251630303030346,50.11778484848481,50.74613333333332
50 day,52.44976800000001,52.10652600000001,51.730844000000005,51.365840000000006,48.09474800000001,47.844385999999986
50 min,44.2775,43.92081999999999,42.44533999999999,42.23121999999999,50.27599999999998,50.845779999999976
55 min,44.28930909090909,43.91065454545454,42.4454,42.22083636363636,50.26763636363634,50.82943636363633
6 hr,44.59452777777775,44.206600000000044,43.61144444444442,42.280988888888935,50.15293055555555,50.70889999999999
6.5 hr,44.5835615384615,44.23549487179489,43.63943589743589,42.2910307692308,50.174720512820485,50.67443589743589
60 day,53.84481500000001,53.53895833333334,53.21994333333334,52.89529166666668,48.87222,48.807448333333326
70 day,55.00735285714287,54.73782714285716,54.44852857142858,54.15411571428573,49.58996428571429,49.24264285714284
80 day,56.02060625,55.771145000000004,55.51032875,55.24293,50.9451625,50.15947249999999
90 day,56.89194222222223,56.66469222222222,56.426578888888876,56.19131444444444,52.12958666666665,51.33076666666665
Tomorrow,43.7392,42.2659,41.9673,40.8325,51.6827,51.84
