,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-18,2019-01-22,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-04,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,100.45233333333334,99.27449999999996,95.70009999999999,92.6688166666667,88.6414166666667,87.62378333333331,90.27411666666669,89.54458333333332,88.56451666666668,90.64539999999995,92.41115,94.8193333333333,96.36093333333332,99.43616666666667,102.38141666666674,105.08059999999999,107.21386666666665,105.77734999999997,104.1773666666667,106.12876666666668,106.42086666666665,101.76274999999997,102.5421666666667,100.29661666666671,100.30211666666665,101.98406666666665,102.52318333333342,102.6395833333333,104.38460000000002,98.02813333333332,96.1212,97.61046666666665,98.8402,100.83241666666663,104.31158333333333,105.52243333333332
1 min,100.13,98.48,96.32,92.7,88.54,87.93,90.59,89.03,89.02,91.99,92.75,95.35,96.16,99.98,102.64,104.89,106.79,106.14,104.09,105.62,106.91,101.41,102.21,100.3,100.16,102.27,103.15,102.87,104.58,97.95,96.61,97.87,98.68,101.02,103.89,105.52
1.5 hr,100.46697777777774,99.3725333333333,95.57483333333332,92.50092222222224,88.79078888888891,87.48641111111111,90.6686111111111,89.78805555555553,88.6648888888889,90.4325444444444,92.3224888888889,95.04779999999998,96.57392222222218,99.34647777777775,102.2825888888889,105.03946666666667,107.19982222222221,105.72148888888884,104.1683888888889,106.20747777777778,106.37064444444445,101.89193333333333,102.66682222222224,100.3011555555556,100.37523333333334,101.9714444444444,102.47917777777782,102.72350000000004,104.31823333333335,98.07604444444445,96.13088888888889,97.55411111111113,98.88869999999999,100.79173333333333,104.11292222222221,105.55135555555559
10 day,106.44599999999998,105.31099999999999,103.96300000000001,102.034,99.85,97.42600000000002,95.978,94.699,93.30600000000001,91.005,90.0,90.668,91.49099999999999,92.42399999999999,93.784,95.402,97.51400000000001,98.92800000000001,100.05,103.58500000000001,105.23000000000002,105.11299999999999,103.83599999999998,103.45599999999999,103.021,102.74600000000001,102.494,102.218,101.98400000000001,101.698,101.137,100.89299999999999,100.74499999999999,100.621,100.692,100.953
10 min,100.0039,98.776,96.17930000000001,92.84729999999999,88.473,88.127,90.52000000000001,88.94650000000001,88.54249999999999,91.40539999999999,92.2133,95.182,96.254,99.7945,102.43299999999999,105.0895,106.793,106.171,104.10800000000002,105.76599999999999,106.5221,101.44500000000001,102.1695,100.275,100.14250000000001,102.1175,102.73600000000002,102.97049999999999,104.48450000000003,98.2159,96.27000000000001,97.76050000000001,98.5859,101.0005,103.99179999999998,105.5465
100 day,121.66062199999995,121.33684299999996,120.99116399999996,120.58663399999996,120.12813099999995,119.66482499999995,119.25027099999996,118.80634699999995,118.37738499999996,117.48603599999997,116.277721,115.89489899999998,115.54781999999999,115.202019,114.91245500000001,114.62733200000001,114.52076400000001,114.38005500000001,114.22059400000002,113.69819200000002,113.39280300000001,113.18147,112.59103100000002,112.38458000000003,112.18432000000003,112.033629,111.921204,111.824859,111.75050800000001,111.212171,110.96222699999998,110.715294,110.455984,110.181816,109.954328,109.72526000000002
125 day,122.98411759999996,122.84643279999996,122.69434159999997,122.45749119999998,122.14736639999997,121.81655599999995,121.55364479999994,121.26356559999995,121.00301759999995,120.37535439999995,119.46817439999998,119.19177199999997,118.90732319999996,118.62932559999997,118.35939679999997,118.12962159999996,117.94011119999998,117.74915279999996,117.53349279999996,116.93166479999995,116.53059439999997,116.29517119999997,115.52145999999998,115.26741679999999,115.0013176,114.76606799999999,114.53027439999998,114.27978879999998,114.07203919999998,113.27367919999999,112.99953599999998,112.70633519999998,112.443084,112.1835456,112.07461119999999,111.95700400000001
15 min,100.06960000000001,98.84,96.10613333333335,92.74553333333331,88.41600000000001,88.15800000000003,90.44200000000001,89.02233333333334,88.50553333333332,91.1976,92.29553333333335,95.03533333333334,96.26899999999999,99.78866666666664,102.34933333333332,105.17966666666666,106.85133333333334,106.10200000000002,104.199,105.77066666666664,106.4814,101.47133333333333,102.23933333333335,100.29066666666667,100.11100000000002,102.11566666666667,102.61833333333334,102.94566666666668,104.50200000000001,98.20093333333335,96.22966666666667,97.76266666666668,98.54326666666667,101.013,104.04186666666668,105.63319999999999
150 day,123.00037599999996,122.7496333333333,122.52915266666663,122.3242833333333,122.0888226666666,121.82078333333324,121.54661733333324,121.2345359999999,120.93106599999992,120.32605599999992,119.68136599999993,119.5112346666666,119.33539533333327,119.19825999999993,119.11411599999995,119.07071799999993,119.04058399999994,119.00159333333328,118.93642999999994,118.73133399999993,118.58962733333331,118.4971513333333,118.00513,117.85070400000002,117.68317133333335,117.55598133333334,117.40166266666665,117.22192866666667,117.048538,116.45794333333332,116.22383599999996,115.9783713333333,115.72709733333329,115.50941799999995,115.3317593333333,115.16842733333328
175 day,123.13592457142855,123.00041485714283,122.84207999999997,122.70749428571425,122.56805028571424,122.40182114285706,122.25563428571421,122.10161542857135,121.9326662857142,121.57300914285706,120.96882914285707,120.78239028571421,120.61562171428564,120.47028171428565,120.33399028571422,120.21676628571421,120.09524514285708,119.97194628571422,119.83237657142851,119.44544799999993,119.11477142857139,118.95515942857138,118.55324285714278,118.37367199999993,118.16977371428565,117.98674228571421,117.79619428571422,117.63016228571423,117.48838399999995,117.12231542857137,116.97411028571423,116.84473714285708,116.75004228571423,116.69038685714281,116.6476434285714,116.61062285714284
