,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-31,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,142.84178333333332,145.30105,144.46130000000002,144.7020333333333,139.72993333333335,143.84946666666667,134.6432666666667,133.52239999999998,132.92053333333334,130.27056666666667,135.6129,131.5560166666666,137.45666666666668,138.2628,142.15495000000007,144.0636166666666,144.24658333333338,143.67131666666668,146.0963833333334,147.85453333333334,147.77680000000004,146.98323333333337,144.09841666666665,145.64015,149.03026666666665,147.343,143.90033333333332,167.25986666666674,166.29828333333333,168.74998333333335,171.18601666666666,170.5001,165.78281666666666,166.75218333333325,165.8430833333334,165.37878333333336,164.59414999999998,163.96381666666665,161.83875
1 min,142.11,144.37,145.02,144.05,140.34,143.67,133.25,133.41,134.15,131.31,135.68,132.04,137.92,138.006,142.55,144.23,144.24,143.77,145.39,147.46,148.3,147.82,144.29,145.72,148.98,147.5,144.18,166.63,165.72,169.25,171.15,170.5,166.44,167.33,165.87,164.97,164.05,163.92,162.46
1.5 hr,142.81498888888888,145.2245555555555,144.27486666666667,144.71269999999998,140.28201111111105,143.88133333333334,135.26231111111116,133.55023333333335,132.6390111111111,130.34921111111115,136.04854444444447,131.69629999999995,137.41865555555552,138.21115555555556,142.15890000000005,143.85542222222216,144.15871111111116,143.72432222222227,145.92204444444445,147.86104444444442,147.72210000000004,147.06725555555556,143.95153333333332,145.53396666666663,149.14629999999988,147.32845555555554,143.92817777777773,167.47163333333336,166.43985555555554,168.7186888888889,171.08031111111111,170.35895555555555,165.8503444444444,166.82962222222218,165.76288888888894,165.67945555555553,164.74978888888893,164.02675555555552,161.7461555555556
10 day,139.10500000000002,140.055,140.88,141.41799999999998,141.376,141.633,141.164,140.541,136.725,133.249,132.79800000000003,131.60600000000002,132.07700000000003,132.542,134.3,136.317,137.31900000000002,138.247,139.466,142.43800000000002,144.094,146.25500000000002,146.43200000000002,146.592,147.07299999999998,147.44,147.32,149.382,151.123,153.04399999999998,155.40299999999996,158.022,160.07700000000003,161.90900000000002,163.741,165.82600000000002,167.191,166.917,166.596
10 min,142.1445,145.0232,144.8358,144.53599999999997,139.8503,144.3675,133.66379999999998,133.0591,133.9063,130.3825,135.5566,131.64219999999997,137.82000000000002,138.1442,142.4499,144.02540000000005,144.23969999999997,143.7528,145.60049999999998,147.5288,147.9943,147.204,144.0609,145.6966,149.1679,147.28699999999998,143.9502,167.173,165.9401,169.0485,171.06869999999998,170.6325,165.9875,166.97799999999998,165.855,164.8711,164.0351,164.02939999999998,162.2096
100 day,161.13965000000002,160.48525000000004,159.82625000000004,159.12015000000002,158.34705000000002,158.02105000000003,157.60455000000005,157.22795000000005,155.85385000000005,154.36915000000005,153.87415000000004,153.36065000000005,152.93755000000002,152.51755000000006,152.13175,151.77875000000003,151.47375000000002,151.17375,150.90265000000002,150.40495,150.15895000000003,149.61400000000003,149.29440000000005,148.99370000000005,148.70740000000006,148.42480000000006,148.15510000000006,148.02910000000006,148.05580000000006,148.10650000000004,148.15870000000004,148.24360000000004,148.29380000000006,148.34390000000005,148.39600000000007,148.44340000000005,148.45350000000005,148.43280000000007,148.42850000000004
125 day,169.12724000000006,168.70876000000007,168.30204000000006,167.86804000000006,167.40964000000005,166.94292000000004,166.39684000000003,165.85012000000003,164.18612000000002,162.67332000000005,162.21692000000007,161.68324000000004,161.16100000000003,160.62748000000005,160.1394,159.67291999999998,159.17116000000001,158.663,158.16828,157.1854,156.70708,155.72116,155.15820000000002,154.58484,154.36684000000002,154.14748000000003,153.93252,153.71556,153.63028,153.56204000000002,153.44580000000002,153.33924000000002,153.18884000000006,153.06276000000003,152.94700000000006,152.82692000000003,152.69060000000005,152.56596000000002,152.46836000000002
15 min,142.28066666666666,145.18046666666666,144.86793333333333,144.51793333333333,139.6248,144.464,133.91233333333332,133.28606666666667,133.7493333333333,130.314,135.4834,131.5812,137.819,138.16366666666667,142.37293333333335,144.01953333333333,144.27559999999997,143.73146666666668,145.70166666666668,147.60213333333334,147.97486666666666,147.26146666666668,144.1106,145.6244,149.1566,147.28666666666666,143.91813333333337,167.17753333333337,166.044,169.0074,171.01313333333334,170.61833333333334,165.96966666666668,166.85999999999999,165.93306666666666,164.9370666666667,164.13253333333336,164.0588666666667,162.2595333333333
150 day,172.22063333333335,171.96623333333338,171.69610000000006,171.40990000000005,171.1002333333334,170.8291666666667,170.49610000000004,170.1603666666667,169.04183333333336,167.98223333333337,167.64850000000007,167.2756333333334,166.91676666666672,166.5438333333334,166.20550000000003,165.8807666666667,165.56650000000005,165.27063333333336,164.97923333333338,164.39623333333336,164.1021666666667,163.46850000000003,163.10843333333335,162.76403333333334,162.4107666666667,162.0505666666667,161.6669,161.14530000000002,160.94443333333334,160.7645666666667,160.6101666666667,160.43103333333335,160.25536666666673,160.04790000000003,159.79830000000004,159.53363333333334,159.2705,159.01323333333332,158.7171
175 day,171.5375142857143,171.4769428571429,171.39505714285718,171.31997142857148,171.21860000000004,171.0964285714286,170.90740000000002,170.73328571428573,170.07717142857143,169.4947142857143,169.32237142857147,169.1626571428572,169.0384285714286,168.83208571428577,168.65460000000002,168.4959142857143,168.32642857142858,168.1420285714286,167.9784285714286,167.64648571428572,167.4715142857143,167.06820000000002,166.82425714285716,166.59105714285718,166.38928571428573,166.18511428571432,165.95900000000003,165.67294285714289,165.56957142857144,165.46871428571433,165.38431428571428,165.30185714285716,165.1912285714286,165.07500000000005,164.92648571428577,164.76105714285717,164.59414285714288,164.42848571428573,164.26368571428574
