,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-08,2019-01-09,2019-01-15,2019-01-22,2019-02-07,2019-02-14,2019-02-15
1 hr,49.0918,48.95266666666665,48.97923333333335,48.658749999999976,48.44075000000001,48.113450000000014,47.79435,46.78185,47.129683333333325,47.73950000000001,47.325,47.28068333333333,47.72796666666668,48.351516666666704,48.49866666666664,48.272150000000025,48.28128333333334,49.11816666666663,49.61909999999998,49.976299999999995
1 min,49.005,48.91,48.89,48.78,48.49,48.19,47.72,46.57,47.53,47.8,47.47,47.19,47.78,48.34,48.49,48.33,48.4,49.18,49.63,50.01
1.5 hr,49.10537777777778,48.953277777777735,48.99083333333335,48.68307777777777,48.444388888888895,48.20172222222224,47.8035111111111,46.861000000000004,47.03855555555556,47.72683333333333,47.36236666666666,47.1864,47.76136666666668,48.3541666666667,48.476899999999965,48.24027777777778,48.28198888888891,49.115199999999966,49.6262888888889,49.96245555555554
10 day,49.103,49.106,49.07300000000001,48.997,48.908,48.835,48.685,48.446,47.995999999999995,47.647000000000006,47.517,47.385000000000005,47.34400000000001,47.541,47.788,48.075,48.324,49.001,49.21900000000001,49.311
10 min,48.979499999999994,48.9877,48.908,48.6695,48.55799999999999,48.19799999999999,47.669999999999995,46.6205,47.3665,47.6725,47.41199999999999,47.228,47.752,48.3375,48.464,48.294000000000004,48.25949999999999,49.1391,49.607000000000006,49.9884
100 day,45.74592099999998,45.78007099999998,45.81571499999998,45.897249999999985,45.93317599999997,45.96978599999998,46.00358899999999,46.02718799999998,46.07419899999999,46.158674999999995,46.185594999999985,46.208619000000006,46.239038,46.308868999999994,46.347383,46.494355,46.644186,47.17370000000001,47.42670000000001,47.488
125 day,46.01612159999999,46.05356079999999,46.08988399999999,46.16403599999999,46.17357439999997,46.17633039999997,46.17293679999998,46.16416799999997,46.14974879999997,46.12155919999997,46.118635199999964,46.112275199999985,46.10864399999997,46.09487199999997,46.104967199999976,46.16477919999998,46.24361199999998,46.65455600000001,46.83958640000001,46.88024800000001
15 min,48.99166666666666,49.000466666666654,48.91166666666666,48.643666666666675,48.554333333333325,48.160000000000004,47.690333333333335,46.65366666666667,47.327933333333334,47.699,47.370666666666665,47.245533333333334,47.737333333333346,48.33466666666667,48.46500000000001,48.29299999999999,48.276399999999995,49.135400000000004,49.60500000000001,49.99626666666666
150 day,44.727494666666665,44.80636666666666,44.883778,45.03779666666666,45.11313799999998,45.18402266666665,45.25469533333332,45.31790133333332,45.44219733333332,45.631241999999986,45.69374133333331,45.75430733333332,45.81940399999998,45.95207466666664,46.017987333333316,46.26223933333331,46.40076999999999,46.52059599999998,46.55553933333332,46.57667599999998
175 day,43.49289542857141,43.56943485714284,43.644096571428555,43.79944628571427,43.87284628571426,43.945327999999975,44.01279085714284,44.07186171428569,44.18745028571427,44.381245142857125,44.44745028571426,44.51490057142856,44.58230799999998,44.72379828571427,44.7954897142857,45.0720617142857,45.32255257142857,46.098978285714274,46.41661771428571,46.48134514285713
2 day,49.015,48.965,48.92,48.785,48.635000000000005,48.345,47.959999999999994,47.165,46.765,47.7,47.625,47.325,47.480000000000004,48.15,48.415,48.34,48.375,49.144999999999996,49.445,49.825
2 hr,49.09095833333335,48.98074999999997,48.97693333333332,48.71568333333334,48.47073333333334,48.26635833333335,47.743075000000005,46.921416666666666,46.99589166666667,47.700991666666674,47.38961666666666,47.13824999999999,47.785225,48.35847500000003,48.455758333333286,48.235199999999985,48.302408333333325,49.104149999999976,49.6256,49.94350000000005
2.5 hr,49.08189999999999,49.01669999999998,48.994279999999975,48.74194000000002,48.49474666666671,48.33248666666668,47.72149333333332,46.97672000000001,46.96609333333334,47.68309333333334,47.41427999999999,47.108480000000014,47.803326666666656,48.36281333333337,48.445893333333316,48.23862666666665,48.31353999999999,49.096626666666644,49.62866,49.91730000000007
20 day,48.57249999999999,48.638999999999996,48.72099999999999,48.83849999999999,48.87699999999999,48.85949999999999,48.83049999999999,48.733499999999985,48.549499999999995,48.334999999999994,48.25699999999999,48.146499999999996,48.0895,47.9935,47.965999999999994,47.861000000000004,47.8445,48.676500000000004,48.930499999999995,49.028499999999994
