,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,1055.5651166666667,1059.1030500000002,1044.6972333333333,1014.677816666667,1031.2821999999999,1021.7202833333334,1009.6699666666667,1024.76555,1042.4534333333334,1017.4939666666667,1066.1166166666665,1067.4934833333339,1076.0109666666665,1075.4424166666665,1068.741133333334,1056.658716666667,1045.6449833333334,1082.362933333333,1085.0000499999996,1097.4224500000003,1072.89245,1071.3567333333333,1088.5287499999997,1070.3592333333333,1060.64875,1087.5085,1114.5078499999997,1112.6562166666665,1142.7389833333334,1115.9871833333334,1094.5404833333334,1095.3525,1122.3380666666667,1124.0892,1122.5528833333333,1112.5598333333332
1 min,1051.31,1062.5,1041.42,1017.82,1028.45,1022.99,1009.41,1039.23,1045.86,1015.19,1070.71,1068.39,1076.53,1074.54,1069.22,1057.17,1044.48,1080.77,1091.29,1098.25,1075.85,1074.33,1090.99,1070.25,1060.23,1089.42,1116.18,1110.23,1146.0,1115.23,1095.08,1095.01,1121.215,1120.58,1121.63,1113.619
1.5 hr,1054.1981444444443,1058.0943666666665,1044.497011111111,1017.0105111111109,1032.346911111111,1027.0712333333329,1009.7506666666669,1021.434766666667,1044.305088888889,1018.1727222222225,1066.3991444444446,1066.2827,1075.5581777777777,1074.977366666667,1067.844122222223,1056.2135333333333,1045.734111111111,1082.4578888888884,1084.8020222222221,1096.8553555555557,1071.9001555555556,1069.9719555555553,1088.2074999999995,1070.686688888889,1060.5101444444442,1087.2540555555554,1114.7116333333333,1112.4062777777774,1140.0243111111115,1115.2832333333329,1095.0959777777778,1095.1185888888888,1122.6393555555549,1124.882244444445,1123.380077777778,1112.9772666666663
10 day,1066.723,1066.217,1061.5970000000002,1053.807,1046.0349999999999,1043.254,1037.322,1024.056,1021.8770000000001,1020.6120000000001,1025.382,1031.28,1040.954,1050.798,1053.8850000000002,1055.2160000000001,1055.977,1063.6429999999998,1071.027,1073.7820000000002,1073.9240000000002,1073.8480000000002,1075.9140000000002,1077.203,1078.7959999999998,1079.9869999999999,1083.5269999999998,1085.6119999999999,1096.6129999999998,1100.5790000000002,1103.467,1105.9599999999998,1112.0349999999996,1115.145,1115.675,1115.965
10 min,1053.1183999999998,1062.1342,1043.5172,1013.5075,1032.3867,1025.4127,1006.403,1036.0119,1043.2831,1016.5169999999998,1068.1770999999999,1067.5086,1075.2902,1074.2442000000003,1070.0741,1057.7542,1043.7323000000001,1081.1119000000003,1087.1736,1096.1610000000003,1073.4307000000001,1073.2692,1089.9451999999999,1068.9314,1060.0201000000002,1088.1358,1116.0588,1111.505,1145.6484,1117.5329,1093.4796000000001,1096.1925000000003,1121.1852,1119.6155000000003,1122.15,1112.2256999999997
100 day,1144.6174000000005,1141.9691000000007,1139.9093000000005,1137.4376000000004,1135.0414000000005,1132.8865000000003,1130.7832000000003,1124.1012000000003,1116.3623000000002,1114.0319000000002,1112.3629000000003,1110.6967000000002,1109.0385000000003,1107.6413000000002,1106.2797000000003,1104.842,1103.2112000000002,1100.7029000000002,1099.5481000000002,1098.3242000000002,1095.0554000000004,1093.3014000000005,1091.8201000000006,1090.3390000000006,1088.9752000000005,1088.0010000000004,1087.4503000000007,1086.9095000000007,1086.2774000000009,1085.8015000000007,1084.2606000000007,1083.6502000000005,1083.2517000000005,1082.7424000000005,1082.0904000000005,1081.5660000000007
125 day,1146.0889600000005,1144.6585600000005,1143.6076800000005,1142.3954400000005,1141.2664000000007,1140.1892000000005,1139.0206400000004,1136.2044000000003,1133.822,1132.95632,1132.40064,1131.7153600000001,1131.1028800000004,1130.4689600000002,1129.5637600000002,1128.51072,1127.3973600000002,1125.5048800000002,1124.7284000000002,1124.0352000000005,1121.5752800000005,1120.0568800000003,1118.6381600000004,1117.2908000000004,1116.0178400000007,1114.9922400000003,1114.1631200000004,1113.2399200000004,1111.8824000000006,1110.8664800000006,1108.4589600000004,1107.3181600000005,1106.4090400000002,1105.4335200000003,1104.6918400000002,1103.9491200000004
15 min,1053.9480666666664,1062.2612666666669,1043.2874666666667,1012.4103333333335,1033.7856666666667,1023.9171333333335,1007.3669333333331,1034.2772666666667,1042.3498,1016.8158666666665,1067.9661999999998,1067.7767999999999,1075.3374,1073.9606,1069.7804,1057.9448000000002,1043.2968666666668,1081.3022666666668,1086.8690666666669,1096.9446666666668,1073.6046000000001,1072.8981333333331,1090.0294666666666,1068.9508666666668,1060.0804,1088.2014000000001,1115.8036666666667,1112.2733333333335,1145.0991333333334,1117.6588666666669,1093.4357333333332,1096.1440000000002,1121.5110666666665,1120.2396,1122.3574666666668,1112.6868666666667
150 day,1138.1802000000005,1137.8152000000005,1137.4408000000003,1136.883,1136.5462000000002,1136.1544666666668,1135.693266666667,1134.2236000000003,1133.3403333333333,1132.9954,1132.9002000000003,1132.5594666666668,1132.1394000000003,1131.7060666666666,1131.2624,1130.8179333333333,1130.3100666666667,1129.5688,1129.2695333333334,1128.910466666667,1127.7129333333335,1127.0852000000002,1126.5595333333335,1125.975666666667,1125.3432666666668,1125.1049333333333,1125.0910000000001,1125.1361333333334,1125.462266666667,1125.3807333333336,1125.1581333333334,1124.8570666666665,1124.6391999999998,1124.4213333333332,1124.2064666666665,1123.7409333333333
175 day,1123.9948000000006,1124.4098285714292,1124.6101714285721,1124.6163428571433,1124.5996000000005,1124.6169714285718,1124.4849714285717,1123.6496000000002,1122.862342857143,1122.839942857143,1123.1229714285716,1123.2849714285715,1123.5491428571431,1123.876742857143,1124.0654285714288,1124.2529142857143,1124.3727428571428,1124.6877142857143,1124.8933714285713,1124.981942857143,1124.6977142857143,1124.5474285714286,1124.6146285714283,1124.5478285714285,1124.4451428571429,1124.574857142857,1124.7850857142857,1125.0194857142858,1125.7044,1125.9305142857145,1126.3056571428572,1126.3629142857142,1126.3736,1126.2642857142855,1126.1614857142854,1126.0287428571428
2 day,1045.65,1062.79,1052.0,1029.315,1022.62,1025.8600000000001,1016.21,1007.84,1040.73,1030.955,1043.385,1069.5500000000002,1072.335,1075.47,1072.495,1063.76,1050.94,1079.06,1085.435,1094.08,1073.045,1074.7350000000001,1082.4450000000002,1080.5349999999999,1065.35,1074.84,1102.715,1113.56,1139.395,1130.6100000000001,1096.885,1095.0349999999999,1108.19,1120.7649999999999,1120.915,1117.66
2 hr,1051.5329666666667,1058.3282583333335,1045.1263083333336,1018.2612833333334,1034.870658333333,1029.7079666666664,1007.8807083333337,1019.6161666666671,1045.133908333334,1018.353391666667,1066.8249333333329,1065.7906999999998,1075.2757250000002,1075.1968416666673,1067.711166666667,1055.401525,1045.8136916666663,1082.230716666666,1083.4994499999998,1097.973666666667,1071.5758166666667,1069.063283333333,1088.2761249999996,1070.6353250000004,1061.19345,1085.7224583333332,1114.8311500000002,1112.4239333333333,1138.3472500000003,1115.226183333333,1095.1218666666662,1095.2423833333332,1122.6430999999995,1125.4777666666669,1123.8940250000003,1112.877058333333
2.5 hr,1050.0982799999997,1059.1681800000003,1045.460306666667,1019.6322399999999,1036.2369066666665,1033.3918933333332,1008.3223466666672,1018.7410066666667,1045.9365933333333,1019.0117933333337,1066.825693333333,1065.5450733333332,1074.4812600000002,1075.414340000001,1066.6528,1054.6647799999996,1046.402506666666,1081.9487799999995,1082.7088333333331,1099.0210333333332,1071.1090399999998,1068.2804866666663,1088.5282733333333,1071.2199066666672,1061.78806,1083.480493333334,1114.095253333334,1112.5295399999998,1136.1596066666664,1116.0104866666663,1094.7953266666664,1095.35362,1122.0729266666656,1126.060346666667,1124.3822733333334,1112.777526666666
20 day,1053.382,1055.9270000000001,1055.8489999999997,1053.44,1051.801,1051.9515,1051.134,1045.3894999999998,1037.842,1033.3235,1034.3179999999998,1034.3010000000002,1036.286,1038.0414999999998,1038.9705,1038.6459999999997,1037.7854999999995,1042.7599999999998,1045.8195,1049.582,1057.439,1062.323,1064.8995,1066.2095000000002,1067.3865,1070.0589999999997,1073.5849999999998,1078.3194999999998,1085.3039999999999,1087.2515,1089.6905000000002,1091.5814999999998,1095.4155,1097.5660000000003,1099.601,1100.7885
20 min,1054.6468499999996,1062.0064500000003,1043.2236500000001,1011.7793500000001,1033.3406,1021.7936000000002,1008.5587499999998,1032.9643,1041.5938499999997,1016.9574999999999,1067.3797,1067.6264999999999,1075.4336999999998,1074.0244500000001,1069.62905,1057.8949000000002,1043.4834500000002,1081.2948000000001,1086.8096,1097.7839500000002,1073.5477999999998,1072.5447499999998,1090.04105,1069.02365,1060.2593,1087.8246,1115.66575,1112.80285,1145.0444,1117.4619,1093.6263,1095.8104500000004,1122.0159999999998,1121.2631999999999,1122.72985,1112.7394
200 day,1119.3164500000007,1118.8292500000007,1118.6921500000008,1118.3802000000005,1118.0691000000008,1117.7088500000007,1117.2077000000006,1114.9311000000007,1112.8783500000004,1112.4595500000003,1112.3245500000005,1112.2121000000004,1112.3481000000006,1112.6135500000005,1112.6991500000006,1112.9596000000004,1113.1602500000004,1113.7595500000002,1114.1420000000003,1114.5076000000004,1115.0638000000004,1115.3560500000003,1115.6528,1115.9033500000003,1116.0439000000001,1116.34285,1116.7348000000002,1116.91775,1117.5128000000002,1117.7241500000002,1118.25585,1118.6249999999998,1119.03165,1119.4822,1120.0039,1120.3856
25 min,1055.2688799999999,1061.3149600000004,1043.53252,1011.5703600000002,1033.0842799999998,1021.02292,1009.4772399999998,1031.7716800000003,1040.9042,1017.6490399999999,1066.9245199999998,1067.72172,1075.72756,1074.18992,1069.5224800000003,1057.81912,1043.97516,1081.33432,1086.5994,1098.1172800000004,1073.7385599999998,1072.4117999999999,1089.7224,1069.23824,1060.3375599999997,1087.713,1115.5949999999998,1113.1488,1145.12512,1117.17172,1093.79764,1095.5269600000001,1122.4887999999999,1122.0723600000001,1122.8413199999998,1112.69724
3 hr,1049.7685388888888,1059.3188555555555,1045.9955500000005,1022.4205222222223,1037.696055555555,1035.9345388888892,1008.5650444444449,1017.2019611111111,1045.7672055555558,1019.7913944444449,1066.6494277777776,1066.021705555555,1073.4798666666668,1075.8190888888898,1066.1620777777778,1054.325522222222,1046.8789611111108,1082.1036166666663,1082.1489277777773,1099.9171222222217,1070.6304166666666,1067.6145611111106,1088.6281444444442,1071.0267611111115,1062.1951444444446,1082.333155555556,1113.8586444444447,1112.7453944444444,1134.5702777777778,1116.871338888889,1094.4407777777778,1095.741638888889,1121.5100833333327,1126.3672722222223,1124.7805833333337,1112.9563055555548
3.5 hr,1049.6647142857144,1059.6365857142857,1046.6402142857148,1025.343057142857,1038.9194761904755,1038.9771428571432,1009.1933000000001,1016.3881904761903,1044.786104761905,1020.6073238095241,1066.1842952380953,1066.4456523809517,1072.7884285714288,1075.9734523809534,1066.0926761904761,1054.4229285714284,1047.0740619047617,1082.09139047619,1081.9048047619042,1100.7523190476186,1070.0963142857145,1067.5317333333326,1088.7834142857141,1070.7629428571433,1062.5521809523814,1081.2004428571433,1113.631538095238,1112.8951285714286,1133.307619047619,1117.5287380952386,1094.2045904761908,1096.1810761904765,1121.2385285714279,1126.4163714285714,1125.1221761904765,1113.3749714285711
30 day,1055.5443333333335,1057.8540000000003,1056.6983333333333,1054.9160000000002,1053.9466666666667,1053.3773333333334,1051.8306666666667,1043.6066666666666,1042.919,1041.4046666666666,1043.0949999999998,1044.516,1045.805,1047.4976666666666,1048.2213333333334,1048.647333333333,1047.2626666666663,1046.4423333333332,1045.8913333333333,1047.4726666666666,1048.8319999999999,1049.977,1051.285,1051.4983333333334,1051.4556666666665,1053.0209999999997,1056.349,1059.0836666666667,1067.296,1071.8190000000002,1077.7553333333333,1079.4596666666664,1082.2693333333332,1085.0876666666666,1087.615,1090.868
30 min,1055.9080666666666,1060.9300333333338,1043.8788000000002,1011.3167333333336,1033.0695,1020.9754333333334,1009.6402666666665,1030.4531000000002,1040.3237333333332,1017.9552333333334,1066.5021000000002,1067.6825666666666,1075.9483666666665,1074.3595666666668,1069.5244000000002,1057.5253333333337,1044.3077999999998,1081.3620333333333,1086.5413333333333,1098.1610000000003,1073.7781333333332,1072.2540999999999,1089.3111000000001,1069.3355999999999,1060.4874666666665,1087.5917666666667,1115.5882333333332,1113.2227666666665,1145.0241666666666,1116.8307333333332,1093.9971000000003,1095.4234000000001,1122.8048666666664,1122.5796666666668,1122.7710999999997,1112.5314333333333
4 hr,1049.1417,1059.565225,1046.9181583333338,1028.3992958333333,1039.834929166666,1041.6374291666668,1009.4723041666665,1015.2703999999999,1043.0811541666674,1021.2281041666669,1065.4713583333332,1066.6828541666662,1072.2287958333336,1075.8323041666672,1065.9492583333335,1054.3777083333332,1047.2987541666664,1082.3653249999998,1081.6538583333331,1101.4513749999996,1069.0974458333337,1067.7546583333326,1088.9728874999998,1070.2375625000006,1062.777529166667,1080.0965125000005,1113.7079291666669,1113.3796416666669,1132.2443083333337,1117.757379166667,1094.0995958333335,1096.3439041666672,1121.2312499999996,1126.6206750000003,1124.9697416666666,1113.7681416666665
4.5 hr,1049.0670629629628,1060.2028222222225,1047.7414814814822,1030.2344740740741,1039.7612074074061,1043.2128,1009.0667481481483,1013.3517370370367,1042.1205148148156,1022.259537037037,1064.5872333333332,1066.56267037037,1071.4507851851854,1075.706255555556,1065.761903703704,1054.498374074074,1047.5064407407406,1082.7052222222221,1081.488325925926,1101.90767037037,1068.6320333333338,1067.720014814814,1089.1486851851853,1069.8428666666673,1062.7529592592593,1078.933148148149,1113.7440703703708,1113.8336222222229,1131.2629148148155,1118.621337037038,1094.0282666666672,1096.2177444444455,1121.3704962962959,1126.6544962962969,1124.5458185185184,1113.8162296296296
40 day,1065.0645000000004,1062.8657500000004,1061.0260000000003,1059.2400000000002,1057.54625,1055.5925000000002,1053.2355,1047.6722499999998,1046.65625,1045.6129999999998,1046.3785,1046.6930000000002,1046.2652500000002,1046.07175,1046.17625,1046.64025,1046.8562499999998,1048.1,1048.81025,1050.7667500000002,1052.8347500000004,1054.0852500000005,1055.1445000000003,1055.7862500000006,1055.1460000000002,1055.165,1055.7135000000003,1055.8215000000002,1059.8025000000002,1061.7687500000002,1064.3305000000003,1065.11375,1066.6005,1068.5520000000001,1071.1805,1073.304
45 min,1056.3865111111113,1060.1000000000004,1044.320177777778,1012.8825111111114,1032.4213555555552,1022.0201555555559,1010.3847999999999,1027.1135111111112,1041.4719999999998,1017.5642888888888,1066.0859777777773,1068.107044444445,1076.3701555555554,1075.257577777778,1069.2703111111116,1056.9260000000004,1045.0952666666667,1081.9697999999999,1085.4515999999996,1097.721688888889,1073.538111111111,1072.0094666666669,1088.9322666666665,1069.854488888889,1060.6814444444442,1087.2400666666667,1114.8280888888887,1112.978111111111,1143.858688888889,1116.475777777778,1094.3134666666667,1095.3971777777776,1122.9627777777775,1123.5972666666667,1122.4838444444442,1112.3237777777779
5 day,1049.486,1050.692,1051.796,1047.192,1042.584,1034.45,1023.952,1005.528,1040.376,1035.696,1041.062,1047.324,1055.458,1061.22,1072.074,1069.3700000000001,1064.6299999999999,1066.066,1069.98,1078.1940000000002,1083.044,1081.6299999999999,1081.848,1076.212,1074.232,1076.9299999999998,1085.4239999999998,1089.3759999999997,1118.994,1124.228,1117.558,1110.0,1105.0759999999998,1106.0620000000001,1110.654,1114.372
5 hr,1048.7405999999994,1060.7423366666662,1048.8587866666676,1031.6459966666666,1039.4719433333316,1044.3570166666664,1009.4015199999997,1010.9956333333333,1041.3635433333338,1022.8582433333331,1063.8021599999995,1065.612239999999,1071.0580766666671,1075.4880866666672,1065.6497066666668,1054.468343333333,1047.5596633333328,1082.7980866666667,1081.3879633333331,1102.3070500000001,1068.614730000001,1067.3766599999994,1089.3553933333333,1069.5329800000006,1062.5663533333332,1078.005713333334,1113.6297866666669,1114.102456666667,1130.190806666667,1119.7968900000012,1093.9713833333335,1096.2590233333342,1121.4099199999991,1127.1045166666675,1124.14808,1113.993873333333
