,2018-12-11,2018-12-12,2018-12-13,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,104.42321666666665,105.8453,103.86293333333332,100.08851666666668,97.79678333333335,96.05849999999997,94.76608333333328,94.03326666666668,96.28703333333331,96.88360000000006,98.16359999999999,102.56981666666668,106.05194999999996,106.70248333333329,107.7708333333333,108.9919,107.66956666666667,108.96878333333332,108.80891666666669,109.73470000000003,110.13613333333335,108.38713333333335,107.68868333333333,107.74193333333334,109.30633333333334,107.41704999999996,108.00231666666663,109.47568333333335,110.05768333333336,110.02023333333331,107.00613333333331,107.51523333333334,108.17576666666666,109.31701666666669,109.99178333333342,110.32013333333337,111.65011666666668
1 min,104.16,105.48,103.84,100.127,98.29,96.25,94.55,95.05,96.78,97.42,97.75,102.63,106.09,106.8,107.48,109.04,107.16,109.24,108.64,109.81,110.52,108.68,107.79,107.86,109.4,107.41,108.21,109.72,110.31,109.86,107.18,107.84,108.37,109.45,109.76,110.21,112.04
1.5 hr,104.30385555555551,105.80775555555552,103.78416666666668,100.31163333333338,97.80823333333338,96.52233333333328,94.71514444444443,93.7983555555556,96.17697777777778,97.01077777777783,98.22552222222221,102.60287777777783,105.9977,106.67673333333329,107.74319999999997,108.98515555555556,107.72467777777777,108.88362222222224,108.87640000000005,109.80544444444446,110.11545555555557,108.33881111111111,107.65140000000002,107.76107777777779,109.20590000000003,107.39594444444441,107.95922222222218,109.44826666666664,110.04080000000002,110.04315555555553,107.04955555555553,107.54680000000002,108.08074444444442,109.31298888888892,110.0000555555556,110.29435555555558,111.61354444444443
10 day,106.44000000000001,106.518,106.15299999999999,104.71199999999999,103.508,102.458,101.22599999999998,97.591,95.104,94.829,94.76199999999999,95.396,96.53900000000002,98.12800000000001,99.917,102.71099999999998,103.944,105.225,106.34,107.55499999999999,108.34699999999998,108.61999999999998,108.726,108.755,108.809,108.66399999999999,108.56000000000002,108.66399999999999,108.71199999999999,109.03,108.96400000000001,108.8,108.90800000000002,109.103,109.25800000000001,109.31099999999999,109.48799999999999
10 min,104.2105,105.625,103.898,99.95849999999999,98.4335,96.402,94.37199999999999,94.743,96.2775,97.21340000000001,98.07600000000001,102.56350000000002,106.12249999999999,106.79749999999999,107.38640000000001,109.069,107.3228,109.03100000000002,108.64370000000001,109.6982,110.25299999999997,108.444,107.766,107.75900000000001,109.33560000000003,107.3585,108.0288,109.684,110.2805,109.90899999999999,107.14800000000002,107.60549999999998,108.3237,109.36699999999999,109.79099999999998,110.19399999999999,111.83800000000001
100 day,113.334982,113.20750000000002,113.06481800000002,112.71375600000002,112.51867300000002,112.326983,112.13159000000002,111.36823600000001,110.70858400000002,110.50839999999998,110.311416,110.16992999999998,110.06454399999998,109.96025900000001,109.88176899999999,109.735895,109.64700699999997,109.56802199999998,109.47483899999997,109.399855,109.330871,109.22379200000002,109.101715,108.96434200000003,108.83877000000004,108.55482400000002,108.43154800000003,108.34456700000003,108.27018400000003,108.04413300000002,107.93205100000003,107.83266800000001,107.75428100000003,107.673697,107.59491400000003,107.50453500000002,107.43975400000004
125 day,113.3463976,113.3006984,113.24323760000001,113.0839152,112.96073040000002,112.83104800000001,112.69120080000002,112.27851280000002,111.9429792,111.83849679999999,111.72401760000001,111.614988,111.5286792,111.45005040000001,111.38014079999999,111.2319296,111.1496224,111.0768368,111.00045119999999,110.93222560000001,110.87016,110.79465440000001,110.713228,110.62116480000003,110.55413840000003,110.43615200000002,110.37008240000003,110.31049440000002,110.24850880000002,110.07078720000003,109.98768000000003,109.91137280000001,109.84450400000003,109.78763520000003,109.72820720000003,109.68717520000003,109.65358560000003
15 min,104.25033333333334,105.70620000000001,103.91500000000002,99.863,98.40299999999999,96.31946666666666,94.43346666666665,94.62913333333334,96.28846666666666,97.11493333333334,98.1900666666667,102.55166666666668,106.12766666666668,106.80966666666663,107.41059999999999,109.08066666666666,107.39346666666667,109.04799999999999,108.65980000000003,109.69313333333335,110.2202,108.47566666666667,107.77066666666666,107.71766666666669,109.33439999999999,107.38053333333333,108.02066666666666,109.6244,110.24633333333334,109.91966666666667,107.14553333333338,107.57966666666665,108.30646666666667,109.33333333333331,109.79999999999998,110.22099999999998,111.84733333333334
150 day,112.42813866666665,112.44057066666666,112.44280200000001,112.36467466666669,112.31073800000003,112.23647866666668,112.15082,111.85029066666665,111.61577533333335,111.55311133333332,111.48186333333331,111.44374799999997,111.41931466666664,111.40467333333333,111.39483266666664,111.38150666666665,111.36314333333331,111.35944533333333,111.34562399999997,111.342198,111.33738199999998,111.32169799999998,111.30547133333333,111.27839600000004,111.24994200000003,111.18506733333335,111.17297133333334,111.173968,111.19369400000001,111.20574933333334,111.1828806666667,111.1552146666667,111.10295666666673,111.05389933333336,111.00837533333339,110.96825066666672,110.92772933333336
175 day,111.25636514285715,111.25504171428572,111.25444457142859,111.24657885714288,111.20536800000004,111.15426742857146,111.08580914285716,110.84201771428569,110.6635377142857,110.6228891428571,110.59171199999994,110.5886491428571,110.59360571428566,110.60113657142853,110.62413428571422,110.69001028571421,110.7246422857142,110.76499885714279,110.79827599999992,110.84143314285707,110.88060342857133,110.91011599999992,110.91817028571421,110.91983542857139,110.93720399999995,110.93704571428566,110.94036914285707,110.96030742857135,110.98162057142851,111.03060742857136,111.03192399999996,111.02891142857138,111.02932685714283,111.02798399999998,111.03257714285715,111.03968514285715,111.04943485714286
2 day,103.995,104.825,104.685,101.09,99.28,97.25999999999999,95.38499999999999,92.21000000000001,95.635,96.965,97.57,100.095,104.27,106.37,107.125,108.95500000000001,108.09,108.205,108.945,109.22,110.13,109.595,108.265,107.80000000000001,108.61500000000001,107.36500000000001,107.83500000000001,108.945,109.97999999999999,109.97,108.505,107.465,108.07,108.88,109.58500000000001,109.985,111.13
2 hr,104.08854166666661,105.84577499999999,103.72456666666663,100.42922500000009,97.93218333333336,96.9085916666666,94.51400000000004,93.69385000000004,96.1157166666667,97.07766666666674,98.29634166666665,102.6118833333334,106.03384999999997,106.66444999999996,107.74020833333329,108.97316666666671,107.74075,108.90813333333334,108.88972500000007,109.75441666666669,110.13600833333332,108.395075,107.67305000000003,107.77899999999998,109.162325,107.38799166666662,107.84733333333331,109.41846666666666,110.01073333333332,110.06132500000002,107.07171666666665,107.57335000000002,108.07285,109.31882500000005,109.96754166666668,110.26015000000002,111.55732499999998
2.5 hr,103.96751999999994,105.92260666666665,103.72781333333329,100.56658666666677,98.03201999999999,97.34675999999995,94.49390000000001,93.63436666666666,96.1342066666667,97.14989333333337,98.33622666666665,102.62902666666672,106.11016666666666,106.62696666666665,107.72394666666663,108.89539333333336,107.77891333333334,108.9506133333333,108.87962000000007,109.72209333333335,110.15339999999999,108.45998,107.62605999999997,107.7678533333333,109.13825333333331,107.38568666666661,107.66587333333334,109.3567533333333,109.99412,110.1065333333334,107.14934666666664,107.53904666666664,108.08764,109.31249333333338,109.94603333333338,110.22883999999998,111.49719999999996
20 day,104.998,105.04950000000001,105.04249999999999,104.848,104.511,104.18149999999999,103.80049999999999,102.0155,100.35050000000001,99.77050000000001,99.13500000000002,98.92700000000002,98.88250000000002,99.03800000000001,99.22200000000001,99.63499999999999,99.79899999999999,100.16449999999999,100.58449999999999,101.15849999999999,101.87149999999998,102.57949999999998,103.42699999999999,104.33600000000001,105.0675,106.304,106.89250000000001,107.502,108.1335,108.878,108.85950000000003,108.8045,108.771,108.88349999999998,108.90900000000002,108.9875,109.09999999999998
20 min,104.28115,105.7728,103.91725000000001,99.82829999999998,98.32579999999999,96.19835,94.55959999999999,94.56635,96.37010000000001,97.00670000000002,98.21455,102.51975000000002,106.10650000000001,106.81774999999996,107.47295000000001,109.07000000000001,107.44305,109.04099999999998,108.66510000000001,109.71325000000002,110.21000000000001,108.53275,107.77799999999999,107.69560000000001,109.31759999999997,107.41585,107.98960000000002,109.5983,110.21975000000002,109.92659999999998,107.15765000000003,107.56524999999999,108.28105000000001,109.32549999999999,109.84925000000001,110.26124999999998,111.8145
200 day,111.02599100000003,111.00381850000004,110.98377900000006,110.91305400000005,110.85123800000005,110.77762400000005,110.69236550000004,110.363094,110.096261,110.02101049999997,109.95774099999997,109.91872199999996,109.89625399999996,109.89026499999996,109.90220199999995,109.92739799999995,109.93424049999994,109.94763949999995,109.97915299999994,110.01446949999995,110.03826149999993,110.06188899999994,110.09663999999995,110.12210649999997,110.14169699999997,110.15688299999997,110.16897549999995,110.19211199999994,110.20796549999994,110.27054549999991,110.28312799999995,110.30664799999994,110.33291799999995,110.35440499999996,110.37599449999996,110.40971749999997,110.45054399999995
25 min,104.33732000000002,105.79904,103.89496,99.82152,98.23207999999998,96.17012000000001,94.67079999999996,94.48931999999999,96.40944000000002,96.94092000000005,98.23484,102.50616000000002,106.10252,106.82419999999996,107.53224000000002,109.07875999999999,107.49143999999998,109.00979999999998,108.68288000000001,109.74196000000002,110.18799999999999,108.49979999999998,107.77540000000003,107.69532000000001,109.29607999999996,107.42692,107.979,109.59224,110.19752,109.92955999999998,107.11680000000003,107.55099999999997,108.26364,109.31776000000002,109.89504000000002,110.28784,111.77079999999998
3 hr,103.97055555555553,106.0111666666667,103.70196111111113,100.74660555555567,98.22683333333335,97.61413888888885,94.53101666666667,93.56212777777775,96.14757222222228,97.21360000000004,98.39977777777776,102.65377222222224,106.18506666666664,106.57611666666665,107.72849999999998,108.81398888888894,107.79745000000004,108.9410111111111,108.85418888888896,109.70311666666667,110.19277777777774,108.44426666666665,107.56386111111104,107.74515000000004,109.09603333333331,107.33846111111109,107.55693333333335,109.31987777777775,109.98548333333335,110.1193944444445,107.19680555555556,107.4944055555555,108.10893888888884,109.27708333333338,109.91598888888888,110.21741666666664,111.45636111111114
3.5 hr,104.00254285714284,106.04027142857144,103.70476666666667,100.91066190476198,98.39362380952385,97.86659999999992,94.56722857142859,93.52360476190474,96.1547190476191,97.20216190476195,98.49393333333329,102.65202857142854,106.19536190476188,106.5026619047619,107.73785714285717,108.77671428571438,107.82050476190481,108.93101904761903,108.84757619047625,109.70308571428569,110.22344761904759,108.48103809523805,107.52600476190469,107.74581904761911,109.04770476190473,107.31470476190476,107.47136666666668,109.30842380952382,109.9868476190476,110.10484285714296,107.21811904761901,107.42999523809523,108.13592380952379,109.23831904761906,109.89041428571427,110.22171904761903,111.4309380952381
30 day,105.73000000000003,105.82566666666669,105.83433333333336,105.50233333333335,105.17600000000002,104.78200000000001,104.31733333333335,102.52900000000001,101.73,101.50833333333334,101.26133333333333,101.25299999999999,101.37999999999998,101.51166666666664,101.65466666666664,101.92933333333332,101.91699999999999,101.97533333333332,101.96033333333331,101.94166666666666,102.06699999999998,102.12833333333332,102.26733333333333,102.39966666666668,102.57533333333332,102.75399999999999,102.96300000000001,103.27766666666666,103.67633333333333,105.29466666666666,105.87866666666667,106.31166666666667,106.751,107.237,107.68100000000001,108.105,108.585
30 min,104.40193333333333,105.80866666666667,103.89846666666666,99.81963333333333,98.14706666666667,96.14886666666666,94.72036666666665,94.40679999999998,96.42779999999999,96.89013333333337,98.25283333333331,102.51503333333336,106.0872,106.8185333333333,107.59453333333335,109.06396666666666,107.52656666666665,108.99599999999997,108.70270000000001,109.76443333333334,110.16870000000002,108.4739333333333,107.76583333333335,107.69493333333334,109.2783333333333,107.43713333333334,107.96866666666666,109.58120000000001,110.17810000000001,109.93496666666664,107.08386666666668,107.54616666666665,108.2537,109.31986666666668,109.93140000000002,110.3041,111.73566666666666
4 hr,104.02854166666664,106.06313750000001,103.72256666666662,101.16072916666673,98.52479583333334,98.0692291666666,94.51778333333338,93.4315333333333,96.14940000000001,97.14035833333335,98.5654833333333,102.6072124999999,106.19797083333336,106.4392583333333,107.7304208333334,108.74193750000009,107.82037500000004,108.92657916666661,108.8430458333334,109.68509999999996,110.23512083333331,108.48421249999994,107.44719166666658,107.77510833333342,109.00987499999995,107.29494583333332,107.39860416666671,109.34338749999999,110.0326333333333,110.08250416666675,107.20819999999996,107.3414,108.15896666666663,109.22254583333331,109.87518333333333,110.21559166666664,111.41514583333336
4.5 hr,104.09484814814813,106.09032222222223,103.79628148148147,101.34882592592601,98.5991888888889,98.18402222222214,94.47911111111115,93.25956296296296,96.11497037037039,97.1112703703704,98.6813296296296,102.55029259259253,106.17831111111111,106.33277407407404,107.70517037037044,108.709388888889,107.82651481481484,108.87989629629622,108.86978518518526,109.6669,110.20935925925924,108.49841481481475,107.44997037037028,107.79668888888894,108.97892962962962,107.27022962962964,107.29725185185191,109.37052962962964,110.06008518518514,110.08365555555565,107.19423333333329,107.27380370370372,108.13833333333325,109.19899629629626,109.84458888888886,110.18269999999998,111.39354444444444
40 day,106.61925000000001,106.50400000000002,106.2325,105.59475000000005,105.27200000000002,104.93675000000003,104.57350000000004,103.69525000000003,103.09825000000001,102.83400000000002,102.57250000000002,102.4355,102.37275000000001,102.26575,102.199,102.34225,102.42075,102.60374999999999,102.71624999999997,102.83474999999999,103.02649999999997,103.18999999999997,103.31524999999996,103.42974999999998,103.5415,103.60374999999999,103.62150000000001,103.63624999999999,103.63425,103.958,104.04075,104.13149999999999,104.203,104.34124999999999,104.53675000000001,104.78600000000002,105.12925
45 min,104.47484444444443,105.81711111111112,103.89933333333335,99.93917777777777,97.9448666666667,96.14404444444442,94.81597777777776,94.19164444444444,96.35486666666665,96.8761333333334,98.22575555555552,102.5559777777778,106.1137333333333,106.75875555555554,107.7281111111111,109.00982222222223,107.61831111111113,108.98742222222221,108.77726666666669,109.74162222222223,110.15113333333335,108.44648888888892,107.74093333333333,107.72733333333335,109.32826666666665,107.44068888888883,107.96824444444442,109.51273333333336,110.10604444444445,109.97864444444444,107.03462222222223,107.53548888888888,108.23144444444445,109.3241777777778,109.97306666666671,110.3228888888889,111.6613333333333
5 day,105.04400000000001,104.798,104.2,103.144,101.97200000000001,100.118,98.252,93.21000000000001,94.17,95.74799999999999,96.314,97.792,100.022,102.086,104.08600000000001,107.63,107.86600000000001,108.364,108.59400000000001,108.772,109.064,109.374,109.08800000000001,108.91600000000001,108.846,107.954,108.032,108.41199999999999,108.578,110.02799999999999,109.516,109.022,108.64200000000001,108.51399999999998,108.48800000000001,109.106,109.954
5 hr,104.17551333333333,106.11751,103.82723999999999,101.50325333333345,98.70237666666665,98.28562666666656,94.55807333333337,93.01757333333333,96.1031166666667,97.08732666666671,98.74587999999997,102.51433333333327,106.13988666666667,106.24423333333328,107.68751000000006,108.67214666666676,107.81742000000003,108.85165999999997,108.8997233333334,109.63703666666666,110.19335,108.53150999999993,107.52857999999988,107.77038000000005,108.94423000000002,107.23284666666666,107.19980333333339,109.36542333333331,110.04662333333334,110.07268000000009,107.21336333333328,107.2275766666667,108.1387199999999,109.20130666666661,109.85873999999994,110.13655000000001,111.37357666666665
5 min,104.152,105.548,103.92,100.061,98.36399999999999,96.426,94.442,94.992,96.38719999999999,97.28880000000001,97.874,102.617,106.15799999999999,106.82300000000001,107.43800000000002,109.046,107.2796,109.08800000000001,108.65800000000002,109.772,110.338,108.46,107.79400000000001,107.80799999999999,109.346,107.36200000000001,108.11500000000001,109.81599999999999,110.324,109.88,107.144,107.66799999999998,108.34,109.428,109.804,110.208,111.92800000000003
5.5 hr,104.27872424242422,106.12101515151517,103.89079393939394,101.54760909090915,98.81816060606062,98.40661515151501,94.68900303030306,92.79225454545454,96.11847272727276,96.97329090909095,98.71631515151512,102.44284545454538,106.08906363636369,106.1444606060606,107.63981212121216,108.6509272727274,107.81836666666673,108.81680606060603,108.94847272727283,109.60424848484847,110.16037878787876,108.5541393939394,107.63290303030287,107.77979393939393,108.90582424242426,107.22486969696966,107.12412424242432,109.34520303030301,110.02956969696963,110.0471969696971,107.33814848484842,107.21446363636365,108.14573939393937,109.16188787878784,109.87376969696965,110.09362727272726,111.34744242424243
