,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-22,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-07,2019-02-11,2019-02-13,2019-02-14
1 hr,102.55898333333336,102.39893333333332,102.59984999999999,102.87835000000001,103.34968333333333,103.13685000000002,103.16383333333333,103.03363333333333,104.16493333333342,104.37930000000003,105.21251666666667,104.36465,104.1061166666667,103.88129999999998,103.8416333333333,103.83105000000002,104.08198333333331,104.04488333333333,103.92686666666665,103.77159999999996,103.83531666666663,104.06070000000003,103.79398333333337,103.8643333333333,104.13225000000003,104.34680000000003,104.88241666666666,104.13288333333335,104.51876666666666,104.4719666666666,104.06773333333328,104.47316666666664
1 min,102.61,102.385,102.56,102.86,103.25,103.14,103.2,102.96,104.17,104.42,105.23,104.395,104.11,103.86,103.91,103.86,104.11,104.015,103.94,103.775,103.79,104.07,103.82,103.855,104.15,104.37,104.86,104.11,104.48,104.44,104.07,104.5
1.5 hr,102.56976666666671,102.41163333333331,102.61756666666665,102.86588888888888,103.26902222222219,103.1583222222222,103.15696666666663,103.07132222222221,104.16808888888893,104.34120000000004,105.18608888888889,104.37822222222219,104.15126666666669,103.9005777777778,103.85834444444443,103.84259999999999,104.08287777777777,104.06307777777774,103.91288888888889,103.78443333333334,103.85008888888885,104.07021111111115,103.79763333333332,103.86713333333324,104.13030000000006,104.32227777777781,104.8653,104.13092222222225,104.50844444444441,104.45748888888886,104.07046666666662,104.48264444444449
10 day,101.58088999999998,101.83111,101.94980999999999,102.07849999999999,102.33115000000001,102.41317,102.47429,102.61346999999998,103.07203000000001,103.24892000000003,103.48343,103.59719000000003,103.69499,103.75786000000001,103.80077000000001,103.88759,104.00934,103.99038000000003,103.94348000000002,103.79479,103.66605,103.67105,103.66806,103.63711999999998,103.64210999999997,103.68102999999999,103.77383999999999,103.82961,104.06568,104.24624999999999,104.27000000000001,104.258
10 min,102.617,102.386,102.574,102.89939999999999,103.26999999999998,103.1396,103.1815,102.9882,104.16,104.41419999999998,105.20720000000001,104.38669999999999,104.09400000000001,103.8681,103.907,103.8365,104.1106,104.02029999999999,103.9331,103.78149999999998,103.809,104.0595,103.83200000000002,103.8655,104.149,104.36500000000001,104.86300000000001,104.125,104.48899999999999,104.4585,104.06500000000001,104.4924
100 day,100.39240099999999,100.42104099999997,100.43902799999998,100.46069199999998,100.51324599999998,100.540514,100.56730000000002,100.62472899999999,100.71799700000001,100.75606800000001,100.79965600000001,100.83041700000001,100.85858000000003,100.88513600000002,100.90982200000003,100.93430500000005,100.98490900000004,101.00871600000004,101.03004800000002,101.04958200000003,101.08733600000005,101.13808900000008,101.16098900000006,101.18399000000007,101.21230400000007,101.24311200000007,101.27663200000002,101.30910400000005,101.44652500000005,101.52758900000006,101.61150100000005,101.65777400000005
125 day,100.46512320000004,100.4938432,100.5090088,100.52447840000002,100.56531680000002,100.58491440000002,100.60412880000004,100.63894080000003,100.70314400000002,100.72839680000003,100.76019680000003,100.78450160000003,100.80854160000005,100.83113600000004,100.85255360000006,100.87388720000007,100.91968560000005,100.94269040000005,100.96584640000003,100.98527840000004,101.03136720000005,101.08555840000005,101.11319840000006,101.13981600000007,101.16985360000008,101.20070320000008,101.23728160000005,101.26843200000006,101.38720000000006,101.44547760000007,101.49594320000004,101.52247600000004
15 min,102.60466666666666,102.3858,102.58233333333332,102.90413333333332,103.2923333333333,103.13386666666666,103.17213333333333,102.99513333333334,104.1538,104.41046666666668,105.19460000000002,104.37739999999998,104.088,103.86899999999999,103.9058,103.82766666666667,104.10839999999999,104.02053333333333,103.93673333333332,103.77706666666664,103.81106666666666,104.06073333333333,103.8268,103.86746666666666,104.14266666666666,104.3756666666667,104.86960000000002,104.13100000000001,104.49166666666666,104.46366666666664,104.06533333333333,104.48393333333334
150 day,100.33773600000004,100.37078466666667,100.38781800000002,100.40828266666668,100.46367533333336,100.49278400000001,100.51993866666669,100.57379266666668,100.65025600000003,100.6706646666667,100.69947600000003,100.72296000000003,100.74699200000005,100.77165533333337,100.79501266666674,100.82072666666674,100.87115800000007,100.89662400000006,100.92208400000005,100.9470673333334,100.99031466666673,101.03456933333341,101.05746066666674,101.07878000000008,101.10196400000008,101.12582666666675,101.15255466666673,101.17299133333341,101.25895200000008,101.30470466666674,101.34914200000006,101.37264333333339
175 day,100.29265199999999,100.3084994285714,100.31571257142855,100.32452057142854,100.34852685714284,100.36260685714284,100.376696,100.40526971428572,100.46825485714291,100.49540342857149,100.52795714285723,100.55689600000011,100.58255714285725,100.60578342857151,100.6287360000001,100.65229428571436,100.70092171428577,100.72370857142862,100.74643371428576,100.76902914285718,100.81391142857144,100.86210285714289,100.88953028571433,100.91830685714291,100.94913085714292,100.97913542857151,101.01148400000005,101.04085714285722,101.13367371428578,101.17764000000008,101.22415771428577,101.24902400000006
