,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,47.63480000000001,48.029166666666676,48.257349999999995,48.07723333333332,46.921416666666666,47.64389999999999,45.68290000000001,45.767183333333335,45.1703,45.54408333333333,46.77535,47.04325000000001,44.66696666666666,47.21445000000001,47.611883333333324,47.60721666666665,48.11835,48.47826666666668,48.87003333333334,48.28350000000001,48.507716666666646,49.11265000000003,48.05361666666667,47.86416666666667,49.81826666666667,46.73731666666667,46.542666666666655,46.46359999999999,47.52044999999999,47.0713,48.50668333333333,50.125299999999996,49.999783333333326,48.68908333333332,48.834066666666686,49.99718333333335,50.64858333333333,50.92010000000002,51.48519999999999
1 min,47.38,47.82,48.28,47.86,47.08,47.73,45.565,45.54,44.83,46.19,46.95,47.09,44.49,47.22,47.42,47.74,48.0,48.54,48.93,48.11,48.47,49.22,48.31,47.96,49.735,47.05,46.72,46.54,47.55,47.11,48.73,50.01,49.9,48.85,48.78,50.0,50.469,50.81,51.66
1.5 hr,47.62415555555557,48.03844444444446,48.218288888888885,48.06347777777776,46.9922,47.69823333333333,46.037377777777785,45.751155555555556,45.25462222222223,45.42734444444443,46.779588888888895,47.15423333333334,44.75837777777777,47.27994444444445,47.64312222222222,47.54203333333333,48.141133333333336,48.40162222222222,48.8749,48.31687777777779,48.50531111111109,49.09775555555559,48.02227777777778,47.82571111111111,49.80885555555555,46.77984444444445,46.488366666666664,46.440511111111086,47.515400000000014,47.06318888888889,48.43353333333332,50.113077777777775,49.9656222222222,48.680844444444446,48.8046666666667,49.99481111111113,50.66395555555556,50.93119999999998,51.48205555555556
10 day,47.79899,47.77514,47.7185,47.7344,47.512800000000006,47.275310000000005,47.05869,46.77747000000001,46.63836,46.160379999999996,45.76887000000001,45.76887000000001,45.44592,45.60988,45.79868999999999,46.08686000000001,46.52608,46.76159000000001,47.016970000000015,47.44625,47.84174,48.0375,48.11997000000001,48.13984,48.31374000000001,48.16270000000001,47.942099999999996,47.76224,47.65689999999999,47.55653999999999,47.58238,47.758269999999996,47.98447,48.172439999999995,48.40786,48.78418,49.10712999999999,49.50581,49.829499999999996
10 min,47.4439,47.88849999999999,48.3065,47.9841,46.950300000000006,47.818799999999996,45.74320000000001,45.504999999999995,44.956999999999994,45.962199999999996,46.6691,47.0265,44.5985,47.22279999999999,47.533399999999986,47.6866,47.9305,48.5505,48.88289999999999,48.17999999999999,48.457,49.06570000000001,48.1165,47.8955,49.796800000000005,46.9004,46.605900000000005,46.4811,47.473,47.1083,48.6443,50.0327,49.9855,48.728899999999996,48.8091,49.9994,50.4439,50.857000000000006,51.570899999999995
100 day,46.86293600000001,46.82871800000001,46.795144,46.758573,46.71179799999999,46.674232,46.659074999999994,46.64352099999999,46.61698699999999,46.544397999999994,46.47123799999998,46.44572399999999,46.392695999999994,46.379535,46.37250999999999,46.371725,46.38013999999999,46.39688399999999,46.417996,46.46562300000001,46.483349000000004,46.50151500000001,46.503724000000005,46.500482000000005,46.51354799999999,46.504622,46.49054000000001,46.47941,46.480585999999995,46.482132,46.507676000000004,46.59284200000002,46.648164000000016,46.72916500000002,46.768349000000015,46.81321800000001,46.86219300000002,46.904199000000006,46.960038000000004
125 day,47.63601600000001,47.58013760000001,47.5312928,47.493870400000006,47.452524000000004,47.41226320000001,47.36472400000001,47.31451200000001,47.27279120000001,47.213620000000006,47.155658399999986,47.1414808,47.0966632,47.06868,47.0385976,47.0085448,46.988176,46.963149599999994,46.942085600000006,46.874564,46.8517272,46.83516480000001,46.8081464,46.77952559999999,46.763411199999986,46.7277936,46.7247304,46.720236799999995,46.72047279999999,46.71179599999999,46.710656799999995,46.72033040000001,46.7269056,46.720686400000005,46.72493680000001,46.74226720000001,46.76588480000001,46.797436000000005,46.8380784
15 min,47.48413333333334,47.92746666666666,48.318,47.992066666666666,46.88953333333334,47.83786666666666,45.696466666666666,45.534,45.00566666666667,45.91073333333333,46.6972,47.00626666666667,44.616,47.223533333333336,47.554399999999994,47.67773333333332,47.944,48.559,48.88893333333332,48.19113333333333,48.474599999999995,49.08946666666667,48.112,47.90793333333333,49.7692,46.859533333333346,46.59893333333334,46.487066666666664,47.49199999999999,47.11353333333333,48.6402,50.049800000000005,49.99486666666667,48.71259999999999,48.82606666666667,49.98493333333335,50.44926666666666,50.8692,51.58326666666667
150 day,48.719439333333334,48.680726666666665,48.640873333333325,48.600199999999994,48.55285399999999,48.51629333333333,48.46064599999999,48.40368733333332,48.35066333333332,48.23369533333332,48.07912799999999,48.029033999999996,47.95942666666667,47.911046000000006,47.851820666666676,47.796218666666675,47.74436800000001,47.69288933333334,47.651386666666674,47.53681666666667,47.49782866666667,47.46027333333334,47.41943666666667,47.388781333333334,47.37208066666667,47.33389266666668,47.30182866666668,47.26661000000001,47.24972866666667,47.23687,47.240632000000005,47.250459333333346,47.25464466666668,47.25266066666668,47.24165733333334,47.235714000000016,47.23087466666668,47.23458333333334,47.236434
175 day,49.00266114285716,48.995485142857156,48.9887462857143,48.988432571428575,48.97945142857143,48.964626857142854,48.93842857142856,48.90302514285713,48.86844342857142,48.78746685714284,48.70513885714284,48.687514285714265,48.653231428571424,48.634840571428555,48.60838628571428,48.58542,48.57017657142857,48.54852,48.534653142857145,48.47178457142857,48.446218285714274,48.42075885714284,48.386485142857126,48.35207657142856,48.32671257142856,48.2914,48.25017542857144,48.207032000000005,48.176913714285725,48.139812000000006,48.111123428571446,48.05785085714289,48.03204914285717,47.96988685714287,47.938974285714295,47.90460285714286,47.87426228571429,47.84754685714286,47.822884571428574
2 day,46.9971,47.30515,47.75725,47.772149999999996,47.170950000000005,47.11135,46.36115,45.26805,44.90535,44.60719999999999,46.54495,46.7089,45.4966,45.5662,47.0319,47.29025,47.57345,47.980850000000004,48.43795,48.06035,47.99575,48.522450000000006,48.42305,47.801950000000005,48.5423,48.09515,46.57975,46.3313,46.74365,47.03185,47.623149999999995,49.302499999999995,49.7975,49.035,48.80500000000001,49.39,50.239999999999995,50.64,51.235
