,2018-12-20,2019-01-07,2019-01-08,2019-01-16,2019-01-17,2019-01-22,2019-01-23
1 hr,49.92183333333334,57.06851666666667,57.18551666666664,57.56736666666667,57.61166666666667,57.208850000000005,57.101249999999986
1 min,49.77,56.76,57.2,57.13,57.6,57.44,57.2
1.5 hr,49.8618,57.0264333333333,57.306377777777755,57.69087777777778,57.7193666666667,57.10947777777779,57.05891111111111
10 day,52.67499999999999,52.67999999999999,53.522000000000006,56.544,57.012,57.44500000000001,57.446000000000005
10 min,49.807500000000005,56.891999999999996,57.0595,57.3035,57.479,57.438,57.260000000000005
100 day,49.6702,50.38650000000001,50.44830000000001,50.79499999999999,50.85889999999999,50.97860000000001,51.099000000000004
125 day,48.60287999999999,49.36312,49.46112,50.06119999999999,50.15527999999999,50.350559999999994,50.44568
15 min,49.859400000000015,56.94186666666666,57.03966666666667,57.32266666666666,57.48933333333333,57.44666666666667,57.297000000000004
150 day,48.05169999999998,48.54883333333332,48.618433333333314,49.070033333333306,49.14163333333332,49.285299999999985,49.37599999999999
175 day,47.52382857142856,47.93148571428569,48.00085714285713,48.4932571428571,48.59082857142853,48.76151428571425,48.825857142857096
2 day,50.32,55.57,57.005,57.72,57.39,57.735,57.325
2 hr,49.66643333333334,57.03964166666663,57.35504999999999,57.76048333333335,57.78146666666667,57.13746666666667,57.03064999999997
2.5 hr,49.59266000000002,57.07285999999998,57.357959999999984,57.77993333333333,57.78582666666665,57.17424666666667,57.023
20 day,54.58149999999999,52.677499999999995,52.881499999999996,54.00449999999999,54.32099999999999,55.062499999999986,55.484
20 min,49.917550000000006,56.97975,57.03025,57.3411,57.509249999999994,57.44955000000001,57.282999999999994
200 day,47.555350000000004,47.54855,47.58065,47.92824999999997,48.00624999999997,48.15589999999997,48.23854999999996
25 min,49.93084000000001,57.01456000000001,57.04735999999999,57.37367999999999,57.546200000000006,57.41564000000001,57.272
3 hr,49.613344444444465,57.07974444444443,57.34168333333331,57.77594444444441,57.748499999999986,57.166422222222224,57.00950555555559
3.5 hr,49.62749523809527,57.05593333333332,57.29233333333331,57.768857142857115,57.74355238095237,57.19110476190476,57.01755238095242
30 day,53.819999999999986,53.94766666666667,54.06233333333333,54.21733333333332,54.152666666666654,54.26666666666665,54.403
30 min,49.93536666666668,57.02113333333334,57.02713333333333,57.403933333333335,57.577833333333345,57.3967,57.248333333333335
4 hr,49.58989166666668,57.04560416666664,57.23815416666663,57.768845833333316,57.7312625,57.20839999999999,56.99745833333336
4.5 hr,49.588066666666684,56.97722592592589,57.16166666666664,57.78035185185185,57.699355555555556,57.22390370370371,57.05882592592595
40 day,52.79925000000001,53.535000000000004,53.60699999999999,54.51149999999999,54.60799999999999,54.822,54.908249999999995
45 min,49.94917777777779,57.06524444444444,57.06246666666666,57.51595555555555,57.61233333333334,57.31753333333336,57.16533333333332
5 day,51.342,54.378,55.00599999999999,57.394000000000005,57.446000000000005,57.702,57.492
5 hr,49.66423000000002,56.95477999999996,57.127493333333334,57.77574333333335,57.640010000000004,57.281153333333314,57.15910000000001
5 min,49.825,56.836,57.141999999999996,57.254999999999995,57.54200000000001,57.4,57.21
5.5 hr,49.78970909090911,56.90870606060605,57.109951515151515,57.802251515151546,57.587939393939386,57.34158484848481,57.266663636363646
50 day,51.4288,52.77540000000001,52.9992,53.992999999999995,54.111,54.317,54.37479999999999
50 min,49.94956000000001,57.071819999999995,57.122019999999985,57.54064000000001,57.6118,57.27842000000001,57.136399999999995
55 min,49.93909090909093,57.07401818181818,57.15947272727271,57.55849090909092,57.616090909090914,57.24129090909092,57.11636363636363
6 hr,49.87783055555558,56.87271111111111,57.16323055555557,57.87165555555559,57.57054999999996,57.390577777777715,57.40283333333335
6.5 hr,49.94038461538464,56.816625641025645,57.18415384615389,57.88908461538463,57.581528205128166,57.411830769230725,57.49672820512822
60 day,50.980666666666664,51.63733333333334,51.85633333333333,53.01466666666667,53.2215,53.55366666666667,53.74033333333333
70 day,50.635285714285715,51.22342857142857,51.30642857142857,51.97485714285714,52.101571428571425,52.467,52.654857142857146
80 day,49.95762500000001,50.89087500000001,51.042875,51.727374999999995,51.833124999999995,52.001125,52.073875
90 day,50.13166666666668,50.26011111111112,50.393777777777785,51.1781111111111,51.32722222222221,51.61911111111112,51.754333333333335
Tomorrow,48.78,57.2,57.21,57.6,58.03,57.21,57.05
