,2018-12-17,2018-12-26
1 hr,9.255650000000001,8.783666666666667
1 min,9.25,8.82
1.5 hr,9.286933333333335,8.764277777777783
10 day,9.784,8.864999999999998
10 min,9.248,8.743500000000001
100 day,11.901100000000003,11.575500000000002
125 day,12.25008,12.007200000000001
15 min,9.237333333333332,8.754333333333333
150 day,12.664733333333334,12.346333333333334
175 day,12.98662857142857,12.750857142857141
2 day,9.465,8.434999999999999
2 hr,9.289108333333333,8.75212500000001
2.5 hr,9.279340000000001,8.743326666666682
20 day,9.474500000000003,9.242999999999999
20 min,9.225999999999999,8.775749999999999
200 day,13.475549999999993,13.156999999999993
25 min,9.219999999999999,8.787
3 hr,9.285027777777772,8.737761111111128
3.5 hr,9.30480952380952,8.741652380952392
30 day,9.406,9.214
30 min,9.216933333333332,8.790833333333333
4 hr,9.362804166666669,8.737854166666681
4.5 hr,9.43073703703704,8.724992592592603
40 day,9.396999999999998,9.215250000000001
45 min,9.23131111111111,8.792333333333334
5 day,9.706,8.28
5 hr,9.49087333333334,8.69923333333334
5 min,9.248,8.789
5.5 hr,9.539154545454556,8.679887878787886
50 day,9.709399999999999,9.392199999999999
50 min,9.23908,8.7897
55 min,9.247436363636362,8.785545454545455
6 hr,9.56197500000001,8.650527777777784
6.5 hr,9.572628205128211,8.612315384615394
60 day,10.082666666666665,9.681666666666667
70 day,10.541571428571428,10.129999999999999
80 day,11.255125000000001,10.655625
90 day,11.67288888888889,11.210555555555556
Tomorrow,8.64,8.87
