,2018-12-12,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-04,2019-01-07,2019-01-08,2019-01-09,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-02-01,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15
1 hr,18.493816666666664,18.278433333333325,17.642983333333337,16.483316666666664,16.326699999999995,15.585249999999998,15.570533333333328,14.792716666666665,15.47114999999999,14.83521666666667,15.181099999999994,14.828966666666668,16.234666666666662,17.307283333333334,17.035316666666663,17.397600000000004,17.883449999999996,16.72083333333334,17.1231,17.58493333333333,18.430633333333333,17.63686666666667,18.34576666666666,19.007433333333328,19.765783333333335,19.492900000000002,19.0807,19.38821666666667,20.083750000000006,20.51983333333333,21.312833333333327,21.338116666666657,20.00181666666667,20.68851666666667,20.837033333333334,21.21488333333334,21.62324999999999,22.01125,21.819949999999988
1 min,18.41,18.3,17.71,16.57,16.34,15.6,15.58,14.94,15.65,14.87,15.21,14.79,16.24,17.228,17.0,17.295,17.81,16.69,17.04,17.56,18.5,17.72,18.3,18.97,19.95,19.45,19.14,19.39,20.12,20.49,21.24,21.28,19.99,20.65,20.83,21.25,21.59,22.01,21.79
1.5 hr,18.47911111111112,18.270922222222218,17.62459999999999,16.56784444444444,16.352722222222212,15.670333333333335,15.549266666666664,14.773266666666668,15.432066666666648,14.849522222222223,15.220033333333324,14.840455555555554,16.211688888888894,17.30056666666666,17.046733333333325,17.37397777777777,17.908466666666676,16.736500000000003,17.151388888888892,17.632555555555555,18.42636666666668,17.66404444444445,18.316666666666656,18.999499999999994,19.726211111111116,19.506288888888886,19.068133333333336,19.432188888888895,20.10415555555557,20.534399999999987,21.31005555555554,21.3293222222222,20.02452222222222,20.740833333333338,20.852455555555554,21.207500000000014,21.606855555555533,22.005300000000002,21.83287777777776
10 day,19.255000000000003,19.093,18.942,18.567999999999998,18.129,17.732,17.306,16.948,16.418,15.545999999999998,15.410999999999998,15.257,15.320000000000002,15.484,15.687999999999999,15.907,16.397,16.531,16.9,17.176,17.401999999999997,17.452999999999996,17.583999999999996,17.752,17.931,18.095,18.338,18.601,19.165999999999997,19.365,19.714999999999996,20.014999999999997,20.118,20.186,20.323,20.534,20.756,20.944,21.112000000000002
10 min,18.443900000000003,18.300500000000007,17.6398,16.5168,16.3555,15.5733,15.5285,14.8416,15.592300000000003,14.807300000000001,15.1949,14.832500000000001,16.2715,17.266700000000004,16.986,17.3028,17.8316,16.68,17.0337,17.5833,18.4899,17.6683,18.270100000000003,19.000199999999996,19.946199999999997,19.431,19.1017,19.3764,20.098599999999998,20.4952,21.2317,21.293200000000002,19.989800000000002,20.593799999999998,20.8155,21.214,21.595999999999997,22.009800000000002,21.793200000000006
100 day,25.33860000000001,25.197200000000002,25.058200000000006,24.8886,24.721700000000002,24.5563,24.404700000000002,24.233900000000002,23.9161,23.495500000000003,23.356700000000004,23.213,23.081400000000002,22.96890000000001,22.86980000000001,22.781400000000005,22.617200000000004,22.503400000000003,22.263099999999998,22.152599999999996,22.0511,21.9172,21.7951,21.6809,21.586000000000002,21.4916,21.397799999999997,21.32,21.180800000000005,21.116300000000006,21.061700000000005,20.988700000000005,20.885800000000003,20.806500000000007,20.746400000000005,20.695600000000002,20.6344,20.5801,20.5356
125 day,27.284400000000005,27.10952,26.899680000000004,26.6916,26.468720000000005,26.282960000000006,26.117280000000004,25.973760000000006,25.681600000000007,25.270720000000004,25.128640000000008,24.997520000000005,24.888080000000006,24.771280000000004,24.657760000000007,24.542960000000004,24.278880000000004,24.117120000000007,23.803680000000004,23.68296,23.564800000000005,23.447120000000005,23.340640000000008,23.224160000000005,23.119520000000005,23.018,22.9252,22.824080000000002,22.64592,22.581840000000003,22.518800000000002,22.448000000000004,22.375200000000003,22.306880000000003,22.23832,22.180560000000003,22.138240000000003,22.1052,22.07144
15 min,18.464266666666667,18.29713333333333,17.61886666666667,16.4984,16.368733333333335,15.565933333333335,15.536,14.8202,15.576066666666668,14.815866666666667,15.180466666666666,14.84186666666667,16.28766666666667,17.2758,17.012,17.322200000000002,17.8354,16.68933333333333,17.032466666666668,17.564466666666668,18.473599999999998,17.658466666666666,18.259066666666666,18.999799999999997,19.897,19.447333333333336,19.10213333333333,19.379066666666667,20.1004,20.497333333333337,21.2368,21.298000000000002,19.98753333333333,20.61,20.829200000000004,21.207666666666665,21.581599999999998,22.014866666666663,21.797333333333334
150 day,27.102400000000006,27.08626666666667,27.06746666666667,27.032400000000003,26.998466666666673,26.966333333333342,26.934666666666676,26.90040000000001,26.820066666666673,26.666466666666675,26.614066666666677,26.54133333333334,26.48093333333334,26.40600000000001,26.32460000000001,26.244800000000005,26.085666666666672,25.97826666666667,25.743266666666667,25.628666666666668,25.481933333333338,25.332400000000003,25.161466666666673,25.00406666666667,24.84240000000001,24.713266666666673,24.59893333333334,24.50893333333334,24.328866666666674,24.252466666666674,24.178666666666675,24.10193333333334,24.015400000000007,23.945000000000007,23.884400000000007,23.81393333333334,23.750133333333334,23.685866666666666,23.5976
175 day,25.77628571428572,25.789200000000008,25.798800000000004,25.799714285714295,25.793600000000012,25.77954285714287,25.759771428571444,25.734628571428583,25.685257142857164,25.63148571428573,25.61422857142859,25.592914285714308,25.58280000000002,25.574057142857164,25.56828571428574,25.564057142857163,25.570228571428586,25.572057142857158,25.579314285714297,25.584114285714296,25.583428571428584,25.566342857142864,25.553600000000007,25.53725714285715,25.52880000000001,25.523257142857148,25.51645714285715,25.512457142857144,25.49794285714286,25.483600000000006,25.473828571428577,25.465257142857148,25.44765714285715,25.418628571428584,25.393085714285725,25.351885714285725,25.308514285714296,25.26702857142858,25.225885714285724
