,2018-12-19,2018-12-20,2018-12-26,2019-01-04,2019-01-23
1 hr,10.405916666666663,10.32046666666666,10.214166666666666,11.104783333333337,11.681366666666658
1 min,10.36,10.31,10.24,11.1,11.71
1.5 hr,10.447611111111112,10.313277777777769,10.184266666666666,11.083822222222228,11.672799999999986
10 day,11.159009999999999,10.99446,10.56028,10.31446,11.473280000000003
10 min,10.372,10.3105,10.241499999999998,11.095,11.6879
100 day,11.953057,11.932234,11.864601,11.749156000000001,11.606487
125 day,12.072485599999997,12.049504799999998,11.980569599999999,11.8784536,11.7791848
15 min,10.374999999999998,10.313799999999999,10.241666666666667,11.104999999999999,11.688266666666667
150 day,12.255067999999994,12.234291333333328,12.16936533333333,12.061957999999995,11.924468666666664
175 day,12.381782285714282,12.364311999999996,12.31155371428571,12.21782342857142,12.10367428571428
2 day,10.423449999999999,10.254950000000001,10.027000000000001,10.82,11.6081
2 hr,10.482125,10.305608333333323,10.174525000000012,11.052275000000007,11.673316666666661
2.5 hr,10.515453333333339,10.310313333333324,10.163426666666675,11.038520000000002,11.668313333333336
20 day,11.597660000000001,11.507455000000002,11.202145000000002,10.736735000000001,11.001920000000002
20 min,10.377249999999997,10.3226,10.245,11.112499999999997,11.6887
200 day,12.504490000000002,12.486635500000002,12.429956000000002,12.330980499999995,12.231098499999996
25 min,10.379799999999998,10.330480000000001,10.246799999999999,11.118399999999998,11.686560000000002
3 hr,10.535522222222239,10.309199999999992,10.156355555555564,11.0325,11.660388888888892
3.5 hr,10.550228571428594,10.309623809523801,10.150338095238103,11.026704761904758,11.65254761904761
30 day,11.779233333333334,11.710510000000001,11.482513333333337,11.169926666666665,10.946896666666667
30 min,10.380999999999998,10.332233333333336,10.2429,11.120999999999997,11.683366666666672
4 hr,10.558100000000021,10.313349999999994,10.142470833333336,11.021445833333324,11.643766666666659
4.5 hr,10.562137037037056,10.315144444444442,10.128188888888893,11.014940740740728,11.642503703703698
40 day,11.5455725,11.536772500000001,11.507297500000002,11.413039999999999,11.205867499999997
45 min,10.39711111111111,10.328622222222222,10.229888888888892,11.10782222222222,11.684022222222223
5 day,10.765460000000001,10.589020000000001,10.1271,10.52758,11.657660000000002
5 hr,10.567756666666682,10.318756666666667,10.111686666666667,11.007646666666654,11.648423333333318
5 min,10.363,10.315999999999999,10.236999999999998,11.099,11.694999999999999
5.5 hr,10.573096969696989,10.323612121212122,10.099503030303026,11.003118181818172,11.659533333333325
50 day,11.503242,11.468689999999999,11.381046000000001,11.299349999999999,11.38306
50 min,10.401399999999999,10.32606,10.224500000000004,11.10574,11.68264
55 min,10.403636363636362,10.322872727272724,10.219545454545456,11.10567272727273,11.681945454545449
6 hr,10.578808333333347,10.327938888888893,10.08976666666666,10.99503888888888,11.670933333333325
6.5 hr,10.584564102564116,10.33226410256411,10.082438461538453,10.985523076923068,11.6750282051282
60 day,11.589654999999999,11.556275,11.455726666666667,11.305111666666667,11.357838333333335
70 day,11.710189999999999,11.674841428571426,11.571672857142856,11.407484285714284,11.310485714285713
80 day,11.818891249999998,11.789312499999998,11.69769,11.535723749999999,11.3930025
90 day,11.908566666666665,11.884676666666666,11.801924444444444,11.651732222222222,11.498122222222221
Tomorrow,10.2302,10.0716,10.1509,11.162,11.5486
