,2018-12-11,2018-12-13,2018-12-14,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-26,2018-12-31,2019-01-02,2019-01-03,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-14,2019-01-16,2019-01-17,2019-01-18,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-11,2019-02-12,2019-02-14,2019-02-15
1 hr,508.4020166666666,511.43645,493.35106666666655,480.18076666666667,482.0376166666666,470.7599833333334,461.1529166666666,449.2259666666666,455.19366666666684,476.9157166666668,463.88401666666687,451.5956666666665,479.01909999999987,481.47363333333345,518.1459666666666,517.3802333333335,503.55461666666673,503.48875000000015,518.1525500000001,531.5930166666666,541.5990666666665,534.205483333333,527.9384,534.2583833333333,512.6528166666666,497.4986166666665,493.6730833333333,507.98005000000006,522.2829333333333,522.4069666666667,522.8791166666666,520.22345,508.58233333333334,516.3119833333334,530.0350166666667,540.8225999999999,536.5424666666667,545.8310166666668
1 min,508.07,511.99,491.8,481.93,482.36,471.92,459.87,445.58,462.4,479.23,465.95,450.06,478.44,482.86,517.33,518.07,505.31,503.5,515.94,534.3,542.58,536.81,530.01,535.916,515.04,496.74,494.18,508.57,523.59,524.5,522.96,522.04,509.41,517.15,529.18,539.47,536.08,548.5
1.5 hr,507.6392999999999,510.9993111111111,493.8275555555554,480.26624444444434,482.1006111111112,473.87696666666676,460.9672666666665,449.92301111111107,453.6678777777779,476.5920444444445,464.75808888888884,452.30484444444437,478.600211111111,481.053688888889,517.8784888888887,516.8440111111112,503.927977777778,502.9911333333335,518.5727111111111,531.4599555555557,540.8579777777778,533.7509777777774,527.5557888888889,533.951688888889,511.8351888888888,498.2380666666667,493.14465555555546,507.57800000000003,522.6037333333334,521.8864111111109,522.6633222222223,519.2558111111109,508.720611111111,515.7484888888887,529.9228666666667,541.4268444444442,536.4856111111112,545.645266666667
10 day,515.53,516.4420000000001,513.5260000000001,508.61400000000003,501.957,497.267,491.3459999999999,486.779,475.84900000000005,465.762,464.18999999999994,460.97799999999995,462.81000000000006,466.50700000000006,474.7289999999999,480.3379999999999,483.9999999999999,487.15099999999995,495.79499999999996,504.19900000000007,511.28599999999994,517.12,521.8159999999999,523.7169999999999,523.4139999999999,522.5550000000001,521.7090000000001,521.011,521.7819999999999,520.819,517.4179999999999,516.618,513.9419999999999,514.143,517.4159999999999,521.9619999999999,525.7050000000002,528.0900000000001
10 min,508.0362,512.0993000000001,492.6289,481.25,484.57750000000004,472.89889999999997,458.76489999999995,446.7477,460.06350000000003,476.101,465.1145,451.40659999999997,479.37879999999996,482.7614,516.9305,518.6626,504.6438,502.80150000000003,516.7427,533.2420999999999,541.8695,534.866,528.9595000000002,535.5324,514.2000999999999,496.183,494.4111,508.4048999999999,523.2750000000001,524.3001999999999,523.4615000000001,521.9105999999999,508.9426,516.229,529.5555,539.8169,536.4913,547.467
100 day,528.0812000000001,527.9935,527.6794,527.1172000000001,526.6712,526.1983,525.7671,525.1454,523.7322,522.3074,521.7749,521.0504,520.1378,519.6777000000001,519.6211000000001,519.5628,519.3668000000001,519.1403,518.8136999999999,518.7844,518.7947,518.7103000000001,518.5607,518.3818,517.9805,517.3478000000001,516.7300000000001,516.4476000000001,516.2654000000001,516.1323000000002,515.7027000000002,515.4266000000002,514.9320000000002,514.4189000000002,514.1270000000002,513.8759000000002,513.3949000000002,513.3122000000002
125 day,521.82912,522.16408,522.1732000000001,522.1184000000001,522.0776800000001,521.9564,521.76976,521.55008,521.05168,520.79992,520.6435200000001,520.3463200000001,519.98824,519.8352800000001,519.9384000000001,519.88296,519.7308000000002,519.6080000000001,519.4456,519.54952,519.7556800000001,519.8909600000001,519.9448000000001,519.9300000000001,519.83464,519.6548000000001,519.5848000000002,519.5871200000001,519.6459200000002,519.6679200000002,519.6832800000002,519.7156800000001,519.6363200000001,519.5912000000001,519.6587200000001,519.8135200000002,519.9557600000002,520.1525600000002
15 min,508.1980666666667,512.1417333333334,492.44173333333333,480.7275333333333,484.9890000000001,472.2935333333333,459.3769333333333,447.3581333333333,459.308,476.454,464.88579999999996,451.59780000000006,479.6579333333333,482.7520666666667,516.9678000000001,518.7944,504.39920000000006,502.8453333333334,516.8724666666668,533.0665333333333,542.0409999999999,534.9331333333333,528.9138,535.3288,513.8240666666666,496.2682666666667,494.24039999999997,508.6771333333333,523.0373333333334,524.0633999999999,523.5064,521.8410666666666,508.90986666666663,516.3386666666667,529.6932,539.8546,536.4235333333334,547.3357333333332
150 day,513.2160666666667,513.8641333333334,514.0205333333334,514.1242666666668,514.2944666666667,514.3670000000001,514.3800666666668,514.2949333333336,514.1541333333334,514.4592000000002,514.5352000000001,514.4724000000002,514.5470666666669,514.5808000000004,514.7457333333336,514.9103333333336,515.0435333333336,515.164266666667,515.4693333333336,515.7614000000002,516.0749333333334,516.3835333333335,516.6454000000001,516.9622,517.1461333333334,517.2104666666668,517.2840666666668,517.5174000000002,517.7898000000002,518.1115333333336,518.6657333333335,518.8914000000001,519.0499333333335,519.2476666666669,519.4743333333334,519.7429333333334,520.1644000000001,520.3210666666668
175 day,502.2084571428572,503.46468571428585,504.00902857142876,504.4438857142859,504.80765714285735,505.14937142857167,505.40554285714313,505.58491428571455,505.8308571428574,505.9954857142859,506.0994285714288,506.1781142857145,506.5550857142859,506.7605714285717,507.1967428571431,507.5997142857145,507.92148571428595,508.2327428571431,508.83600000000024,509.24560000000025,509.704342857143,510.095085714286,510.44708571428583,510.8466857142858,511.1793142857144,511.38325714285736,511.59085714285743,511.87480000000033,512.2191428571431,512.6193714285718,513.355485714286,513.7291428571432,514.041885714286,514.3698285714288,514.7686285714287,515.1141142857145,515.6812571428575,515.9962285714289
