,2018-12-31
1 hr,48.89395000000002
1 min,49.1
1.5 hr,48.86273333333333
10 day,48.568
10 min,48.8943
100 day,53.95853699999998
125 day,54.04266159999997
15 min,48.91753333333333
150 day,53.92301933333331
175 day,53.769540571428536
2 day,48.89
2 hr,48.852499999999985
2.5 hr,48.87453333333334
20 day,50.49893499999999
20 min,48.94425
200 day,53.59144349999997
25 min,48.9458
3 hr,48.89294444444446
3.5 hr,48.89686190476191
30 day,51.460403333333325
30 min,48.94616666666668
4 hr,48.8889375
4.5 hr,48.868474074074065
40 day,52.098312499999984
45 min,48.90764444444446
5 day,48.251999999999995
5 hr,48.85419333333334
5 min,48.9006
5.5 hr,48.85203333333334
50 day,52.24149799999999
50 min,48.89890000000002
55 min,48.89503636363638
6 hr,48.86112777777776
6.5 hr,48.87446923076922
60 day,52.68871333333332
70 day,53.21368285714285
80 day,53.5658925
90 day,53.82369999999998
Tomorrow,49.32
