,2018-12-21,2018-12-26
1 hr,51.39821666666668,51.76531666666668
1 min,51.34,52.02
1.5 hr,51.44044444444446,51.676766666666666
10 day,52.86175000000001,52.526970000000006
10 min,51.3679,51.935399999999994
100 day,56.830825000000026,56.65430800000001
125 day,57.42425200000002,57.30578240000001
15 min,51.374399999999994,51.92079999999999
150 day,58.01844866666668,57.874566
175 day,58.57529085714286,58.45301942857142
2 day,51.79,51.44
2 hr,51.47027500000001,51.63318333333334
2.5 hr,51.506253333333326,51.58761333333332
20 day,53.88072000000001,53.56772500000001
20 min,51.3593,51.91435
200 day,58.934447500000005,58.823811000000006
25 min,51.342760000000006,51.90464
3 hr,51.51614444444445,51.54037777777778
3.5 hr,51.530257142857145,51.51191904761906
30 day,54.235843333333335,53.95248333333333
30 min,51.344100000000005,51.8849
4 hr,51.55194583333333,51.48993333333336
4.5 hr,51.595400000000005,51.44801481481484
40 day,54.406250000000014,54.2838075
45 min,51.36002222222222,51.823977777777785
5 day,52.2789,51.75
5 hr,51.62179333333335,51.3938366666667
5 min,51.3626,51.98199999999999
5.5 hr,51.65417878787881,51.34066060606061
50 day,54.631492000000016,54.46364800000001
50 min,51.37162,51.803340000000006
55 min,51.385472727272735,51.784345454545466
6 hr,51.684580555555584,51.299430555555574
6.5 hr,51.702407692307695,51.28026410256411
60 day,55.27457500000002,54.997983333333345
70 day,55.86507142857145,55.66212000000001
80 day,56.19984750000002,55.98611125000001
90 day,56.508821111111125,56.36676444444445
Tomorrow,50.85,51.96
